Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-08-27 15:36:34,1,1,92 Sam DeVine,19 Emily Molloy,0,0,0,0,0,0,0,0,0,0,1,12.515839,8.946321,-8.752688,0.76344085,0.5139165,1.0,0.4244533
2025-08-27 15:36:39,1,1,19 Emily Molloy,47 Penny Wu,1,0,1,0,0,0,0,0,0,1,1,13.068854,12.723658,2.9838703,1.0,0.4244533,0.91935486,0.2972167
2025-08-27 15:37:47,2,1,47 Penny Wu,32 Sean McSweeney,0,0,0,0,0,0,0,1,0,1,0,14.620053,3.777337,14.123657,0.8655914,0.7276342,0.48387095,0.6898608
2025-08-27 15:37:54,2,1,32 Sean McSweeney,47 Penny Wu,0,0,0,0,0,0,0,0,1,0,0,7.4099665,-4.7713757,5.669354,0.48387095,0.6898608,0.33064517,0.7375746
2025-08-27 15:37:58,2,1,47 Penny Wu,03 Ethan Jones,0,0,0,0,0,0,0,0,0,0,1,14.34396,10.039764,10.244624,0.33064517,0.7375746,0.05376344,0.63717693
2025-08-27 15:38:20,2,1,03 Ethan Jones,24 Courtney Rachke,0,0,0,0,0,0,0,1,0,1,0,19.771866,7.952285,-18.10215,0.05376344,0.63717693,0.5430108,0.5576541
2025-08-27 15:38:22,2,1,24 Courtney Rachke,47 Penny Wu,0,0,0,0,0,1,0,0,1,0,0,6.2285023,-2.0874739,-5.8682785,0.5430108,0.5576541,0.7016129,0.5785288
2025-08-27 15:38:30,2,1,47 Penny Wu,32 Sean McSweeney,0,0,0,1,1,0,1,0,0,0,0,46.742683,46.42147,-5.4704313,0.7016129,0.5785288,0.8494624,0.11431412
2025-08-27 15:39:39,3,1,10 Nate King,08 ManHua Zhu,0,0,0,0,0,0,0,0,0,1,1,17.554207,17.09742,3.9784951,0.99462366,0.6988072,0.88709676,0.527833
2025-08-27 15:39:45,3,1,08 ManHua Zhu,20 Ellie Lind,0,0,0,0,0,0,0,0,0,1,1,12.236748,12.226638,-0.49731135,0.88709676,0.527833,0.9005376,0.4055666
