Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
47 Penny Wu,9,"1,2,4,7,10,12,15,17,20",9,0,5,0,33,8,33,24,9,3,2,0,8,7,1,2,0,0,432.44,286.48,16.63,11.02,239.82,-24.25,9.99,-1.01
92 Sam DeVine,9,"1,2,4,7,10,12,15,17,20",9,0,5,0,12,5,11,10,2,0,0,1,2,2,0,0,0,0,125.37,85.88,13.93,9.54,137.70,55.37,13.77,5.54
03 Ethan Jones,9,"1,2,4,7,10,12,15,17,20",9,0,5,0,10,6,8,9,1,0,0,2,1,1,0,3,0,0,84.12,53.68,12.02,7.67,183.53,138.07,20.39,15.34
32 Sean McSweeney,9,"1,2,4,7,10,12,15,17,20",9,0,5,0,21,8,20,13,8,1,2,1,2,2,0,1,0,0,278.86,117.79,15.49,6.54,206.16,93.54,15.86,7.20
19 Emily Molloy,9,"1,2,4,7,10,12,15,17,20",9,0,5,0,12,6,11,11,1,1,0,1,0,0,0,1,0,0,100.59,19.38,10.06,1.94,148.89,111.93,13.54,10.18
24 Courtney Rachke,9,"1,2,4,7,10,12,15,17,20",9,0,5,0,9,6,9,9,0,0,1,0,3,2,1,1,0,0,66.53,-13.32,9.50,-1.90,152.01,132.01,16.89,14.67
20 Ellie Lind,9,"3,5,6,8,9,11,14,16,19",1,8,1,1,4,2,4,4,0,0,0,0,1,1,0,0,0,0,46.32,32.90,15.44,10.97,39.94,-13.02,9.98,-3.26
17 Anna Martinello,9,"2,3,7,9,10,13,15,18,19",5,4,5,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,14.31,7.26,14.31,7.26
14 Gina Stees,8,"3,5,8,13,16,18,19,21",3,5,2,2,9,6,7,9,0,1,1,2,1,1,0,0,0,0,106.50,73.86,17.75,12.31,181.89,119.48,20.21,13.28
05 Seokhee Burningham,8,"1,8,12,13,16,17,18,20",5,3,2,2,7,5,6,6,1,0,0,1,1,0,1,1,0,0,62.84,16.50,12.57,3.30,150.06,125.05,25.01,20.84
30 Caleb Moran,8,"3,4,8,9,13,16,18,21",3,5,1,2,7,4,7,7,0,0,1,0,2,2,0,0,0,0,102.05,43.24,20.41,8.65,79.57,48.61,11.37,6.94
10 Nate King,8,"3,5,8,9,13,16,18,21",3,5,2,2,8,5,8,6,2,1,1,0,0,0,0,0,0,0,102.41,61.03,12.80,7.63,68.99,11.33,11.50,1.89
08 ManHua Zhu,7,"3,8,9,13,16,18,21",2,5,1,2,11,6,11,9,2,1,1,0,0,0,0,0,0,0,137.76,79.62,12.52,7.24,110.17,34.00,12.24,3.78
Mox,6,"5,6,11,14,18,21",3,3,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,8.49,-8.15,8.49,-8.15,11.45,4.47,11.45,4.47
71 Guber,6,"3,5,8,9,16,21",2,4,1,1,3,2,3,3,0,1,0,0,0,0,0,0,0,0,61.95,41.05,20.65,13.68,33.83,18.39,11.28,6.13
56 Angel Barragan,6,"5,11,13,14,19,21",2,4,1,1,5,4,5,3,2,0,0,0,2,2,0,0,0,0,37.04,-0.89,12.35,-0.30,33.78,6.16,11.26,2.05
07 Jake Blatt,5,"5,6,9,14,19",1,4,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0.00,0.00,0.00,0.00,15.09,14.81,15.09,14.81
76 Conrad Nguyen,4,"6,11,14,19",0,4,0,0,8,2,8,5,3,0,0,0,0,0,0,0,0,0,125.57,45.33,15.70,5.67,53.76,-8.15,10.75,-1.63
94 Gloria Adeola,4,"6,11,14,19",0,4,0,0,3,2,3,2,1,0,0,0,0,0,0,1,0,0,32.41,7.65,10.80,2.55,34.99,21.97,17.49,10.98
06 Tess Buchanan,3,"6,11,14",0,3,0,0,3,1,3,3,0,0,0,0,0,0,0,0,0,0,29.80,-16.50,9.93,-5.50,34.45,26.94,11.48,8.98
Peter Walsh,2,"6,11",0,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,8.58,-6.26,8.58,-6.26,19.27,-4.67,19.27,-4.67
