Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-08-25 11:39:51,1,1,30 Caleb Moran,08 ManHua Zhu,0,0,0,0,0,1,0,0,0,0,0,10.635983,7.0576534,-7.9569893,0.48118278,0.2664016,0.69623655,0.19582506
2025-08-25 11:40:10,1,1,08 ManHua Zhu,14 Gina Stees,0,0,0,1,1,0,0,0,0,0,0,5.8257117,5.2683907,-2.486559,0.69623655,0.19582506,0.76344085,0.14314115
2025-08-25 11:41:34,2,1,10 Nate King,08 ManHua Zhu,0,0,0,0,0,0,0,1,0,0,0,12.28264,1.0934412,12.233872,0.53494626,0.44333997,0.20430107,0.43240556
2025-08-25 11:41:41,2,1,08 ManHua Zhu,10 Nate King,0,0,0,0,0,0,0,0,1,0,0,9.569427,-8.349898,-4.6747317,0.20430107,0.43240556,0.33064517,0.51590455
2025-08-25 11:41:49,2,1,10 Nate King,14 Gina Stees,0,0,0,0,0,0,0,0,0,0,1,10.478395,7.2564573,7.55914,0.33064517,0.51590455,0.12634408,0.44333997
2025-08-25 11:41:59,2,1,14 Gina Stees,08 ManHua Zhu,0,0,0,0,0,0,0,0,1,1,0,8.429735,-2.7832985,-7.9569893,0.12634408,0.44333997,0.34139785,0.47117296
2025-08-25 11:42:28,2,1,08 ManHua Zhu,14 Gina Stees,1,1,0,0,0,0,0,0,0,0,0,18.880413,9.840954,-16.112902,0.34139785,0.47117296,0.7768817,0.37276343
2025-08-25 11:43:02,2,2,08 ManHua Zhu,14 Gina Stees,1,1,0,0,0,0,0,1,0,0,0,20.15207,4.2743535,19.693546,0.827957,0.4632207,0.2956989,0.42047715
2025-08-25 11:44:46,3,1,32 Sean McSweeney,47 Penny Wu,0,0,0,0,0,0,0,1,0,0,0,15.213144,6.5606413,13.725805,0.8413978,0.65308154,0.4704301,0.5874751
2025-08-25 11:44:49,3,1,47 Penny Wu,19 Emily Molloy,0,0,0,0,0,0,0,0,0,0,0,15.392715,9.84095,11.836021,0.4704301,0.5874751,0.15053764,0.48906562
2025-08-25 11:44:57,3,1,19 Emily Molloy,47 Penny Wu,0,0,0,0,0,0,0,0,1,0,0,5.752869,-5.4671974,-1.7903225,0.15053764,0.48906562,0.19892474,0.5437376
2025-08-25 11:45:16,3,1,47 Penny Wu,03 Ethan Jones,0,0,0,0,0,0,0,1,0,0,0,21.359219,6.36183,-20.389786,0.19892474,0.5437376,0.75,0.4801193
2025-08-25 11:45:20,3,1,03 Ethan Jones,92 Sam DeVine,0,0,0,0,0,0,0,0,0,0,1,12.40807,11.232606,-5.271505,0.75,0.4801193,0.8924731,0.36779323
2025-08-25 11:45:31,3,1,92 Sam DeVine,47 Penny Wu,0,0,0,0,0,1,0,0,0,1,1,10.979535,10.934392,0.9946227,0.8924731,0.36779323,0.8655914,0.25844932
2025-08-25 11:45:55,3,1,47 Penny Wu,,0,0,0,1,1,0,0,0,0,1,1,11.5346775,11.530817,0.2983868,0.8655914,0.25844932,0.8575269,0.14314115
2025-08-25 11:48:17,4,1,76 Conrad Nguyen,06 Tess Buchanan,0,0,0,0,0,0,0,1,0,1,0,15.67748,1.3916492,15.615591,0.89784944,0.82107353,0.47580644,0.80715704
2025-08-25 11:48:22,4,1,06 Tess Buchanan,94 Gloria Adeola,0,0,0,0,0,0,0,0,0,0,0,12.187975,10.139161,-6.763442,0.47580644,0.80715704,0.6586022,0.7057654
2025-08-25 11:48:34,4,1,94 Gloria Adeola,56 Angel Barragan,0,0,0,0,0,0,0,0,0,0,1,9.626127,5.2683887,-8.056451,0.6586022,0.7057654,0.8763441,0.65308154
2025-08-25 11:48:41,4,1,56 Angel Barragan,20 Ellie Lind,1,1,0,0,0,0,1,0,0,1,0,30.518967,30.4175,2.486559,0.8763441,0.65308154,0.8091398,0.34890655
2025-08-25 11:49:40,5,1,47 Penny Wu,32 Sean McSweeney,0,0,0,0,0,0,0,0,1,0,1,11.014454,-9.4433365,5.669355,0.2580645,0.49204773,0.10483871,0.5864811
2025-08-25 11:49:47,5,1,32 Sean McSweeney,03 Ethan Jones,0,0,0,0,0,0,0,0,0,1,1,15.427035,15.208745,2.5860212,0.10483871,0.5864811,0.034946237,0.43439364
2025-08-25 11:50:11,5,1,03 Ethan Jones,19 Emily Molloy,0,0,0,0,0,0,0,1,0,1,0,11.857021,3.777337,-11.239247,0.034946237,0.43439364,0.33870968,0.39662027
2025-08-25 11:50:55,5,1,19 Emily Molloy,47 Penny Wu,0,0,0,0,0,0,0,0,1,0,0,8.3622,-7.9522877,2.5860212,0.33870968,0.39662027,0.26881722,0.47614315
2025-08-25 11:51:01,5,1,47 Penny Wu,32 Sean McSweeney,0,0,0,0,0,0,0,0,0,0,0,16.669733,16.302189,3.4811833,0.26881722,0.47614315,0.17473118,0.31312126
2025-08-25 11:51:21,5,1,32 Sean McSweeney,47 Penny Wu,0,0,0,0,0,0,0,0,1,0,1,7.695916,-4.1749506,6.4650536,0.17473118,0.31312126,0.0,0.35487077
2025-08-25 11:51:24,5,1,47 Penny Wu,03 Ethan Jones,0,0,0,0,0,0,0,0,0,1,0,11.768552,4.0755453,-11.040323,0.0,0.35487077,0.2983871,0.31411532
2025-08-25 11:51:33,5,1,03 Ethan Jones,32 Sean McSweeney,0,0,0,0,0,1,0,1,0,0,0,11.842698,0.39761364,-11.836021,0.2983871,0.31411532,0.6182796,0.31013918
