Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
08 ManHua Zhu,6,"1,2,6,8,10,12",0,6,0,2,7,4,7,5,2,1,0,0,3,3,0,0,0,0,38.05,10.64,9.51,2.66,54.46,10.14,10.89,2.03
05 Seokhee Burningham,5,"3,7,9,10,11",4,1,4,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,11.39,10.34,11.39,10.34,27.46,13.22,27.46,13.22
24 Courtney Rachke,5,"3,5,7,9,11",5,0,5,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,52.65,49.40,52.65,49.40
19 Emily Molloy,5,"3,5,7,9,11",5,0,5,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,14.12,-13.42,7.06,-6.71,27.25,13.62,13.62,6.81
71 Guber,5,"1,2,6,10,12",0,5,0,2,2,1,1,2,0,0,0,1,1,0,1,0,0,0,45.86,44.63,45.86,44.63,27.91,14.12,13.95,7.06
17 Anna Martinello,5,"5,6,9,10,12",2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20 Ellie Lind,5,"1,2,4,8,12",0,5,0,2,1,1,1,1,0,0,1,0,0,0,0,0,0,0,11.89,-1.89,11.89,-1.89,45.86,44.63,45.86,44.63
32 Sean McSweeney,5,"3,5,7,9,11",5,0,5,0,8,5,8,4,4,2,2,0,0,0,0,0,0,0,152.88,89.66,19.11,11.21,50.91,17.59,12.73,4.40
03 Ethan Jones,5,"3,5,7,9,11",5,0,5,0,5,3,3,5,0,0,1,2,0,0,0,0,0,0,36.11,15.41,12.04,5.14,115.60,88.77,23.12,17.75
14 Gina Stees,5,"1,2,6,10,12",0,5,0,2,3,3,2,2,1,0,0,1,0,0,0,0,0,0,19.29,-1.19,9.64,-0.60,16.30,12.52,8.15,6.26
47 Penny Wu,5,"3,5,7,9,11",5,0,5,0,8,4,8,7,1,2,0,0,0,0,0,0,0,0,160.54,97.22,20.07,12.15,78.72,4.17,11.25,0.60
92 Sam DeVine,4,"3,5,7,11",4,0,4,0,3,3,2,3,0,1,1,1,0,0,0,0,0,0,63.63,60.34,31.81,30.17,74.53,61.23,24.84,20.41
30 Caleb Moran,4,"1,2,6,12",0,4,0,2,1,1,1,0,1,0,1,0,0,0,0,0,0,0,10.64,7.06,10.64,7.06,0.00,0.00,0.00,0.00
Mox,3,"1,4,8",0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10 Nate King,3,"2,6,10",0,3,0,0,2,1,2,1,1,0,0,0,0,0,0,0,0,0,22.76,8.35,11.38,4.17,9.57,-8.35,9.57,-8.35
04 Justin Foreman,3,"1,2,6",0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
56 Angel Barragan,3,"4,8,12",0,3,0,1,3,2,3,3,0,1,0,0,1,1,0,0,0,0,26.36,10.54,13.18,5.27,30.36,10.34,10.12,3.45
94 Gloria Adeola,2,"4,8",0,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,9.63,5.27,9.63,5.27,12.19,10.14,12.19,10.14
07 Jake Blatt,2,"8,10",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Peter Walsh,2,"4,8",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
76 Conrad Nguyen,1,4,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,15.68,1.39,15.68,1.39,0.00,0.00,0.00,0.00
06 Tess Buchanan,1,4,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,12.19,10.14,12.19,10.14,15.68,1.39,15.68,1.39
