Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-08-27 10:51:55,2,1,47 Penny Wu,32 Sean McSweeney,0,0,0,0,0,0,0,0,0,0,0,11.71422,7.057655,9.3494625,0.74731183,0.7664016,0.49462366,0.69582504
2025-08-27 10:52:01,2,1,32 Sean McSweeney,47 Penny Wu,0,0,0,0,0,0,0,0,1,0,0,8.194451,-6.660038,4.7741933,0.49462366,0.69582504,0.3655914,0.7624254
2025-08-27 10:53:22,2,1,47 Penny Wu,32 Sean McSweeney,0,0,0,0,0,0,0,0,0,0,0,18.985876,13.220674,-13.626345,0.3655914,0.7624254,0.733871,0.6302187
2025-08-27 10:53:24,2,1,32 Sean McSweeney,47 Penny Wu,0,0,0,0,0,0,0,0,0,0,0,13.802762,13.5188875,-2.7849457,0.733871,0.6302187,0.8091398,0.4950298
2025-08-27 10:53:27,2,1,47 Penny Wu,03 Ethan Jones,0,0,0,0,0,0,0,1,0,0,0,19.19769,3.3797204,18.89785,0.8091398,0.4950298,0.2983871,0.4612326
2025-08-27 10:53:30,2,1,03 Ethan Jones,47 Penny Wu,0,0,0,0,0,0,0,0,1,0,0,7.0030427,-5.4671946,4.376344,0.2983871,0.4612326,0.18010753,0.51590455
2025-08-27 10:53:35,2,1,47 Penny Wu,24 Courtney Rachke,0,0,0,0,0,1,0,0,0,0,1,18.853819,18.290255,4.575269,0.18010753,0.51590455,0.05645161,0.333002
2025-08-27 10:53:46,2,1,24 Courtney Rachke,92 Sam DeVine,0,0,0,1,1,0,0,0,0,1,1,19.936619,19.880716,1.4919355,0.05645161,0.333002,0.016129032,0.13419484
2025-08-27 10:55:26,4,1,32 Sean McSweeney,92 Sam DeVine,0,0,0,0,0,0,0,0,0,0,0,14.442984,9.54274,10.841397,0.6989247,0.8001988,0.40591398,0.7047714
2025-08-27 10:55:33,4,1,92 Sam DeVine,47 Penny Wu,0,0,0,0,0,0,0,0,0,0,0,13.326087,10.834991,7.7580643,0.40591398,0.7047714,0.19623657,0.5964215
2025-08-27 10:55:40,4,1,47 Penny Wu,03 Ethan Jones,1,1,0,0,0,0,0,0,0,0,0,13.884625,8.548707,-10.940861,0.19623657,0.5964215,0.4919355,0.5109344
2025-08-27 10:57:09,5,1,47 Penny Wu,32 Sean McSweeney,0,0,0,0,0,0,0,0,0,0,0,15.995882,9.940362,12.532257,0.8413978,0.6799205,0.50268817,0.5805169
2025-08-27 10:58:13,5,1,32 Sean McSweeney,24 Courtney Rachke,0,0,0,0,0,0,0,0,0,0,0,16.365944,14.8111315,6.9623656,0.50268817,0.5805169,0.31451613,0.43240556
2025-08-27 10:58:16,5,1,24 Courtney Rachke,03 Ethan Jones,0,0,0,0,0,0,0,0,0,0,0,9.138975,7.8528824,-4.6747313,0.31451613,0.43240556,0.4408602,0.35387674
2025-08-27 10:58:20,5,1,03 Ethan Jones,19 Emily Molloy,0,0,0,0,0,0,0,0,0,0,0,12.522406,7.057655,-10.344088,0.4408602,0.35387674,0.72043014,0.2833002
2025-08-27 10:59:16,5,1,19 Emily Molloy,32 Sean McSweeney,0,0,0,0,0,0,0,1,0,0,0,16.62647,-4.4731617,16.013443,0.72043014,0.2833002,0.2876344,0.3280318
2025-08-27 10:59:25,5,1,32 Sean McSweeney,19 Emily Molloy,0,0,0,0,0,0,0,0,1,0,0,8.874271,-8.846918,0.6962359,0.2876344,0.3280318,0.26881722,0.416501
2025-08-27 10:59:28,5,1,19 Emily Molloy,32 Sean McSweeney,0,0,0,0,0,0,0,0,0,0,0,10.128672,6.958249,-7.3602147,0.26881722,0.416501,0.46774194,0.3469185
2025-08-27 10:59:33,5,1,32 Sean McSweeney,92 Sam DeVine,0,0,0,0,0,0,0,1,0,0,1,14.723451,0.29821098,14.72043,0.46774194,0.3469185,0.06989247,0.34393638
2025-08-27 10:59:40,5,1,92 Sam DeVine,19 Emily Molloy,1,1,0,0,0,0,0,0,0,1,0,14.719664,13.021869,-6.862903,0.06989247,0.34393638,0.25537634,0.2137177
2025-08-27 11:00:13,5,2,92 Sam DeVine,47 Penny Wu,0,0,0,0,0,0,0,0,0,1,0,14.787185,14.711729,-1.4919357,0.11021505,0.5666004,0.15053764,0.4194831
2025-08-27 11:00:22,5,2,47 Penny Wu,05 Seokhee Burningham,0,0,0,0,0,0,0,0,0,0,0,26.421835,13.220676,-22.876345,0.15053764,0.4194831,0.7688172,0.28727633
2025-08-27 11:00:28,5,2,05 Seokhee Burningham,19 Emily Molloy,1,1,0,0,0,0,0,0,1,0,0,10.647863,-6.063619,8.7526865,0.7688172,0.28727633,0.5322581,0.34791252
2025-08-27 11:01:20,5,3,47 Penny Wu,24 Courtney Rachke,0,0,0,0,0,0,0,0,0,0,0,17.6129,15.109343,9.051077,0.72043014,0.81809145,0.47580644,0.666998
2025-08-27 11:01:30,5,3,24 Courtney Rachke,03 Ethan Jones,1,1,0,0,0,0,0,0,0,0,0,13.769601,13.021869,-4.4758077,0.47580644,0.666998,0.5967742,0.53677934
2025-08-27 14:39:32,6,1,10 Nate King,08 ManHua Zhu,0,0,0,0,0,0,0,0,0,0,0,12.1886015,8.051687,-9.150538,0.29301074,0.76938367,0.5403226,0.6888668
2025-08-27 14:39:43,6,1,08 ManHua Zhu,10 Nate King,0,0,0,0,0,0,0,0,0,0,0,8.177693,0.59642196,8.155915,0.5403226,0.6888668,0.31989247,0.6829026
