Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
19 Emily Molloy,12,"1,2,4,7,9,10,11,13,15,17,19,20",10,2,7,0,13,6,10,13,0,1,0,3,1,1,0,0,0,0,79.66,-9.84,8.85,-1.09,184.24,85.19,14.17,6.55
03 Ethan Jones,9,"2,4,7,9,11,13,15,17,19",9,0,7,0,11,7,10,9,2,2,1,1,1,1,0,1,0,0,128.21,49.60,14.25,5.51,164.60,124.85,18.29,13.87
47 Penny Wu,9,"2,4,7,9,11,13,15,17,19",9,0,7,0,24,9,23,19,5,3,1,1,4,3,1,0,0,0,346.03,212.03,17.30,10.60,226.72,47.51,11.93,2.50
17 Anna Martinello,9,"2,3,5,7,10,11,14,15,19",7,2,6,0,5,4,5,5,0,0,1,0,1,1,0,0,0,0,54.92,25.55,13.73,6.39,77.25,49.11,15.45,9.82
32 Sean McSweeney,9,"2,4,7,9,11,13,15,17,19",9,0,7,0,15,8,15,9,6,0,3,0,0,0,0,1,0,0,224.62,143.94,16.04,10.28,133.05,31.91,14.78,3.55
24 Courtney Rachke,9,"2,4,7,9,11,13,15,17,19",9,0,7,0,7,5,5,7,0,1,0,2,0,0,0,0,0,0,62.01,11.53,12.40,2.31,104.34,83.10,14.91,11.87
71 Guber,8,"1,3,5,8,10,14,18,20",2,6,1,0,4,2,4,4,0,1,0,0,1,1,0,1,0,0,91.50,49.50,30.50,16.50,68.20,16.10,17.05,4.03
08 ManHua Zhu,8,"1,3,8,10,12,14,18,20",1,7,0,0,4,2,4,3,1,0,0,0,1,1,0,0,0,0,36.56,16.30,12.19,5.43,54.07,19.98,18.02,6.66
92 Sam DeVine,7,"2,4,9,11,13,15,17",7,0,5,0,7,5,7,6,1,0,0,0,1,1,0,1,0,0,97.86,54.17,16.31,9.03,84.31,44.93,14.05,7.49
20 Ellie Lind,7,"1,3,6,8,14,16,20",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30 Caleb Moran,6,"1,5,8,10,18,20",2,4,1,0,2,1,2,2,0,0,1,0,0,0,0,0,0,0,26.34,6.96,13.17,3.48,30.50,10.34,15.25,5.17
10 Nate King,6,"3,5,8,10,16,20",2,4,1,0,6,3,6,3,3,0,0,0,1,1,0,0,0,0,74.10,40.85,14.82,8.17,33.61,-4.37,11.20,-1.46
14 Gina Stees,6,"3,5,8,10,16,18",2,4,1,0,3,2,2,2,1,0,0,1,0,0,0,0,0,0,40.74,0.30,20.37,0.15,68.21,57.26,34.10,28.63
05 Seokhee Burningham,6,"4,7,9,13,17,19",6,0,4,0,11,4,11,11,0,0,1,0,0,0,0,0,0,0,125.85,32.31,11.44,2.94,159.30,67.30,14.48,6.12
07 Jake Blatt,5,"1,6,12,16,20",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mox,5,"5,6,12,16,18",1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04 Justin Foreman,4,"3,8,14,18",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
76 Conrad Nguyen,3,"6,12,16",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Peter Walsh,3,"5,12,16",1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
56 Angel Barragan,3,"1,6,12",0,3,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,10.00,-0.99,10.00,-0.99,0.00,0.00,0.00,0.00
06 Tess Buchanan,2,"6,12",0,2,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0.00,0.00,0.00,0.00,10.00,-0.99,10.00,-0.99
94 Gloria Adeola,2,"6,18",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
