Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
82 Claire Schmitt,11,"1,3,5,7,8,11,15,16,18,19,20",4,7,3,2,28,8,28,19,9,3,0,0,5,4,1,0,0,0,333.82,203.10,13.91,8.46,167.17,10.59,8.80,0.56
27 Connie Chan,10,"1,3,5,7,9,12,15,16,19,20",3,7,3,0,4,3,4,3,1,0,1,0,0,0,0,1,0,0,35.53,1.43,8.88,0.36,95.13,88.44,31.71,29.48
13 Grace Feehan,9,"2,4,6,7,10,13,14,17,18",9,0,5,0,5,5,5,5,0,0,3,0,0,0,0,0,0,0,83.29,65.87,20.82,16.47,69.59,51.55,13.92,10.31
06 Kylie Chesner,9,"1,3,5,8,9,11,12,16,20",0,9,0,2,2,2,2,2,0,1,0,0,0,0,0,0,0,0,33.75,23.82,16.87,11.91,24.23,11.16,12.11,5.58
17 Rufus Caitlin Duffner,9,"2,4,6,7,8,14,15,17,18",8,1,4,1,6,4,5,6,0,0,1,1,0,0,0,1,0,0,56.71,43.47,11.34,8.69,83.63,64.08,13.94,10.68
29 Jade Hostein,9,"1,3,5,7,8,11,16,19,20",2,7,2,2,8,5,5,8,0,1,0,3,1,1,0,1,0,0,33.86,5.60,8.47,1.40,81.89,51.35,10.24,6.42
72 JJ Jarik,9,"2,6,10,11,13,14,15,17,19",8,1,5,1,7,5,6,7,0,1,2,1,0,0,0,0,0,0,93.55,70.01,15.59,11.67,206.88,154.10,29.55,22.01
10 Steph Rupp,8,"2,4,7,10,13,15,17,19",8,0,7,0,15,7,15,12,3,1,0,0,1,1,0,1,0,0,199.49,111.89,14.25,7.99,120.62,48.25,10.05,4.02
05 Anna Thorn,8,"2,4,6,10,13,14,17,18",8,0,4,0,13,7,13,8,5,0,0,0,2,2,0,0,0,0,123.70,57.83,11.25,5.26,78.67,35.04,9.83,4.38
08 PJ Maddi Lang,8,"1,3,5,8,9,11,16,20",0,8,0,2,4,4,4,4,0,0,0,0,0,0,0,0,0,0,39.83,13.96,9.96,3.49,37.12,-2.14,9.28,-0.53
15 Hannah Cheng,7,"4,6,10,14,15,18,19",7,0,4,0,8,4,8,8,0,0,0,0,0,0,0,0,0,0,72.38,17.47,9.05,2.18,87.02,24.91,10.88,3.11
31 Abby Shure,6,"2,4,10,13,17,18",6,0,4,0,5,3,4,5,0,1,0,1,2,2,0,0,0,0,34.78,19.56,17.39,9.78,71.85,60.08,14.37,12.02
26 Rhea Joshi,6,"3,8,9,11,12,20",0,6,0,2,1,1,1,1,0,0,0,0,0,0,0,1,0,0,12.89,6.70,12.89,6.70,9.71,9.60,9.71,9.60
88 Catherine Chen,6,"2,6,7,13,14,17",6,0,3,0,5,4,5,2,3,0,0,0,1,1,0,0,0,0,33.64,25.32,11.21,8.44,14.44,6.83,7.22,3.41
18 Kendra Griesman,5,"6,13,15,18,19",5,0,3,0,4,4,2,4,0,0,1,2,1,0,1,0,0,0,14.87,-14.67,7.44,-7.34,52.04,29.02,13.01,7.25
07 Annie Phan,5,"1,9,12,16,20",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
99 Dana Demmert,4,"1,5,9,12",0,4,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,8.91,3.72,8.91,3.72,10.12,8.91,10.12,8.91
12 Lizzie Tilden,3,"5,12,16",0,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,12.69,11.97,12.69,11.97,15.79,7.59,15.79,7.59
21 Sowmya Ragothaman,3,"8,9,12",0,3,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,11.61,0.96,11.61,0.96,0.00,0.00,0.00,0.00
09 Moose Lucy Petersen,3,"4,10,14",3,0,2,0,4,2,3,4,0,1,0,1,0,0,0,0,0,0,38.56,30.94,12.85,10.31,47.99,39.59,12.00,9.90
41 Avery Mullen,1,11,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23 Marie Zarazoga,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
