Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-09-04 14:30:23,1,1,26 Rhea Joshi,82 Claire Schmitt,0,0,0,0,0,0,0,0,1,0,0,8.450084,-2.33621,-8.120716,0.33196154,0.4083291,0.55144036,0.4316912
2025-09-04 14:30:46,1,1,82 Claire Schmitt,27 Connie Chan,0,0,0,0,0,0,0,0,0,0,0,12.069946,8.227524,8.831277,0.55144036,0.4316912,0.3127572,0.34941596
2025-09-04 14:30:50,1,1,27 Connie Chan,21 Sowmya Ragothaman,0,0,0,0,0,0,0,0,0,0,0,8.785807,0.30472577,-8.78052,0.3127572,0.34941596,0.55006856,0.3463687
2025-09-04 14:30:55,1,1,21 Sowmya Ragothaman,29 Jade Hostein,0,0,0,0,0,0,0,1,0,0,1,11.426979,0.40629804,-11.419753,0.55006856,0.3463687,0.8587105,0.34230572
2025-09-04 14:31:00,1,1,29 Jade Hostein,82 Claire Schmitt,0,0,0,0,0,0,0,1,0,1,0,17.673613,2.742508,17.459532,0.8587105,0.34230572,0.38683128,0.31488064
2025-09-04 14:31:07,1,1,82 Claire Schmitt,29 Jade Hostein,0,0,0,0,0,0,0,0,0,0,0,6.700359,0.101575255,-6.699589,0.38683128,0.31488064,0.56790125,0.3138649
2025-09-04 14:31:08,1,1,29 Jade Hostein,82 Claire Schmitt,0,0,0,0,0,1,0,0,0,0,0,7.0087175,-0.25393665,-7.0041156,0.56790125,0.3138649,0.7572017,0.31640425
2025-09-04 14:31:40,1,1,82 Claire Schmitt,27 Connie Chan,0,0,0,1,1,0,0,0,0,0,1,17.852179,17.216862,-4.720164,0.7572017,0.31640425,0.8847737,0.14423564
2025-09-04 14:32:55,3,1,05 Anna Thorn,10 Steph Rupp,0,0,0,0,0,0,0,1,0,1,0,14.282131,5.2470684,13.283356,0.85006875,0.7931737,0.49105912,0.740703
2025-09-04 14:33:12,3,1,10 Steph Rupp,17 Rufus Caitlin Duffner,0,0,0,0,0,0,0,0,0,0,0,10.989693,8.813042,6.5653367,0.49105912,0.740703,0.3136176,0.6525726
2025-09-04 14:33:14,3,1,17 Rufus Caitlin Duffner,13 Grace Feehan,1,1,0,0,0,0,0,0,0,0,0,11.503979,11.207336,2.5955987,0.3136176,0.6525726,0.24346627,0.5404992
2025-09-04 14:34:14,4,1,88 Catherine Chen,10 Steph Rupp,0,0,0,0,0,0,0,0,0,0,0,9.591929,9.373408,-2.035761,0.5790922,0.794702,0.6341128,0.7009679
2025-09-04 14:34:17,4,1,10 Steph Rupp,88 Catherine Chen,0,0,0,0,0,0,0,0,0,0,0,7.286583,0.3565967,7.2778516,0.6341128,0.7009679,0.43741408,0.69740194
2025-09-04 14:34:25,4,1,88 Catherine Chen,31 Abby Shure,0,0,0,0,0,0,0,1,0,0,1,13.720853,6.7243996,11.960112,0.43741408,0.69740194,0.11416781,0.63015795
2025-09-04 14:34:29,4,1,31 Abby Shure,88 Catherine Chen,0,0,0,0,0,0,0,0,0,1,0,7.6269417,4.635763,-6.0563965,0.11416781,0.63015795,0.2778542,0.5838003
2025-09-04 14:34:36,4,1,88 Catherine Chen,31 Abby Shure,0,0,0,0,0,0,0,0,0,0,1,6.3081617,1.5792131,6.10729,0.2778542,0.5838003,0.11279232,0.5680082
2025-09-04 14:34:37,4,1,31 Abby Shure,88 Catherine Chen,0,0,0,0,0,0,0,0,0,1,1,4.46191,4.2282286,1.4250338,0.11279232,0.5680082,0.07427789,0.5257259
