Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
29 Jade Hostein,11,"1,2,5,7,9,15,16,17,19,20,21",3,8,1,4,13,5,13,12,1,1,1,0,0,0,0,1,0,0,125.23,35.02,9.63,2.69,108.18,55.86,9.02,4.66
15 Hannah Cheng,9,"3,4,8,11,13,14,18,20,21",9,0,6,0,23,7,23,19,4,1,1,0,0,0,0,0,0,0,181.12,42.74,7.87,1.86,164.74,0.66,8.67,0.03
27 Connie Chan,9,"1,5,7,9,12,15,17,19,20",2,7,0,3,13,5,12,13,0,0,0,1,2,1,1,1,0,0,87.50,11.51,7.95,1.05,149.50,57.62,11.50,4.43
82 Claire Schmitt,9,"1,5,9,12,15,17,19,20,21",3,6,1,3,16,7,16,11,5,1,2,0,2,2,0,0,0,0,139.35,74.04,9.95,5.29,102.72,18.34,9.34,1.67
13 Grace Feehan,8,"3,4,6,11,13,14,18,20",8,0,5,0,7,5,6,6,1,0,1,1,0,0,0,0,0,0,57.44,22.92,9.57,3.82,84.55,66.89,14.09,11.15
17 Rufus Caitlin Duffner,8,"3,4,8,11,13,14,18,20",8,0,5,0,8,6,8,8,0,1,1,0,1,1,0,0,0,0,57.37,19.21,8.20,2.74,92.14,48.45,11.52,6.06
10 Steph Rupp,8,"3,4,6,11,13,18,19,20",8,0,4,0,27,8,27,24,3,0,0,0,0,0,0,0,0,0,277.82,101.61,10.29,3.76,193.15,20.48,8.05,0.85
72 JJ Jarik,8,"4,6,8,11,14,18,19,21",8,0,6,0,8,6,6,8,0,1,1,2,1,1,0,0,0,0,73.50,58.58,14.70,11.72,127.89,96.79,15.99,12.10
06 Kylie Chesner,7,"2,5,7,10,12,15,16",0,7,0,2,2,1,1,2,0,0,0,1,0,0,0,0,0,0,8.72,8.71,8.72,8.71,22.34,21.75,11.17,10.88
88 Catherine Chen,7,"4,6,8,11,14,19,21",7,0,6,0,29,7,28,23,6,1,1,1,3,3,0,0,0,0,277.52,136.22,11.10,5.45,180.55,71.57,7.85,3.11
31 Abby Shure,7,"3,4,6,8,13,14,21",7,0,6,0,10,5,9,10,0,2,1,1,0,0,0,0,0,0,84.72,40.96,9.41,4.55,117.73,76.97,11.77,7.70
26 Rhea Joshi,7,"1,2,5,7,9,15,16",0,7,0,4,4,3,4,3,1,0,0,0,0,0,0,1,0,0,40.56,-1.67,10.14,-0.42,24.70,18.19,8.23,6.06
99 Dana Demmert,6,"1,2,9,10,16,17",0,6,0,3,3,3,3,3,0,0,0,0,0,0,0,1,0,0,22.38,7.38,7.46,2.46,31.55,19.00,10.52,6.33
21 Sowmya Ragothaman,6,"1,5,9,12,16,17",0,6,0,3,12,3,10,12,0,0,1,2,0,0,0,0,0,0,99.07,24.64,9.91,2.46,100.85,17.96,8.40,1.50
07 Annie Phan,6,"2,7,10,12,15,17",0,6,0,1,3,2,3,2,1,1,0,0,1,0,1,0,0,0,30.42,16.25,10.14,5.42,19.61,14.62,9.81,7.31
05 Anna Thorn,6,"3,6,8,13,14,18",6,0,4,0,20,7,19,18,2,1,1,1,1,1,0,0,0,0,210.13,91.86,11.67,5.10,173.24,36.93,9.62,2.05
08 PJ Maddi Lang,6,"2,5,7,10,12,16",0,6,0,1,10,3,10,10,0,1,0,0,0,0,0,0,0,0,57.82,19.71,7.23,2.46,75.96,9.84,7.60,0.98
09 Moose Lucy Petersen,4,"3,6,8,13",4,0,3,0,3,1,3,3,0,0,0,0,1,1,0,0,0,0,16.36,6.16,8.18,3.08,30.05,24.72,10.02,8.24
18 Kendra Griesman,4,"11,18,19,21",4,0,2,0,8,4,7,8,0,0,0,1,1,1,0,0,0,0,58.50,14.67,9.75,2.45,106.68,77.38,13.33,9.67
23 Marie Zarazoga,4,"7,10,12,17",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12 Lizzie Tilden,3,"2,10,15",0,3,0,1,4,1,4,4,0,0,0,0,0,0,0,0,0,0,36.38,11.36,9.10,2.84,26.98,-18.08,6.74,-4.52
41 Avery Mullen,3,"1,9,16",0,3,0,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,19.80,2.84,9.90,1.42,28.59,8.78,14.29,4.39
11 Letty Ho,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
