Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-08-25 13:18:05,1,1,82 Claire Schmitt,27 Connie Chan,1,1,0,0,0,0,0,0,0,0,0,9.82485,9.701467,1.552165,0.79092157,0.8369842,0.74897116,0.73996955
2025-08-25 13:19:04,1,2,07 Annie Phan,06 Kylie Chesner,0,0,0,0,0,0,0,0,0,0,0,7.2022347,4.99236,5.191197,0.3259973,0.73102397,0.18569468,0.68110037
2025-08-25 13:19:08,1,2,06 Kylie Chesner,29 Jade Hostein,0,0,0,0,0,0,0,0,0,0,0,8.813629,8.813042,-0.10178673,0.18569468,0.68110037,0.18844567,0.59296995
2025-08-25 13:19:16,1,2,29 Jade Hostein,08 PJ Maddi Lang,0,0,0,0,0,0,0,0,1,0,0,6.6114564,-5.043298,-4.275103,0.18844567,0.59296995,0.303989,0.64340293
2025-08-25 13:19:19,1,2,08 PJ Maddi Lang,27 Connie Chan,0,0,0,0,0,0,0,0,0,0,0,9.899035,8.609271,4.8858323,0.303989,0.64340293,0.17193948,0.5573102
2025-08-25 13:19:29,1,2,27 Connie Chan,26 Rhea Joshi,0,0,0,0,0,0,0,0,0,0,0,12.282291,12.277123,-0.35626018,0.17193948,0.5573102,0.18156813,0.434539
2025-08-25 13:19:36,1,2,26 Rhea Joshi,08 PJ Maddi Lang,0,0,0,0,0,0,0,0,1,0,0,6.424421,-3.56597,-5.343879,0.18156813,0.434539,0.3259973,0.4701987
2025-08-25 13:19:59,1,2,08 PJ Maddi Lang,29 Jade Hostein,0,0,0,0,0,0,0,0,0,0,0,7.8734393,2.2924094,-7.532324,0.3259973,0.4701987,0.5295736,0.4472746
2025-08-25 13:20:06,1,2,29 Jade Hostein,08 PJ Maddi Lang,0,0,0,0,0,0,0,0,1,0,0,6.59343,-4.482934,-4.834938,0.5295736,0.4472746,0.6602476,0.49210393
2025-08-25 13:20:13,1,2,08 PJ Maddi Lang,82 Claire Schmitt,0,0,0,0,0,1,0,0,0,0,0,15.529209,9.78095,12.061897,0.6602476,0.49210393,0.3342504,0.39429444
2025-08-25 13:20:17,1,2,82 Claire Schmitt,27 Connie Chan,0,0,0,1,1,0,0,0,0,0,0,25.11826,24.55425,5.2929854,0.3342504,0.39429444,0.19119672,0.14875193
2025-08-25 13:21:46,2,1,82 Claire Schmitt,99 Dana Demmert,0,0,0,0,0,0,0,0,0,0,0,10.716804,5.9602647,-8.906465,0.54607975,0.4452369,0.786795,0.38563424
2025-08-25 13:21:52,2,1,99 Dana Demmert,06 Kylie Chesner,0,0,0,0,0,0,0,0,0,0,1,9.977862,9.577179,-2.7991748,0.786795,0.38563424,0.8624484,0.28986245
2025-08-25 13:22:01,2,1,06 Kylie Chesner,29 Jade Hostein,0,0,0,0,0,0,0,0,0,1,1,6.3923674,6.3678055,-0.55983585,0.8624484,0.28986245,0.8775791,0.2261844
2025-08-25 13:22:13,2,1,29 Jade Hostein,08 PJ Maddi Lang,0,0,0,0,0,0,0,1,0,1,0,11.640707,-2.8018355,11.298486,0.8775791,0.2261844,0.5722146,0.25420275
2025-08-25 13:22:17,2,1,08 PJ Maddi Lang,82 Claire Schmitt,0,0,0,0,0,1,0,0,1,0,0,5.3608074,-5.3489566,-0.35625798,0.5722146,0.25420275,0.5818432,0.30769232
2025-08-25 13:22:21,2,1,82 Claire Schmitt,27 Connie Chan,0,0,0,1,1,0,0,0,0,0,0,20.192543,15.028021,13.486933,0.5818432,0.30769232,0.2173315,0.15741211
2025-08-25 13:23:53,3,1,82 Claire Schmitt,23 Marie Zarazoga,0,0,0,0,0,0,0,1,0,1,0,25.808773,-2.8527796,-25.650621,0.048143055,0.6352522,0.74140304,0.66378
2025-08-25 13:23:55,3,1,23 Marie Zarazoga,07 Annie Phan,0,0,0,0,0,0,0,1,0,0,0,11.389482,2.3433566,11.145805,0.74140304,0.66378,0.44016507,0.6403464
2025-08-25 13:24:04,3,1,07 Annie Phan,23 Marie Zarazoga,0,0,0,0,0,0,0,0,1,0,0,6.5898385,-4.737645,-4.580468,0.44016507,0.6403464,0.5639615,0.68772286
2025-08-25 13:24:18,3,1,23 Marie Zarazoga,07 Annie Phan,0,0,0,0,0,0,0,0,0,0,0,6.634973,4.941416,-4.4277844,0.5639615,0.68772286,0.68363136,0.6383087
2025-08-25 13:24:31,3,1,07 Annie Phan,82 Claire Schmitt,0,0,0,0,0,0,0,0,0,0,1,9.8692045,6.7753434,-7.176066,0.68363136,0.6383087,0.8775791,0.57055527
2025-08-25 13:24:39,3,1,82 Claire Schmitt,06 Kylie Chesner,0,0,0,0,0,0,0,0,0,1,0,10.542151,10.290373,2.2902346,0.8775791,0.57055527,0.81568086,0.46765155
2025-08-25 13:24:57,3,1,06 Kylie Chesner,99 Dana Demmert,0,0,0,0,0,0,0,0,0,0,1,9.035601,8.303616,-3.5625887,0.81568086,0.46765155,0.91196704,0.3846154
2025-08-25 13:25:01,3,1,99 Dana Demmert,11 Letty Ho,0,0,0,0,0,0,0,0,0,1,1,8.101287,8.099848,0.1526823,0.91196704,0.3846154,0.9078405,0.3036169
