Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-08-22 15:17:26,1,1,10 Steph Rupp,15 Hannah Cheng,0,0,0,0,0,0,0,0,0,1,0,12.076727,6.418747,10.2297125,0.90784043,0.7172695,0.6313617,0.653082
2025-08-22 15:17:31,1,1,15 Hannah Cheng,10 Steph Rupp,0,0,0,0,0,0,0,0,1,0,0,5.7348056,-4.533875,3.5116909,0.6313617,0.653082,0.53645116,0.69842076
2025-08-22 15:17:34,1,1,10 Steph Rupp,15 Hannah Cheng,0,0,0,0,0,0,0,0,0,0,0,5.0700526,4.6867013,1.9339767,0.53645116,0.69842076,0.48418152,0.65155375
2025-08-22 15:17:40,1,1,15 Hannah Cheng,05 Anna Thorn,0,0,0,0,0,0,0,0,1,0,0,8.033062,-1.2226164,-7.9394774,0.48418152,0.65155375,0.698762,0.6637799
2025-08-22 15:18:26,1,1,05 Anna Thorn,13 Grace Feehan,0,0,0,0,0,0,0,0,0,0,0,15.470576,15.384615,1.6286098,0.698762,0.6637799,0.6547455,0.50993377
2025-08-22 15:18:34,1,1,13 Grace Feehan,18 Kendra Griesman,0,0,0,0,0,0,0,0,0,0,1,7.6424017,1.986754,-7.3796415,0.6547455,0.50993377,0.8541953,0.49006623
2025-08-22 15:18:41,1,1,18 Kendra Griesman,13 Grace Feehan,0,0,0,0,0,0,0,0,0,1,0,12.748994,12.226185,3.6134796,0.8541953,0.49006623,0.7565337,0.36780438
2025-08-22 15:18:45,1,1,13 Grace Feehan,72 JJ Jarik,0,0,0,0,0,1,0,0,0,0,1,7.1870413,4.024452,-5.9546075,0.7565337,0.36780438,0.917469,0.32755986
2025-08-22 15:18:51,1,1,72 JJ Jarik,13 Grace Feehan,0,0,0,1,1,0,0,0,0,1,1,19.726973,19.66378,1.5777164,0.917469,0.32755986,0.87482804,0.13092205
2025-08-22 15:19:55,2,1,82 Claire Schmitt,29 Jade Hostein,0,0,0,0,0,0,0,0,0,0,0,13.412391,8.965868,-9.975241,0.34525448,0.83138055,0.6148556,0.74172187
