Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
26 Rhea Joshi,11,"2,6,8,10,12,14,15,17,18,19,21",0,11,0,3,3,2,3,3,0,1,0,0,0,0,0,0,0,0,45.20,43.50,15.07,14.50,31.89,29.55,10.63,9.85
29 Jade Hostein,11,"2,4,6,8,10,12,14,15,18,19,21",0,11,0,3,10,4,10,10,0,0,0,0,2,1,1,1,0,0,72.98,10.04,8.11,1.12,85.82,49.31,8.58,4.93
27 Connie Chan,10,"2,4,6,10,12,14,15,17,18,20",0,10,0,3,5,3,4,5,0,0,0,1,1,1,0,0,0,0,23.98,-1.78,7.99,-0.59,85.62,64.14,17.12,12.83
82 Claire Schmitt,10,"2,4,6,8,10,12,14,15,18,20",0,10,0,3,18,5,18,10,8,2,1,0,2,2,0,0,0,0,210.42,144.12,14.03,9.61,77.85,-25.57,7.79,-2.56
06 Kylie Chesner,8,"2,4,8,10,14,17,19,20",0,8,0,3,5,2,4,5,0,0,0,1,0,0,0,1,0,0,32.31,13.60,8.08,3.40,69.07,39.38,13.81,7.88
21 Sowmya Ragothaman,8,"2,4,8,12,14,17,19,21",0,8,0,2,8,3,8,8,0,0,1,0,0,0,0,0,0,0,65.26,9.42,8.16,1.18,68.65,9.53,8.58,1.19
08 PJ Maddi Lang,8,"2,4,10,14,17,18,20,21",0,8,0,3,5,3,4,5,0,0,0,1,0,0,0,0,0,0,36.61,13.55,9.15,3.39,35.57,23.64,7.11,4.73
17 Rufus Caitlin Duffner,8,"1,3,5,7,9,11,16,22",8,0,8,0,9,5,7,8,1,0,3,2,0,0,0,1,0,0,58.15,26.88,8.31,3.84,111.30,84.36,13.91,10.55
10 Steph Rupp,8,"1,3,5,9,11,13,16,22",8,0,8,0,25,8,24,21,4,1,3,1,0,0,0,1,0,0,282.66,178.91,11.78,7.45,166.06,0.25,7.91,0.01
07 Annie Phan,7,"6,10,12,15,17,19,20",0,7,0,2,9,3,9,7,2,0,1,0,0,0,0,0,0,0,71.20,6.57,7.91,0.73,70.59,17.07,10.08,2.44
05 Anna Thorn,7,"1,5,7,9,13,16,22",7,0,7,0,12,6,12,9,3,2,0,0,0,0,0,0,0,0,118.71,54.61,9.89,4.55,81.22,32.81,9.02,3.65
13 Grace Feehan,7,"1,5,9,11,13,16,22",7,0,7,0,6,4,5,6,0,0,1,1,0,0,0,1,0,0,49.94,33.06,9.99,6.61,77.19,74.53,12.87,12.42
72 JJ Jarik,7,"1,3,7,9,13,16,22",7,0,7,0,7,4,7,7,0,3,0,0,2,2,0,0,0,0,112.17,95.52,22.43,19.10,77.47,51.80,11.07,7.40
15 Hannah Cheng,6,"1,3,7,9,11,16",6,0,6,0,22,5,21,18,4,0,0,1,3,3,0,0,0,0,148.32,-6.56,8.24,-0.36,163.58,48.23,9.09,2.68
88 Catherine Chen,6,"3,5,7,11,13,22",6,0,6,0,16,5,16,14,2,2,0,0,0,0,0,0,0,0,177.98,98.08,11.12,6.13,125.54,28.10,8.97,2.01
99 Dana Demmert,6,"4,8,12,15,18,20",0,6,0,2,5,3,4,5,0,0,0,1,0,0,0,0,0,0,33.45,-1.73,8.36,-0.43,82.89,74.38,16.58,14.88
31 Abby Shure,6,"3,5,7,11,13,22",6,0,6,0,10,4,8,10,0,1,1,2,0,0,0,0,0,0,64.39,23.55,8.05,2.94,121.28,91.83,12.13,9.18
18 Kendra Griesman,4,"1,5,11,16",4,0,4,0,5,2,5,5,0,0,0,0,0,0,0,0,0,0,47.37,25.47,9.47,5.09,52.80,28.78,10.56,5.76
12 Lizzie Tilden,4,"8,15,19,21",0,4,0,1,8,1,8,8,0,1,0,0,1,1,0,0,0,0,82.66,43.45,11.81,6.21,65.48,-6.37,8.18,-0.80
09 Moose Lucy Petersen,4,"3,7,9,13",4,0,4,0,7,4,5,7,0,0,1,2,0,0,0,0,0,0,45.88,22.16,9.18,4.43,129.15,110.97,18.45,15.85
11 Letty Ho,3,"6,19,21",0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41 Avery Mullen,3,"6,18,21",0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23 Marie Zarazoga,2,"17,20",0,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,5.80,-4.23,5.80,-4.23,6.43,1.48,6.43,1.48
