Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-09-04 16:18:04,1,1,82 Claire Schmitt,06 Kylie Chesner,0,0,0,0,0,0,0,0,1,0,0,6.392582,-1.018846,6.3108683,0.3259973,0.83545595,0.15543328,0.8456444
2025-09-04 16:18:06,1,1,06 Kylie Chesner,82 Claire Schmitt,0,0,0,0,0,0,0,0,0,0,0,6.1329446,0.5603671,-6.1072907,0.15543328,0.8456444,0.3204952,0.84004074
2025-09-04 16:18:10,1,1,82 Claire Schmitt,27 Connie Chan,0,0,0,0,0,0,0,0,0,0,0,6.733835,4.8395276,4.6822543,0.3204952,0.84004074,0.19394778,0.79164547
2025-09-04 16:18:26,1,1,27 Connie Chan,26 Rhea Joshi,0,0,0,0,0,0,0,0,0,0,0,9.90345,4.533875,-8.804675,0.19394778,0.79164547,0.43191198,0.7463067
2025-09-04 16:18:32,1,1,26 Rhea Joshi,29 Jade Hostein,1,0,1,0,0,0,0,1,0,0,0,11.622944,1.2735665,-11.5529585,0.43191198,0.7463067,0.7441541,0.73357105
2025-09-04 16:19:20,1,2,82 Claire Schmitt,27 Connie Chan,0,0,0,0,0,0,0,0,0,0,0,10.678063,10.646969,0.8143071,0.8046768,0.8242486,0.7826685,0.7177789
2025-09-04 16:19:36,1,2,27 Connie Chan,82 Claire Schmitt,0,0,0,0,0,0,0,0,1,0,0,5.6268077,-2.6999474,4.9367247,0.7826685,0.7177789,0.6492435,0.7447784
2025-09-04 16:19:41,1,2,82 Claire Schmitt,08 PJ Maddi Lang,0,0,0,0,0,0,0,1,0,0,0,12.570763,3.3621967,12.112791,0.6492435,0.7447784,0.32187074,0.7111564
2025-09-04 16:19:45,1,2,08 PJ Maddi Lang,21 Sowmya Ragothaman,0,0,0,0,0,0,0,0,0,0,0,8.726469,7.8960776,3.7152698,0.32187074,0.7111564,0.22145805,0.63219565
2025-09-04 16:19:48,1,2,21 Sowmya Ragothaman,08 PJ Maddi Lang,0,0,0,0,0,0,0,0,1,0,0,7.033827,-2.2414625,-6.6671257,0.22145805,0.63219565,0.40165064,0.6546103
2025-09-04 16:19:52,1,2,08 PJ Maddi Lang,82 Claire Schmitt,0,0,0,0,0,0,0,0,1,0,0,5.6185803,-1.8848717,-5.2929864,0.40165064,0.6546103,0.5447043,0.673459
2025-09-04 16:19:58,1,2,82 Claire Schmitt,08 PJ Maddi Lang,0,0,0,0,0,0,0,0,0,0,0,5.3169923,2.6999474,4.580468,0.5447043,0.673459,0.42090788,0.6464595
2025-09-04 16:20:05,1,2,08 PJ Maddi Lang,82 Claire Schmitt,0,0,0,0,0,0,0,0,0,0,0,5.9913216,0.6622553,5.9546075,0.42090788,0.6464595,0.25997254,0.63983697
2025-09-04 16:20:07,1,2,82 Claire Schmitt,21 Sowmya Ragothaman,0,0,0,0,0,0,0,1,0,0,0,17.45802,6.418747,-16.235212,0.25997254,0.63983697,0.69876206,0.5756495
2025-09-04 16:20:18,1,2,21 Sowmya Ragothaman,29 Jade Hostein,0,0,0,0,0,0,0,0,0,0,1,11.996462,8.7620945,-8.193949,0.69876206,0.5756495,0.92022014,0.48802856
2025-09-04 16:20:25,1,2,29 Jade Hostein,21 Sowmya Ragothaman,0,0,0,0,0,0,0,1,0,1,0,13.923014,-2.2414656,13.741403,0.92022014,0.48802856,0.54883087,0.5104432
2025-09-04 16:20:28,1,2,21 Sowmya Ragothaman,82 Claire Schmitt,0,0,0,0,0,0,0,1,0,0,0,13.196146,4.7376485,12.31637,0.54883087,0.5104432,0.215956,0.46306673
2025-09-04 16:20:33,1,2,82 Claire Schmitt,06 Kylie Chesner,0,0,0,0,0,0,0,0,0,0,0,14.740625,14.569536,2.2393405,0.215956,0.46306673,0.15543328,0.31737137
2025-09-04 16:20:40,1,2,06 Kylie Chesner,82 Claire Schmitt,0,0,0,0,0,0,0,0,1,0,0,6.807571,-6.7753434,-0.6616248,0.15543328,0.31737137,0.17331503,0.3851248
2025-09-04 16:20:47,1,2,82 Claire Schmitt,08 PJ Maddi Lang,0,0,0,0,0,0,0,1,0,0,0,12.212537,4.6357603,-11.298486,0.17331503,0.3851248,0.47867954,0.3387672
2025-09-04 16:20:53,1,2,08 PJ Maddi Lang,82 Claire Schmitt,0,0,0,0,0,0,0,0,0,0,0,10.978655,7.131943,8.34663,0.47867954,0.3387672,0.25309494,0.26744777
2025-09-04 16:20:58,1,2,82 Claire Schmitt,29 Jade Hostein,0,0,0,0,0,0,0,0,0,0,0,8.307788,8.201729,1.3232474,0.25309494,0.26744777,0.2173315,0.18543048
2025-09-04 16:21:01,1,2,29 Jade Hostein,82 Claire Schmitt,0,0,0,0,0,0,0,0,1,0,0,7.429889,-6.214975,-4.071528,0.2173315,0.18543048,0.3273728,0.24758023
2025-09-04 16:21:07,1,2,82 Claire Schmitt,29 Jade Hostein,0,0,0,0,0,0,0,0,1,0,1,7.3314524,-3.1584322,6.61623,0.3273728,0.24758023,0.14855576,0.27916455
