Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
82 Claire Schmitt,9,"1,3,4,7,9,11,13,17,18",3,6,2,3,28,6,28,20,8,2,0,0,3,3,0,1,0,0,287.56,161.51,11.50,6.46,163.74,-6.47,8.19,-0.32
27 Connie Chan,9,"1,3,5,7,11,13,15,16,17",3,6,1,2,7,3,6,7,0,2,0,1,1,1,0,0,0,0,57.55,35.63,11.51,7.13,76.69,60.78,10.96,8.68
26 Rhea Joshi,8,"1,3,4,7,9,11,15,18",1,7,1,3,2,2,1,2,0,0,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,21.61,12.07,10.81,6.04
29 Jade Hostein,8,"1,2,5,11,13,15,17,18",3,5,2,2,18,5,17,18,0,0,2,1,1,0,1,1,0,0,136.88,-24.76,8.05,-1.46,182.24,98.78,10.12,5.49
72 JJ Jarik,7,"6,8,12,13,14,16,18",7,0,5,0,4,4,4,4,0,1,0,0,1,1,0,1,0,0,67.30,65.90,22.43,21.97,52.77,38.69,13.19,9.67
10 Steph Rupp,7,"6,8,10,13,14,16,18",7,0,6,0,26,7,26,22,4,2,0,0,2,2,0,0,0,0,260.97,136.00,10.87,5.67,196.68,9.74,8.94,0.44
13 Grace Feehan,7,"6,8,10,12,14,16,18",7,0,5,0,10,5,9,9,1,0,0,1,0,0,0,3,0,0,80.46,36.67,8.94,4.07,106.32,72.01,11.81,8.00
21 Sowmya Ragothaman,7,"1,3,5,7,9,15,17",1,6,0,2,5,2,5,5,0,0,0,0,0,0,0,1,0,0,55.24,14.37,11.05,2.87,63.40,23.89,12.68,4.78
99 Dana Demmert,6,"2,4,5,7,9,15",0,6,0,2,8,1,7,8,0,0,0,1,2,2,0,0,0,0,29.64,3.97,7.41,0.99,82.57,46.51,10.32,5.81
05 Anna Thorn,6,"6,10,12,13,14,17",6,0,4,0,21,6,21,16,5,1,1,0,2,2,0,1,0,0,168.80,67.61,8.88,3.56,131.51,24.06,8.22,1.50
17 Rufus Caitlin Duffner,6,"3,6,8,10,12,13",5,1,4,1,13,7,8,12,1,0,2,5,2,2,0,1,0,0,48.51,19.82,8.09,3.30,161.24,117.14,13.44,9.76
15 Hannah Cheng,6,"6,8,12,14,16,17",6,0,3,0,19,6,19,14,5,0,0,0,1,1,0,0,0,0,160.25,33.98,8.90,1.89,117.46,26.44,8.39,1.89
08 PJ Maddi Lang,5,"1,3,5,7,11",0,5,0,2,6,2,6,6,0,0,1,0,0,0,0,0,0,0,53.12,30.18,8.85,5.03,56.57,8.40,9.43,1.40
06 Kylie Chesner,5,"1,2,4,9,11",0,5,0,3,3,2,3,3,0,0,0,0,0,0,0,0,0,0,20.68,-6.37,6.89,-2.12,32.55,21.50,10.85,7.17
88 Catherine Chen,5,"8,10,12,16,18",5,0,3,0,15,5,15,14,1,0,1,0,0,0,0,0,0,0,138.97,55.24,9.26,3.68,144.53,36.63,10.32,2.62
09 Moose Lucy Petersen,5,"8,10,12,14,17",5,0,3,0,9,5,9,9,0,0,0,0,3,3,0,0,0,0,54.84,-9.68,9.14,-1.61,99.32,71.44,11.04,7.94
07 Annie Phan,5,"2,4,7,11,15",0,5,0,2,7,1,7,5,2,1,0,0,1,1,0,0,0,0,63.72,22.11,10.62,3.68,38.02,-1.68,7.60,-0.34
31 Abby Shure,4,"6,10,14,16",4,0,3,0,9,3,9,7,2,1,0,0,2,2,0,0,0,0,84.15,35.67,12.02,5.10,71.66,46.77,10.24,6.68
11 Letty Ho,3,"2,4,9",0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12 Lizzie Tilden,3,"2,5,15",0,3,0,1,10,1,10,8,2,0,0,0,1,0,1,0,0,0,87.36,33.62,8.74,3.36,67.20,-17.07,8.40,-2.13
41 Avery Mullen,3,"2,4,9",0,3,0,2,5,2,5,4,1,0,2,0,0,0,0,0,0,0,41.91,-7.74,8.38,-1.55,31.80,14.11,7.95,3.53
23 Marie Zarazoga,2,"3,5",0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
