Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-07-14 02:15:38,2,1,88 Catherine Chen,10 Steph Rupp,0,0,0,0,0,0,0,0,0,0,0,10.687579,3.4131408,-10.127923,0.2723521,0.578706,0.54607975,0.5445746
2025-07-14 02:16:01,2,1,10 Steph Rupp,24 Anna Stubbs,0,0,0,0,0,0,0,0,0,0,0,9.416287,7.3357105,5.903713,0.54607975,0.5445746,0.38651994,0.4712175
2025-07-14 02:16:14,2,1,24 Anna Stubbs,13 Grace Feehan,0,0,0,0,0,0,0,0,0,0,1,12.853767,6.8262844,10.8913355,0.38651994,0.4712175,0.09215952,0.40295467
2025-07-14 02:16:17,2,1,13 Grace Feehan,10 Steph Rupp,0,0,0,0,0,0,0,0,1,1,0,9.395411,-7.1828814,-6.056398,0.09215952,0.40295467,0.25584593,0.47478348
2025-07-14 02:16:33,2,1,10 Steph Rupp,88 Catherine Chen,0,0,0,0,0,0,0,0,0,0,0,8.529301,4.8395305,-7.0233836,0.25584593,0.47478348,0.44566712,0.42638817
2025-07-14 02:16:39,2,1,88 Catherine Chen,18 Kendra Griesman,0,0,0,0,0,0,0,0,0,0,0,13.14748,12.226185,-4.8349395,0.44566712,0.42638817,0.57634115,0.30412632
2025-07-14 02:16:48,2,1,18 Kendra Griesman,88 Catherine Chen,0,0,0,0,0,0,0,0,0,0,0,7.6415205,6.3678026,-4.224207,0.57634115,0.30412632,0.6905089,0.2404483
2025-07-14 02:16:57,2,1,88 Catherine Chen,10 Steph Rupp,0,0,0,0,0,0,0,0,0,0,0,8.984924,2.5980651,8.6011,0.6905089,0.2404483,0.45804673,0.21446764
2025-07-14 02:17:03,2,1,10 Steph Rupp,15 Hannah Cheng,0,0,0,0,0,0,0,0,1,0,0,8.2851925,-2.1905243,7.99037,0.45804673,0.21446764,0.24209079,0.23637289
2025-07-14 02:17:09,2,1,15 Hannah Cheng,10 Steph Rupp,0,0,0,0,0,0,0,0,0,0,0,9.117016,-0.3565967,-9.11004,0.24209079,0.23637289,0.48830807,0.23993886
2025-07-14 02:17:11,2,1,10 Steph Rupp,15 Hannah Cheng,0,0,0,0,0,0,0,0,0,0,0,8.292644,2.3942933,-7.9394774,0.48830807,0.23993886,0.70288855,0.21599592
2025-07-14 02:17:23,2,1,15 Hannah Cheng,17 Rufus Caitlin Duffner,0,0,0,0,0,0,0,0,1,0,0,7.9232984,-7.74325,-1.6795053,0.70288855,0.21599592,0.7482806,0.29342842
2025-07-14 02:17:28,2,1,17 Rufus Caitlin Duffner,15 Hannah Cheng,0,0,0,0,0,0,0,0,0,0,0,10.433412,0.05094409,10.433288,0.7482806,0.29342842,0.46629983,0.29291898
2025-07-14 02:17:34,2,1,15 Hannah Cheng,10 Steph Rupp,0,0,0,0,0,0,0,0,0,0,0,6.1946106,4.4829326,-4.2751045,0.46629983,0.29291898,0.5818432,0.24808966
