Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
27 Connie Chan,9,"1,3,6,7,8,11,13,16,17",1,8,1,4,7,6,5,7,0,0,0,2,1,0,1,0,0,0,55.21,31.18,11.04,6.24,119.98,107.13,17.14,15.30
82 Claire Schmitt,9,"1,3,6,7,8,11,13,16,17",1,8,1,4,16,5,16,8,8,4,0,0,2,2,0,0,0,0,256.63,204.23,18.33,14.59,59.34,18.75,7.42,2.34
18 Kendra Griesman,8,"2,4,5,9,10,12,15,17",8,0,6,0,10,6,8,9,1,0,2,2,0,0,0,1,0,0,64.73,13.70,8.09,1.71,124.44,92.92,13.83,10.32
29 Jade Hostein,8,"1,3,5,6,7,11,13,16",1,7,1,4,6,4,5,6,0,0,2,1,1,1,0,0,0,0,39.39,38.36,9.85,9.59,78.21,63.83,13.03,10.64
15 Hannah Cheng,7,"2,5,9,10,12,15,17",7,0,6,0,14,7,13,13,1,2,1,1,0,0,0,0,0,0,130.35,33.27,10.03,2.56,134.81,17.63,10.37,1.36
06 Kylie Chesner,7,"1,6,7,11,13,14,16",0,7,0,4,2,2,2,2,0,0,2,0,0,0,0,0,0,0,20.68,17.22,10.34,8.61,21.70,20.07,10.85,10.04
72 JJ Jarik,7,"4,5,9,10,12,15,17",7,0,5,0,6,5,5,6,0,0,1,1,2,2,0,0,0,0,55.02,42.89,18.34,14.30,90.56,55.32,15.09,9.22
07 Annie Phan,6,"1,6,7,11,14,16",0,6,0,3,1,1,1,0,1,0,0,0,0,0,0,1,0,0,7.39,2.45,7.39,2.45,0.00,0.00,0.00,0.00
17 Rufus Caitlin Duffner,6,"2,4,9,10,12,15",6,0,4,0,3,3,3,3,0,0,0,0,1,0,1,0,0,0,28.29,17.78,9.43,5.93,30.01,8.81,10.00,2.94
24 Anna Stubbs,6,"2,5,9,10,12,17",6,0,5,0,6,4,5,6,0,0,0,1,0,0,0,0,0,0,58.76,-0.36,11.75,-0.07,88.96,62.15,14.83,10.36
08 PJ Maddi Lang,5,"1,3,7,11,14",0,5,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10.07,8.51,10.07,8.51,12.71,-2.45,12.71,-2.45
25 Ducky Tewodros,5,"1,6,11,14,16",0,5,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,8.36,8.35,8.36,8.35,19.48,9.42,19.48,9.42
12 Lizzie Tilden,5,"3,6,8,13,16",0,5,0,2,5,1,5,4,1,0,0,0,0,0,0,0,0,0,46.09,25.47,9.22,5.09,31.99,-1.43,8.00,-0.36
10 Steph Rupp,5,"2,5,10,15,17",5,0,5,0,22,5,22,19,3,2,2,0,1,1,0,0,0,0,259.20,133.98,12.34,6.38,174.14,37.85,9.17,1.99
88 Catherine Chen,5,"2,4,5,9,12",5,0,3,0,9,4,9,5,4,1,0,0,1,1,0,1,0,0,93.98,48.14,11.75,6.02,35.92,9.98,7.18,2.00
99 Dana Demmert,4,"3,8,13,14",0,4,0,1,6,2,5,6,0,0,0,1,1,1,0,0,0,0,36.82,12.12,9.20,3.03,95.86,79.47,15.98,13.25
05 Anna Thorn,3,"4,9,12",3,0,1,0,3,2,3,2,1,0,0,0,1,1,0,0,0,0,18.83,14.62,9.42,7.31,20.18,13.50,10.09,6.75
21 Sowmya Ragothaman,3,"4,10,15",3,0,2,0,5,2,5,3,2,0,0,0,0,0,0,0,0,0,60.74,26.03,12.15,5.21,21.54,-13.50,7.18,-4.50
26 Rhea Joshi,3,"3,7,8",0,3,0,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0,13.59,2.29,6.80,1.15,25.07,23.79,12.53,11.90
09 Moose Lucy Petersen,2,"4,15",2,0,1,0,2,1,2,2,0,1,0,0,0,0,0,0,0,0,20.40,20.12,10.20,10.06,39.53,31.18,19.77,15.59
23 Marie Zarazoga,2,"8,14",0,2,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0.00,0.00,0.00,0.00,18.60,12.07,18.60,12.07
95 Bug Elena Dansdill,2,"8,14",0,2,0,0,2,1,2,2,0,0,0,0,1,1,0,0,0,0,5.50,-5.50,5.50,-5.50,20.09,14.82,10.04,7.41
13 Grace Feehan,1,2,1,0,1,0,4,2,3,4,0,0,0,1,1,1,0,0,0,0,20.75,2.75,10.37,1.38,47.64,36.27,11.91,9.07
41 Avery Mullen,1,13,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
