Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-07-22 16:09:38,1,1,82 Claire Schmitt,29 Jade Hostein,0,0,0,0,0,0,0,1,0,0,0,11.364913,-0.5939886,-11.34938,0.3507566,0.18,0.6574966,0.1859399
2025-07-22 16:09:53,1,1,29 Jade Hostein,82 Claire Schmitt,0,0,0,0,0,0,0,0,1,0,0,7.294702,-7.182883,-1.2723517,0.6574966,0.1859399,0.69188446,0.25776872
2025-07-22 16:10:15,1,1,82 Claire Schmitt,29 Jade Hostein,0,0,0,0,0,0,0,0,1,0,0,12.298247,-12.073359,-2.3411303,0.69188446,0.25776872,0.75515825,0.3785023
2025-07-22 16:10:29,1,1,29 Jade Hostein,82 Claire Schmitt,0,0,0,0,0,0,0,0,0,0,0,6.919405,3.9225698,5.700141,0.75515825,0.3785023,0.6011004,0.3392766
2025-07-22 16:11:00,1,1,82 Claire Schmitt,07 Annie Phan,1,0,1,0,0,0,0,0,1,0,0,12.132952,-12.124303,0.4580447,0.6011004,0.3392766,0.5887208,0.46051964
2025-07-22 16:12:14,2,1,10 Steph Rupp,72 JJ Jarik,0,0,0,0,0,0,0,1,0,0,0,14.585708,4.8904715,13.741403,0.68225586,0.6423841,0.3108666,0.5934794
2025-07-22 16:12:21,2,1,72 JJ Jarik,17 Rufus Caitlin Duffner,0,0,0,0,0,0,0,0,0,0,1,13.50763,12.124303,5.9546075,0.3108666,0.5934794,0.14993125,0.47223637
2025-07-22 16:12:29,2,1,17 Rufus Caitlin Duffner,10 Steph Rupp,0,0,0,0,0,0,0,0,1,1,1,5.460951,-5.3998976,0.8143049,0.14993125,0.47223637,0.12792301,0.52623534
2025-07-22 16:12:37,2,1,10 Steph Rupp,72 JJ Jarik,0,0,0,0,0,0,0,1,0,1,0,12.326046,4.6867013,-11.400274,0.12792301,0.52623534,0.43603852,0.47936833
2025-07-22 16:12:53,2,1,72 JJ Jarik,13 Grace Feehan,0,0,0,0,0,0,0,0,0,0,0,8.454262,6.8262873,4.9876194,0.43603852,0.47936833,0.301238,0.41110545
2025-07-22 16:13:03,2,1,13 Grace Feehan,18 Kendra Griesman,0,0,0,0,0,0,0,0,0,0,0,16.648943,9.016811,-13.9958725,0.301238,0.41110545,0.6795048,0.32093734
2025-07-22 16:13:13,2,1,18 Kendra Griesman,10 Steph Rupp,1,1,0,1,0,0,0,0,0,0,0,20.238977,19.561893,-5.191196,0.6795048,0.32093734,0.8198074,0.1253184
2025-07-22 16:13:44,2,2,10 Steph Rupp,17 Rufus Caitlin Duffner,0,0,0,0,0,0,0,0,0,0,1,13.351964,13.295976,-1.2214584,0.82118297,0.61436576,0.85419536,0.481406
2025-07-22 16:14:05,2,2,17 Rufus Caitlin Duffner,08 PJ Maddi Lang,0,0,0,0,0,0,0,0,1,1,0,6.3219852,-6.3168616,0.25447124,0.85419536,0.481406,0.84731776,0.5445746
2025-07-22 16:14:27,2,2,08 PJ Maddi Lang,,1,1,0,0,0,0,0,0,0,0,0,22.060587,21.803362,3.3590086,0.84731776,0.5445746,0.75653374,0.326541
