Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
27 Connie Chan,11,"1,3,4,5,7,10,12,15,17,20,22",2,9,1,0,4,1,4,4,0,0,0,0,0,0,0,0,0,0,38.67,14.67,9.67,3.67,38.03,14.16,9.51,3.54
18 Kendra Griesman,9,"2,4,11,13,14,18,19,20,22",7,2,5,1,12,7,7,12,0,0,1,5,1,1,0,2,0,0,58.53,16.30,9.75,2.72,233.86,203.31,19.49,16.94
82 Claire Schmitt,9,"1,3,5,7,9,12,15,17,20",0,9,0,1,6,3,6,2,4,0,0,0,1,1,0,0,0,0,54.55,17.64,13.64,4.41,14.21,-3.26,7.11,-1.63
88 Catherine Chen,9,"4,6,11,13,14,16,19,20,22",7,2,6,1,16,6,16,12,4,3,0,0,0,0,0,1,0,0,223.77,112.74,13.99,7.05,112.94,35.46,9.41,2.95
15 Hannah Cheng,8,"1,3,5,9,12,15,17,20",0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24 Anna Stubbs,8,"4,6,11,13,14,16,19,21",7,1,6,1,7,5,7,7,0,1,1,0,1,1,0,1,0,0,56.78,27.36,9.46,4.56,83.16,41.57,11.88,5.94
10 Steph Rupp,8,"2,4,10,13,14,18,19,22",6,2,4,1,20,7,20,15,5,1,3,0,1,1,0,0,0,0,265.79,177.08,13.99,9.32,121.36,-1.22,8.09,-0.08
17 Rufus Caitlin Duffner,8,"2,6,11,13,16,18,21,22",8,0,5,0,3,2,2,3,0,0,0,1,0,0,0,0,0,0,11.78,-11.72,5.89,-5.86,44.56,42.89,14.85,14.30
72 JJ Jarik,7,"2,6,16,18,19,21,22",7,0,4,0,9,4,9,9,0,1,1,0,1,1,0,0,0,0,145.01,118.80,18.13,14.85,100.42,39.07,11.16,4.34
29 Jade Hostein,7,"1,3,5,9,12,17,20",0,7,0,1,3,2,3,3,0,0,1,0,0,0,0,1,0,0,23.79,-4.69,7.93,-1.56,36.54,0.17,12.18,0.06
06 Kylie Chesner,7,"1,7,9,10,12,17,20",0,7,0,1,2,2,2,2,0,1,0,0,1,1,0,0,0,0,14.49,13.45,14.49,13.45,15.54,4.53,7.77,2.27
21 Sowmya Ragothaman,7,"2,6,13,16,18,19,21",7,0,5,0,11,7,10,8,3,0,1,1,0,0,0,0,0,0,81.97,-0.97,8.20,-0.10,95.21,44.52,11.90,5.57
25 Ducky Tewodros,7,"1,5,7,10,12,15,17",0,7,0,0,3,2,3,3,0,0,0,0,0,0,0,0,0,0,15.90,4.89,7.95,2.45,38.97,32.55,12.99,10.85
13 Grace Feehan,7,"2,4,13,14,16,19,21",6,1,5,1,5,4,5,5,0,1,0,0,1,1,0,0,0,0,55.15,37.29,13.79,9.32,98.74,85.69,19.75,17.14
08 PJ Maddi Lang,6,"2,11,14,18,21,22",5,1,2,1,12,5,12,10,2,0,0,0,1,1,0,0,0,0,98.84,18.08,8.99,1.64,69.54,-33.01,6.95,-3.30
05 Anna Thorn,5,"4,6,11,16,21",5,0,4,0,7,3,7,5,2,1,1,0,1,1,0,0,0,0,57.45,17.83,9.57,2.97,53.64,8.41,10.73,1.68
12 Lizzie Tilden,4,"3,7,10,15",0,4,0,0,7,1,7,5,2,0,0,0,1,1,0,0,0,0,66.67,42.74,11.11,7.12,40.27,2.29,8.05,0.46
07 Annie Phan,4,"1,7,10,17",0,4,0,0,4,1,4,3,1,0,0,0,2,1,1,2,0,0,25.02,4.53,8.34,1.51,24.07,-5.45,8.02,-1.82
99 Dana Demmert,4,"3,7,9,15",0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26 Rhea Joshi,3,"3,5,9",0,3,0,1,3,1,3,3,0,0,0,0,1,1,0,0,0,0,18.33,-10.75,9.17,-5.37,33.20,28.99,11.07,9.66
09 Moose Lucy Petersen,3,"6,14,18",2,1,1,1,2,2,1,2,0,0,0,1,0,0,0,0,0,0,7.50,-7.49,7.50,-7.49,40.78,39.23,20.39,19.61
23 Marie Zarazoga,2,"5,10",0,2,0,0,3,1,3,3,0,0,0,0,0,0,0,0,0,0,18.33,7.13,6.11,2.38,28.81,1.58,9.60,0.53
41 Avery Mullen,2,"9,12",0,2,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,14.49,13.45,14.49,13.45
95 Bug Elena Dansdill,1,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16 Sasha Baumann,1,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
