Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-07-22 15:08:48,1,1,29 Jade Hostein,82 Claire Schmitt,0,0,0,0,0,0,0,0,1,0,0,7.3888288,-2.4452388,-6.9724884,0.30811554,0.34691796,0.49656117,0.37137035
2025-07-22 15:08:54,1,1,82 Claire Schmitt,15 Hannah Cheng,0,0,0,0,0,0,0,0,1,0,0,5.270152,-4.941416,1.8321877,0.49656117,0.37137035,0.44704258,0.4207845
2025-07-22 15:09:03,1,1,15 Hannah Cheng,82 Claire Schmitt,0,0,0,0,0,0,0,0,1,0,0,4.530399,-1.9867569,4.0715246,0.44704258,0.4207845,0.33700138,0.44065207
2025-07-22 15:09:09,1,1,82 Claire Schmitt,06 Kylie Chesner,0,0,0,0,0,0,0,1,0,0,0,16.123335,2.139583,-15.9807415,0.33700138,0.44065207,0.7689133,0.41925624
2025-07-22 15:09:19,1,1,06 Kylie Chesner,15 Hannah Cheng,0,0,0,0,0,0,0,0,1,0,0,6.637594,-3.56597,5.5983496,0.7689133,0.41925624,0.6176066,0.45491594
2025-07-22 15:09:23,1,1,15 Hannah Cheng,82 Claire Schmitt,0,0,0,0,0,0,0,0,0,0,0,10.178945,-0.05094111,10.178817,0.6176066,0.45491594,0.34250343,0.45542535
2025-07-22 15:09:33,1,1,82 Claire Schmitt,29 Jade Hostein,0,0,0,0,0,0,0,1,0,0,0,14.755178,2.0886393,-14.606604,0.34250343,0.45542535,0.7372765,0.43453896
2025-07-22 15:09:40,1,1,29 Jade Hostein,25 Ducky Tewodros,0,0,0,0,0,0,0,0,0,0,1,10.159877,8.609271,-5.3947716,0.7372765,0.43453896,0.88308114,0.34844625
2025-07-22 15:09:51,1,1,25 Ducky Tewodros,27 Connie Chan,0,0,0,0,0,0,0,0,0,1,0,7.0929713,4.992357,5.0385137,0.88308114,0.34844625,0.7469051,0.29852268
2025-07-22 15:09:56,1,1,27 Connie Chan,06 Kylie Chesner,0,0,0,0,0,0,0,0,0,0,0,5.469445,0.509426,5.4456697,0.7469051,0.29852268,0.5997248,0.29342842
2025-07-22 15:10:03,1,1,06 Kylie Chesner,12 Lizzie Tilden,0,0,0,0,0,0,0,0,1,0,0,8.694824,-1.5792161,-8.550207,0.5997248,0.29342842,0.8308115,0.30922058
2025-07-22 15:10:12,1,1,12 Lizzie Tilden,15 Hannah Cheng,0,0,0,0,0,0,0,0,1,0,0,10.567512,-1.3245016,10.484179,0.8308115,0.30922058,0.5474553,0.3224656
2025-07-22 15:10:28,1,1,15 Hannah Cheng,27 Connie Chan,1,1,0,0,0,0,0,0,0,0,0,5.7836533,5.7564945,-0.55983365,0.5474553,0.3224656,0.56258595,0.26490065
2025-07-22 15:11:52,2,1,10 Steph Rupp,88 Catherine Chen,0,0,0,0,0,0,0,0,0,0,0,9.203333,1.8848658,9.008253,0.49243468,0.68262863,0.24896838,0.66378
2025-07-22 15:12:07,2,1,88 Catherine Chen,10 Steph Rupp,1,1,0,0,0,0,0,1,0,0,0,12.893522,-1.3244987,-12.825312,0.24896838,0.66378,0.5955984,0.67702496
2025-07-22 15:12:59,2,2,10 Steph Rupp,88 Catherine Chen,1,0,1,0,0,0,0,0,1,1,0,11.181238,-4.737645,-10.127922,0.12379646,0.828324,0.3975241,0.8757005
2025-07-22 15:16:19,3,1,05 Anna Thorn,24 Anna Stubbs,0,0,0,0,0,0,0,0,0,0,0,12.742118,12.735611,0.40715134,0.7235213,0.6255731,0.7125172,0.498217
2025-07-22 15:16:30,3,1,24 Anna Stubbs,17 Rufus Caitlin Duffner,1,1,0,0,0,0,1,0,0,0,0,29.857513,29.852264,0.55983585,0.7125172,0.498217,0.6973865,0.19969434
2025-07-22 15:17:04,3,2,05 Anna Thorn,17 Rufus Caitlin Duffner,0,0,0,0,0,0,0,0,0,0,1,11.17575,7.488537,8.295734,0.2654745,0.5812532,0.041265454,0.5063678
2025-07-22 15:17:11,3,2,17 Rufus Caitlin Duffner,05 Anna Thorn,0,0,0,0,0,1,0,0,0,1,0,13.14706,12.379011,-4.4277854,0.041265454,0.5063678,0.16093533,0.3825777
2025-07-22 15:17:23,3,2,05 Anna Thorn,24 Anna Stubbs,0,0,0,1,1,0,1,0,0,0,0,29.111778,28.527763,-5.801926,0.16093533,0.3825777,0.31774414,0.097300045
2025-07-22 15:19:43,5,1,05 Anna Thorn,10 Steph Rupp,0,0,0,0,0,0,0,0,0,0,0,12.020073,6.9281697,-9.8225565,0.32599723,0.6673459,0.59147173,0.5980642
2025-07-22 15:19:51,5,1,10 Steph Rupp,08 PJ Maddi Lang,0,0,0,0,0,0,0,0,1,0,0,7.0569344,-1.3754487,6.9215937,0.59147173,0.5980642,0.40440163,0.6118187
2025-07-22 15:19:59,5,1,08 PJ Maddi Lang,24 Anna Stubbs,0,0,0,0,0,0,0,0,0,0,0,13.052792,12.124303,4.8349395,0.40440163,0.6118187,0.2737276,0.49057564
2025-07-22 15:20:09,5,1,24 Anna Stubbs,13 Grace Feehan,0,0,0,0,0,0,0,0,0,0,0,10.166295,7.539481,-6.819808,0.2737276,0.49057564,0.45804673,0.41518083
2025-07-22 15:20:22,5,1,13 Grace Feehan,10 Steph Rupp,0,0,0,0,0,0,0,1,0,0,1,14.743636,-1.018849,-14.70839,0.45804673,0.41518083,0.8555708,0.42536932
2025-07-22 15:20:34,5,1,10 Steph Rupp,08 PJ Maddi Lang,0,0,0,0,0,0,0,0,1,1,0,8.743425,-3.3112586,8.09216,0.8555708,0.42536932,0.63686377,0.4584819
2025-07-22 15:20:40,5,1,08 PJ Maddi Lang,24 Anna Stubbs,0,0,0,0,0,0,0,1,0,0,0,14.525835,1.8848687,14.403026,0.63686377,0.4584819,0.24759282,0.43963322
2025-07-22 15:20:55,5,1,24 Anna Stubbs,10 Steph Rupp,0,0,0,0,0,0,0,0,1,0,0,9.871248,-7.590422,-6.3108664,0.24759282,0.43963322,0.41815677,0.51553744
2025-07-22 15:21:00,5,1,10 Steph Rupp,05 Anna Thorn,0,0,0,0,0,0,0,0,0,0,0,9.0685625,8.813042,-2.137551,0.41815677,0.51553744,0.47592843,0.42740703
2025-07-22 15:21:14,5,1,05 Anna Thorn,,1,1,0,1,0,0,1,0,0,0,0,27.884096,27.86551,-1.0178828,0.47592843,0.42740703,0.5034388,0.14875191
2025-07-22 15:22:09,6,1,21 Sowmya Ragothaman,13 Grace Feehan,0,0,0,0,0,0,0,0,0,0,0,8.346726,3.005606,-7.786795,0.5144429,0.6423841,0.72489685,0.61232805
2025-07-22 15:22:14,6,1,13 Grace Feehan,05 Anna Thorn,0,0,0,0,0,0,0,1,0,0,0,14.580425,-3.3112586,14.19945,0.72489685,0.61232805,0.34112793,0.64544064
2025-07-22 15:22:22,6,1,05 Anna Thorn,88 Catherine Chen,0,0,0,0,0,0,0,0,0,0,0,7.2934723,7.284766,0.35625798,0.34112793,0.64544064,0.33149934,0.572593
2025-07-22 15:22:28,6,1,88 Catherine Chen,05 Anna Thorn,0,0,0,0,0,0,0,0,1,0,0,8.504586,-6.7753434,-5.1403027,0.33149934,0.572593,0.47042644,0.6403464
2025-07-22 15:22:34,6,1,05 Anna Thorn,88 Catherine Chen,0,0,0,0,0,0,0,0,0,0,0,10.745662,5.8583794,-9.008254,0.47042644,0.6403464,0.71389276,0.5817626
2025-07-22 15:22:48,6,1,88 Catherine Chen,,1,1,0,0,0,0,1,0,0,0,0,30.12158,30.005095,-2.6464903,0.71389276,0.5817626,0.7854195,0.28171167
2025-07-22 15:24:11,6,2,05 Anna Thorn,88 Catherine Chen,0,0,0,0,0,0,0,1,0,0,0,11.905925,-1.528275,11.807431,0.7840441,0.777891,0.46492434,0.79317373
2025-07-22 15:24:14,6,2,88 Catherine Chen,21 Sowmya Ragothaman,0,0,0,0,0,0,0,0,0,0,0,10.307439,5.7564974,8.550206,0.46492434,0.79317373,0.2338377,0.73560876
2025-07-22 15:24:29,6,2,21 Sowmya Ragothaman,72 JJ Jarik,0,0,0,0,0,0,0,0,0,0,0,8.297146,0.15282631,-8.295738,0.2338377,0.73560876,0.45804682,0.7340805
2025-07-22 15:24:31,6,2,72 JJ Jarik,88 Catherine Chen,0,0,0,0,0,0,0,0,0,0,0,4.472524,4.330105,1.1196717,0.45804682,0.7340805,0.42778543,0.69077945
2025-07-22 15:24:36,6,2,88 Catherine Chen,72 JJ Jarik,0,0,0,0,0,0,0,0,0,0,0,7.6513557,1.018852,7.5832176,0.42778543,0.69077945,0.2228336,0.6805909
2025-07-22 15:24:41,6,2,72 JJ Jarik,13 Grace Feehan,0,0,0,0,0,0,0,0,0,0,1,8.674429,8.099848,3.1045406,0.2228336,0.6805909,0.1389271,0.59959245
2025-07-22 15:24:48,6,2,13 Grace Feehan,88 Catherine Chen,0,0,0,0,0,0,0,0,1,1,0,7.899421,-3.515029,-7.0742793,0.1389271,0.59959245,0.33012384,0.63474274
2025-07-22 15:25:20,6,2,88 Catherine Chen,72 JJ Jarik,0,0,0,0,0,0,0,1,0,0,0,13.422126,5.450839,-12.265473,0.33012384,0.63474274,0.6616231,0.58023435
