Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
72 JJ Jarik,11,"2,3,6,8,10,11,12,16,17,19,21",11,0,6,0,11,8,11,11,0,2,1,0,1,1,0,1,0,0,176.49,138.00,17.65,13.80,109.54,51.50,9.96,4.68
10 Steph Rupp,9,"2,3,5,8,11,12,16,17,20",8,1,4,0,16,7,16,10,6,1,0,0,0,0,0,0,0,0,141.12,39.43,9.41,2.63,85.70,18.80,8.57,1.88
13 Grace Feehan,9,"2,5,6,10,11,12,16,17,19",9,0,4,0,5,3,4,5,0,0,0,1,0,0,0,0,0,0,43.28,-13.30,10.82,-3.32,50.44,41.21,10.09,8.24
82 Claire Schmitt,9,"1,4,7,9,12,13,15,20,23",1,8,1,0,8,4,8,6,2,0,0,0,2,2,0,0,0,0,76.92,29.90,12.82,4.98,45.75,11.72,7.63,1.95
24 Anna Stubbs,9,"3,5,6,8,11,12,16,17,21",9,0,5,0,8,4,7,8,0,0,2,1,1,1,0,0,0,0,51.44,24.15,8.57,4.02,117.17,89.76,14.65,11.22
21 Sowmya Ragothaman,8,"3,6,8,10,11,16,17,21",8,0,4,0,12,6,12,9,3,0,1,0,1,1,0,0,0,0,83.37,24.40,7.58,2.22,85.22,35.30,9.47,3.92
27 Connie Chan,8,"1,4,7,9,13,15,18,23",0,8,0,0,5,3,5,5,0,0,0,0,0,0,0,0,0,0,46.25,9.02,9.25,1.80,53.85,43.45,10.77,8.69
18 Kendra Griesman,8,"2,3,5,8,10,11,19,21",8,0,3,0,4,3,2,4,0,0,0,2,0,0,0,2,0,0,19.45,8.76,9.72,4.38,98.28,82.99,24.57,20.75
08 PJ Maddi Lang,7,"2,5,8,11,12,19,21",7,0,3,0,18,5,18,15,3,0,0,0,2,2,0,0,0,0,130.13,64.85,8.13,4.05,98.78,-7.90,6.59,-0.53
15 Hannah Cheng,7,"1,4,7,9,15,18,23",0,7,0,0,6,2,6,6,0,0,0,0,2,2,0,0,0,0,38.54,5.86,9.64,1.46,48.89,-25.52,8.15,-4.25
25 Ducky Tewodros,7,"1,4,7,9,13,18,23",0,7,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,19.12,17.01,9.56,8.51,20.23,18.08,10.12,9.04
29 Jade Hostein,6,"1,7,9,15,20,23",0,6,0,0,4,2,4,3,1,0,0,0,1,1,0,2,0,0,25.47,14.06,8.49,4.69,35.12,21.65,11.71,7.22
17 Rufus Caitlin Duffner,6,"2,3,5,8,19,21",6,0,3,0,4,3,4,4,0,0,1,0,0,0,0,0,0,0,29.79,0.36,7.45,0.09,44.36,19.71,11.09,4.93
05 Anna Thorn,6,"3,5,6,10,19,21",6,0,3,0,19,6,19,13,6,2,0,0,4,4,0,0,0,0,195.49,104.79,13.03,6.99,128.04,32.60,9.85,2.51
06 Kylie Chesner,6,"1,7,13,18,20,23",0,6,0,0,3,2,3,3,0,0,0,0,0,0,0,0,0,0,23.90,-5.71,7.97,-1.90,33.25,13.45,11.08,4.48
88 Catherine Chen,6,"2,6,10,16,17,19",6,0,3,0,17,6,17,15,2,1,1,0,4,2,2,0,0,0,136.14,55.48,9.08,3.70,130.99,31.33,8.73,2.09
07 Annie Phan,5,"4,9,13,18,23",0,5,0,0,2,1,2,1,1,0,0,0,0,0,0,0,0,0,21.08,15.59,10.54,7.79,8.20,5.04,8.20,5.04
09 Moose Lucy Petersen,5,"6,10,12,16,17",5,0,3,0,4,4,2,4,0,0,0,2,1,1,0,1,0,0,8.73,-1.48,8.73,-1.48,71.86,61.49,17.97,15.37
12 Lizzie Tilden,5,"1,7,15,18,20",0,5,0,0,4,2,4,3,1,0,0,0,1,1,0,0,0,0,31.37,16.61,10.46,5.54,25.98,-2.55,8.66,-0.85
26 Rhea Joshi,4,"4,9,15,20",0,4,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,11.65,10.80,11.65,10.80,9.44,9.42,9.44,9.42
99 Dana Demmert,3,"4,13,18",0,3,0,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,16.08,4.84,8.04,2.42,24.72,11.87,12.36,5.93
23 Marie Zarazoga,2,"13,20",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
95 Bug Elena Dansdill,1,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
