Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-07-21 11:42:23,2,1,88 Catherine Chen,21 Sowmya Ragothaman,0,0,0,0,0,0,0,0,0,0,0,13.008373,12.786555,2.3920236,0.5887208,0.69027,0.5240715,0.56240445
2025-07-21 11:42:30,2,1,21 Sowmya Ragothaman,72 JJ Jarik,0,0,0,0,0,0,0,1,0,0,0,13.503181,-0.6622553,13.486932,0.5240715,0.56240445,0.15955983,0.569027
2025-07-21 11:42:38,2,1,72 JJ Jarik,21 Sowmya Ragothaman,0,0,0,0,0,0,0,0,1,0,0,7.3904486,-6.7753434,-2.9518561,0.15955983,0.569027,0.23933972,0.63678044
2025-07-21 11:42:47,2,1,21 Sowmya Ragothaman,72 JJ Jarik,0,0,0,0,0,0,0,1,0,0,0,17.545298,6.7753434,-16.18432,0.23933972,0.63678044,0.67675376,0.569027
2025-07-21 11:42:57,2,1,72 JJ Jarik,,1,1,0,0,0,0,1,0,0,0,0,31.798508,28.527767,14.046767,0.67675376,0.569027,0.2971114,0.28374934
2025-07-21 11:45:37,3,1,15 Hannah Cheng,10 Steph Rupp,0,0,0,0,0,0,0,0,0,0,0,11.404651,8.863979,7.176066,0.6574966,0.74834436,0.46354884,0.65970457
2025-07-21 11:45:40,3,1,10 Steph Rupp,18 Kendra Griesman,0,0,0,0,0,0,0,0,0,0,0,15.925147,9.577179,-12.72352,0.46354884,0.65970457,0.80742776,0.5639328
2025-07-21 11:45:48,3,1,18 Kendra Griesman,13 Grace Feehan,1,1,0,1,0,0,1,0,0,0,0,40.189297,40.091698,2.7991726,0.80742776,0.5639328,0.73177445,0.1630158
2025-07-21 11:47:02,3,2,88 Catherine Chen,10 Steph Rupp,0,0,0,0,0,0,0,0,0,0,0,6.313624,4.737645,-4.1733155,0.6795048,0.3535405,0.7922971,0.30616406
2025-07-21 11:47:03,3,2,10 Steph Rupp,88 Catherine Chen,0,0,0,0,0,1,0,0,0,0,1,5.0212297,4.024455,-3.0027504,0.7922971,0.30616406,0.87345254,0.2659195
2025-07-21 11:47:12,3,2,88 Catherine Chen,13 Grace Feehan,0,0,0,1,1,0,0,0,0,1,1,12.252351,12.073358,-2.086659,0.87345254,0.2659195,0.92984873,0.14518593
2025-07-21 11:50:23,4,1,82 Claire Schmitt,29 Jade Hostein,0,0,0,0,0,0,0,0,0,0,1,16.345308,15.843094,-4.020631,0.7551582,0.8298522,0.8638239,0.6714213
2025-07-21 11:50:37,4,1,29 Jade Hostein,27 Connie Chan,0,0,0,0,0,0,0,0,1,1,0,14.359505,-9.47529,10.789543,0.8638239,0.6714213,0.5722146,0.7661742
2025-07-21 11:50:43,4,1,27 Connie Chan,29 Jade Hostein,0,0,0,0,0,0,0,0,0,0,0,6.9307666,4.533875,-5.2420893,0.5722146,0.7661742,0.7138927,0.72083545
2025-07-21 11:50:58,4,1,29 Jade Hostein,12 Lizzie Tilden,1,0,1,0,0,0,0,0,0,0,0,5.2171187,4.075396,-3.2572196,0.7138927,0.72083545,0.80192566,0.6800815
2025-07-21 11:52:54,5,1,21 Sowmya Ragothaman,72 JJ Jarik,0,0,0,0,0,0,0,1,0,0,0,13.672375,4.737645,12.825309,0.52682257,0.6383087,0.18019257,0.59093225
2025-07-21 11:53:09,5,1,72 JJ Jarik,09 Moose Lucy Petersen,1,1,0,0,0,0,0,0,0,0,0,12.362719,10.748852,-6.1072907,0.18019257,0.59093225,0.34525448,0.48344374
2025-07-21 11:54:17,6,1,82 Claire Schmitt,10 Steph Rupp,0,0,0,0,0,0,0,0,0,0,0,10.06289,4.381055,9.059146,0.6891334,0.67600614,0.44429162,0.6321956
2025-07-21 11:54:25,6,1,10 Steph Rupp,24 Anna Stubbs,0,0,0,0,0,0,0,0,0,0,0,11.670719,7.99796,8.499313,0.44429162,0.6321956,0.21458045,0.552216
2025-07-21 11:54:39,6,1,24 Anna Stubbs,15 Hannah Cheng,0,0,0,0,0,0,0,0,1,0,0,7.09496,-6.8262873,1.933976,0.21458045,0.552216,0.16231082,0.62047887
2025-07-21 11:54:51,6,1,15 Hannah Cheng,18 Kendra Griesman,0,0,0,0,0,0,1,0,0,0,0,40.26894,39.98981,-4.73315,0.16231082,0.62047887,0.2902338,0.22058074
2025-07-21 11:54:57,6,1,18 Kendra Griesman,17 Rufus Caitlin Duffner,0,0,0,0,0,1,0,1,0,0,0,12.9595785,0.9169638,-12.927098,0.2902338,0.22058074,0.6396148,0.2114111
2025-07-21 11:55:03,6,1,17 Rufus Caitlin Duffner,24 Anna Stubbs,0,0,0,1,1,0,0,0,0,0,0,10.670039,10.443201,-2.1884456,0.6396148,0.2114111,0.698762,0.106979094
2025-07-21 11:57:10,8,1,15 Hannah Cheng,05 Anna Thorn,0,0,0,0,0,0,0,0,0,0,0,10.133289,3.8716257,9.364511,0.6286107,0.73458993,0.3755158,0.6958737
2025-07-21 11:57:16,8,1,05 Anna Thorn,21 Sowmya Ragothaman,0,0,0,0,0,0,0,0,0,0,0,10.457977,10.392261,1.1705639,0.3755158,0.6958737,0.34387892,0.5919511
2025-07-21 11:57:23,8,1,21 Sowmya Ragothaman,72 JJ Jarik,0,0,0,0,0,0,0,0,0,0,1,12.427539,8.507383,9.059147,0.34387892,0.5919511,0.09903712,0.50687724
