Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-07-21 21:44:11,1,1,15 Hannah Cheng,10 Steph Rupp,0,0,0,0,0,0,0,0,0,0,0,9.206903,2.8527737,8.753785,0.70563966,0.77177787,0.46905088,0.74325013
2025-07-21 21:44:24,1,1,10 Steph Rupp,24 Anna Stubbs,0,0,0,0,0,0,0,0,0,0,0,10.49604,4.533875,9.4663,0.46905088,0.74325013,0.21320495,0.6979114
2025-07-21 21:44:44,1,1,24 Anna Stubbs,17 Rufus Caitlin Duffner,0,0,0,0,0,0,0,0,0,0,0,13.371157,13.245034,1.832187,0.21320495,0.6979114,0.16368638,0.56546104
2025-07-21 21:44:51,1,1,17 Rufus Caitlin Duffner,05 Anna Thorn,0,0,0,0,0,0,0,0,1,0,0,4.9430575,-2.6490092,-4.173316,0.16368638,0.56546104,0.2764787,0.59195113
2025-07-21 21:44:56,1,1,05 Anna Thorn,13 Grace Feehan,0,0,0,0,0,0,0,0,0,0,1,12.882483,11.767703,5.2420917,0.2764787,0.59195113,0.13480055,0.4742741
2025-07-21 21:45:10,1,1,13 Grace Feehan,10 Steph Rupp,0,0,0,0,0,0,0,1,0,1,0,15.582484,2.8527796,-15.319121,0.13480055,0.4742741,0.54883087,0.4457463
2025-07-21 21:45:18,1,1,10 Steph Rupp,72 JJ Jarik,0,0,0,0,0,1,0,0,0,0,0,14.105077,12.78655,-5.9546075,0.54883087,0.4457463,0.7097662,0.3178808
2025-07-21 21:45:25,1,1,72 JJ Jarik,17 Rufus Caitlin Duffner,0,0,0,1,1,0,0,0,0,0,1,18.234327,17.269487,-5.8528185,0.7097662,0.3178808,0.8679505,0.14518593
2025-07-21 21:47:34,2,1,82 Claire Schmitt,07 Annie Phan,0,0,0,0,0,0,0,0,1,1,0,7.792558,-6.8772316,3.6643753,0.9477304,0.83239937,0.84869325,0.9011717
2025-07-21 21:47:38,2,1,07 Annie Phan,82 Claire Schmitt,0,0,0,0,0,0,0,0,0,0,1,5.1933784,4.635763,-2.3411279,0.84869325,0.9011717,0.911967,0.85481405
2025-07-21 21:47:46,2,1,82 Claire Schmitt,07 Annie Phan,0,0,0,0,0,0,0,0,0,1,1,9.824034,9.577179,-2.1884434,0.911967,0.85481405,0.9711141,0.75904226
2025-07-21 21:47:53,2,1,07 Annie Phan,82 Claire Schmitt,0,0,0,0,0,0,0,0,0,1,1,4.1227345,-0.05094409,4.12242,0.9711141,0.75904226,0.85969734,0.7595517
2025-07-21 21:48:11,2,1,82 Claire Schmitt,23 Marie Zarazoga,0,0,0,0,0,0,0,0,0,1,1,4.360843,4.024452,-1.6795053,0.85969734,0.7595517,0.9050894,0.7193072
2025-07-21 21:48:18,2,1,23 Marie Zarazoga,82 Claire Schmitt,0,0,0,0,0,0,0,0,0,1,1,4.950842,4.941416,-0.3053646,0.9050894,0.7193072,0.9133425,0.669893
2025-07-21 21:48:50,2,1,82 Claire Schmitt,06 Kylie Chesner,0,0,0,0,0,0,1,0,0,1,1,28.746134,28.731533,-0.9160938,0.9133425,0.669893,0.93810177,0.3825777
2025-07-21 21:49:00,2,1,06 Kylie Chesner,27 Connie Chan,0,0,0,0,0,0,0,0,1,1,0,6.420423,-1.4263868,6.259972,0.93810177,0.3825777,0.7689133,0.39684156
2025-07-21 21:49:19,2,1,27 Connie Chan,29 Jade Hostein,1,1,0,0,0,0,0,0,0,0,0,8.713301,8.507386,-1.883081,0.7689133,0.39684156,0.8198074,0.3117677
2025-07-21 21:49:39,2,2,29 Jade Hostein,25 Ducky Tewodros,0,0,0,1,1,0,0,0,0,0,0,8.541912,5.756496,6.3108644,0.60660243,0.20071319,0.43603852,0.14314823
2025-07-21 21:51:51,4,1,21 Sowmya Ragothaman,10 Steph Rupp,0,0,0,0,0,0,0,0,0,0,0,6.318439,6.06215,1.7812943,0.56121045,0.81660724,0.51306736,0.75598574
2025-07-21 21:52:04,4,1,10 Steph Rupp,18 Kendra Griesman,0,0,0,0,0,0,0,0,0,0,0,16.411856,12.277126,-10.891335,0.51306736,0.75598574,0.80742776,0.6332145
2025-07-21 21:52:09,4,1,18 Kendra Griesman,10 Steph Rupp,0,0,0,0,0,0,0,0,1,0,0,7.9827657,-1.2226164,7.888584,0.80742776,0.6332145,0.5942228,0.64544064
2025-07-21 21:52:14,4,1,10 Steph Rupp,21 Sowmya Ragothaman,0,0,0,0,0,0,0,1,0,0,0,12.393652,3.9225698,11.756533,0.5942228,0.64544064,0.27647865,0.60621494
