Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
82 Claire Schmitt,9,"2,3,5,7,9,10,12,15,17",3,6,1,1,13,6,13,6,7,0,0,0,1,1,0,0,0,0,160.52,84.77,13.38,7.06,38.96,19.10,6.49,3.18
27 Connie Chan,9,"2,3,5,7,9,11,12,15,17",4,5,2,1,4,4,4,4,0,0,0,0,1,1,0,1,0,0,33.52,6.98,11.17,2.33,40.67,19.71,10.17,4.93
29 Jade Hostein,7,"2,3,7,9,10,15,17",2,5,1,1,10,4,10,9,1,1,0,0,3,2,1,0,0,0,69.60,23.18,8.70,2.90,109.94,61.13,12.22,6.79
17 Rufus Caitlin Duffner,6,"1,3,5,11,13,16",5,1,3,0,9,3,8,9,0,1,0,1,1,1,0,0,0,0,39.18,12.43,5.60,1.78,100.06,57.26,11.12,6.36
24 Anna Stubbs,6,"1,4,6,7,11,13",6,0,2,0,8,4,8,8,0,0,0,0,1,0,1,0,0,0,77.98,18.70,9.75,2.34,85.11,32.81,10.64,4.10
15 Hannah Cheng,5,"1,3,5,11,13",4,1,2,0,10,3,10,9,1,0,0,0,0,0,0,0,0,0,86.36,32.25,9.60,3.58,76.31,-9.73,8.48,-1.08
05 Anna Thorn,5,"1,4,6,11,16",5,0,3,0,10,2,9,9,1,0,1,1,1,1,0,0,0,0,94.96,48.75,11.87,6.09,56.13,5.65,6.24,0.63
13 Grace Feehan,5,"1,4,6,13,16",5,0,2,0,5,4,4,5,0,0,0,1,0,0,0,0,0,0,45.87,0.05,11.47,0.01,57.12,30.16,11.42,6.03
06 Kylie Chesner,5,"2,9,10,15,17",1,4,1,1,4,3,4,4,0,0,0,0,0,0,0,1,0,0,32.07,9.42,8.02,2.36,62.60,41.26,15.65,10.32
08 PJ Maddi Lang,5,"7,9,12,15,17",2,3,1,0,8,3,8,8,0,0,0,0,1,1,0,0,0,0,55.94,25.47,7.99,3.64,55.48,22.92,6.93,2.87
10 Steph Rupp,5,"1,4,5,13,16",5,0,2,0,20,5,20,19,1,0,2,0,0,0,0,0,0,0,199.44,64.85,10.50,3.41,169.90,20.99,8.94,1.10
72 JJ Jarik,5,"1,4,5,6,16",5,0,2,0,4,3,4,4,0,2,0,0,1,1,0,0,0,0,41.64,32.09,13.88,10.70,47.24,18.29,11.81,4.57
25 Ducky Tewodros,4,"2,10,12,15",0,4,0,1,2,2,1,2,0,0,0,1,0,0,0,0,0,0,5.80,0.71,5.80,0.71,16.41,12.33,8.20,6.16
07 Annie Phan,4,"2,9,10,15",1,3,1,1,5,3,5,5,0,0,0,0,0,0,0,0,0,0,37.30,25.73,7.46,5.15,51.32,8.51,10.26,1.70
88 Catherine Chen,4,"3,6,13,16",3,1,1,0,13,4,13,10,3,0,0,0,0,0,0,0,0,0,113.70,22.47,8.75,1.73,78.36,5.04,7.84,0.50
18 Kendra Griesman,4,"3,4,5,11",3,1,1,0,3,2,3,3,0,0,0,0,0,0,0,0,0,0,30.96,-4.84,10.32,-1.61,47.51,18.80,15.84,6.27
99 Dana Demmert,3,"7,10,17",1,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,16.28,7.69,16.28,7.69
21 Sowmya Ragothaman,3,"4,6,11",3,0,1,0,5,2,5,4,1,0,0,0,0,0,0,0,0,0,39.18,9.68,7.84,1.94,35.39,8.86,8.85,2.22
12 Lizzie Tilden,2,"7,12",1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,16.28,7.69,16.28,7.69,13.60,-5.20,13.60,-5.20
26 Rhea Joshi,2,"9,12",1,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,14.74,8.56,7.37,4.28,22.07,12.07,11.03,6.04
16 Sasha Baumann,2,"6,16",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23 Marie Zarazoga,2,"2,17",0,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,4.95,4.94,4.95,4.94,4.36,4.02,4.36,4.02
41 Avery Mullen,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
09 Moose Lucy Petersen,1,13,1,0,0,0,3,1,3,3,0,0,0,0,1,0,1,0,0,0,20.42,-7.18,6.81,-2.39,37.99,32.35,12.66,10.78
95 Bug Elena Dansdill,1,12,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,11.64,3.52,11.64,3.52,9.23,6.16,9.23,6.16
