Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-09-16 15:34:55,1,1,10 Nate King,14 Gina Stees,0,0,0,0,0,0,0,0,0,0,1,23.597769,11.530817,20.58871,0.6935484,0.81212723,0.13709678,0.69681907
2025-09-16 15:35:01,1,1,14 Gina Stees,08 ManHua Zhu,0,0,0,0,0,0,0,0,0,1,0,7.0076327,0.7952273,-6.962365,0.13709678,0.69681907,0.3252688,0.6888668
2025-09-16 15:35:06,1,1,08 ManHua Zhu,71 Guber,0,0,0,0,0,0,0,0,0,0,1,13.152169,10.23857,8.255376,0.3252688,0.6888668,0.10215054,0.5864811
2025-09-16 15:35:10,1,1,71 Guber,20 Ellie Lind,0,0,0,0,0,0,0,0,0,1,0,11.224176,9.244532,-6.365592,0.10215054,0.5864811,0.27419356,0.49403578
2025-09-16 15:35:26,1,1,20 Ellie Lind,30 Caleb Moran,1,1,0,1,0,0,1,0,0,0,0,33.975357,33.499004,-5.669355,0.27419356,0.49403578,0.42741936,0.15904573
2025-09-16 15:35:53,1,2,08 ManHua Zhu,14 Gina Stees,0,0,0,0,0,0,0,1,0,1,0,12.73739,-0.39761662,-12.731182,0.10752688,0.306163,0.4516129,0.31013918
2025-09-16 15:35:59,1,2,14 Gina Stees,08 ManHua Zhu,0,0,0,0,0,0,0,0,1,0,0,10.222807,-3.0815096,-9.747312,0.4516129,0.31013918,0.71505374,0.34095427
2025-09-16 15:36:06,1,2,08 ManHua Zhu,10 Nate King,0,0,0,0,0,0,0,1,0,0,0,12.2335205,2.6838958,11.935482,0.71505374,0.34095427,0.39247313,0.31411532
2025-09-16 15:36:09,1,2,10 Nate King,30 Caleb Moran,0,0,0,0,0,0,0,0,0,0,0,7.3658414,6.858848,2.6854846,0.39247313,0.31411532,0.31989247,0.24552684
2025-09-16 15:36:13,1,2,30 Caleb Moran,08 ManHua Zhu,0,0,0,0,0,0,0,0,1,0,0,8.37181,-6.66004,5.0725803,0.31989247,0.24552684,0.1827957,0.31212723
2025-09-16 15:36:18,1,2,08 ManHua Zhu,14 Gina Stees,0,0,0,0,0,0,0,1,0,0,0,18.511175,7.753478,-16.80914,0.1827957,0.31212723,0.63709676,0.23459245
2025-09-16 15:36:27,1,2,14 Gina Stees,71 Guber,0,0,0,0,0,0,0,0,1,0,0,8.142444,-7.753478,-2.486559,0.63709676,0.23459245,0.70430106,0.31212723
2025-09-16 15:36:29,1,2,71 Guber,14 Gina Stees,0,0,0,0,0,0,0,0,0,0,0,11.391492,4.771373,10.344085,0.70430106,0.31212723,0.4247312,0.2644135
2025-09-16 15:36:34,1,2,14 Gina Stees,71 Guber,0,0,0,0,0,0,0,0,1,0,0,7.8758636,-5.6660056,5.4704304,0.4247312,0.2644135,0.27688172,0.32107356
2025-09-16 15:36:36,1,2,71 Guber,10 Nate King,0,0,0,0,0,0,0,0,0,0,1,11.112663,7.654075,8.056452,0.27688172,0.32107356,0.059139784,0.24453281
2025-09-16 15:36:43,1,2,10 Nate King,71 Guber,0,0,0,0,0,0,0,0,1,1,0,7.109772,-5.2683907,-4.7741933,0.059139784,0.24453281,0.18817204,0.2972167
2025-09-16 15:36:46,1,2,71 Guber,30 Caleb Moran,0,0,0,0,0,1,0,0,0,0,1,9.437948,7.057655,6.266129,0.18817204,0.2972167,0.018817205,0.22664016
2025-09-16 15:36:49,1,2,30 Caleb Moran,14 Gina Stees,0,0,0,1,1,0,0,0,0,1,0,11.882512,8.449305,-8.354839,0.018817205,0.22664016,0.24462366,0.14214712
2025-09-16 15:37:45,2,1,56 Angel Barragan,Mox,0,0,0,0,0,0,0,1,0,1,0,16.549597,7.7534795,-14.620967,0.018817205,0.80914515,0.4139785,0.73161036
2025-09-16 15:37:56,2,1,Mox,06 Tess Buchanan,0,0,0,0,0,0,0,1,0,0,0,12.632267,4.671973,-11.73656,0.4139785,0.73161036,0.7311828,0.6848906
2025-09-16 15:38:03,2,1,06 Tess Buchanan,Peter Walsh,0,0,0,0,0,0,0,1,0,0,0,16.3349,2.6838958,16.112904,0.7311828,0.6848906,0.2956989,0.65805167
2025-09-16 15:38:07,2,1,Peter Walsh,76 Conrad Nguyen,0,0,0,0,0,0,0,0,0,0,1,12.096709,8.349901,8.752687,0.2956989,0.65805167,0.059139784,0.57455266
2025-09-16 15:38:20,2,1,76 Conrad Nguyen,Mox,0,0,0,0,0,1,1,0,0,1,1,30.558361,30.516895,-1.5913979,0.059139784,0.57455266,0.10215054,0.2693837
2025-09-16 15:38:32,2,1,Mox,07 Chris Nowak,0,0,0,1,1,0,0,0,0,1,1,16.60159,16.600397,0.19892481,0.10215054,0.2693837,0.09677419,0.10337972
2025-09-16 15:40:20,3,1,10 Nate King,30 Caleb Moran,0,0,0,0,0,0,0,1,0,0,0,20.384779,6.858844,-19.196236,0.27688172,0.80715704,0.79569894,0.7385686
2025-09-16 15:40:23,3,1,30 Caleb Moran,56 Angel Barragan,0,0,0,0,0,0,0,0,1,0,0,11.759137,-7.8528824,8.752688,0.79569894,0.7385686,0.5591398,0.8170974
2025-09-16 15:40:27,3,1,56 Angel Barragan,30 Caleb Moran,0,0,0,0,0,0,0,0,1,0,0,9.34264,-3.9761424,8.454301,0.5591398,0.8170974,0.33064517,0.85685885
2025-09-16 15:40:31,3,1,30 Caleb Moran,71 Guber,0,0,0,0,0,0,0,0,0,0,1,17.419695,14.015907,10.344086,0.33064517,0.85685885,0.05107527,0.7166998
2025-09-16 15:40:33,3,1,71 Guber,30 Caleb Moran,0,0,0,0,0,0,0,0,1,1,0,12.578695,-7.157058,-10.344086,0.05107527,0.7166998,0.33064517,0.78827035
2025-09-16 15:40:35,3,1,30 Caleb Moran,71 Guber,0,0,0,0,0,0,0,0,0,0,0,15.80452,8.648109,-13.228494,0.33064517,0.78827035,0.68817204,0.70178926
2025-09-16 15:40:40,3,1,71 Guber,14 Gina Stees,0,0,0,0,0,0,0,0,0,0,1,21.033148,18.986082,-9.051075,0.68817204,0.70178926,0.9327957,0.51192844
