Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
30 Caleb Moran,7,"1,3,6,9,13,16,19",0,7,0,5,12,6,12,12,0,3,0,0,1,1,0,0,0,0,160.58,55.27,14.60,5.02,146.42,75.65,12.20,6.30
14 Gina Stees,7,"1,3,6,9,14,16,19",0,7,0,4,6,2,5,6,0,0,0,1,0,0,0,0,0,0,49.68,0.70,9.94,0.14,99.15,51.09,16.53,8.52
71 Guber,7,"1,3,6,9,13,16,19",0,7,0,5,9,4,8,9,0,1,2,1,0,0,0,0,0,0,103.10,61.23,12.89,7.65,106.98,21.07,11.89,2.34
Mox,7,"2,4,8,10,14,18,20",0,7,0,3,8,3,7,8,0,1,2,1,1,0,1,1,0,0,82.87,46.92,11.84,6.70,130.74,56.66,16.34,7.08
06 Tess Buchanan,7,"2,4,8,10,13,18,20",0,7,0,4,6,2,6,6,0,1,0,0,1,1,0,0,0,0,60.26,-1.19,12.05,-0.24,75.55,30.82,12.59,5.14
07 Chris Nowak,7,"2,4,9,10,14,18,20",0,7,0,3,8,4,7,8,0,1,0,1,0,0,0,0,0,0,77.19,-19.88,11.03,-2.84,106.76,44.93,13.35,5.62
32 Sean McSweeney,7,"5,7,11,12,15,17,21",7,0,7,0,11,6,9,7,4,1,0,2,0,0,0,0,0,0,179.30,99.40,19.92,11.04,152.22,69.58,21.75,9.94
24 Courtney Rachke,7,"5,7,11,12,15,17,21",7,0,7,0,4,3,4,4,0,1,2,0,0,0,0,0,0,0,48.97,34.59,12.24,8.65,58.51,35.59,14.63,8.90
Peter Walsh,7,"2,4,8,10,14,16,18",0,7,0,3,5,3,4,5,0,0,0,1,1,1,0,0,0,0,46.45,18.39,15.48,6.13,63.75,35.29,12.75,7.06
56 Angel Barragan,7,"2,3,8,10,14,18,20",0,7,0,4,17,5,17,12,5,0,0,0,0,0,0,0,0,0,227.49,106.26,14.22,6.64,156.57,-29.62,13.05,-2.47
20 Ellie Lind,7,"1,3,6,9,13,16,19",0,7,0,5,4,3,2,4,0,0,0,2,1,1,0,0,0,0,10.24,10.24,10.24,10.24,66.14,59.05,16.53,14.76
47 Penny Wu,7,"5,7,11,12,15,17,21",7,0,7,0,11,6,11,9,2,3,1,0,1,1,0,0,0,0,197.10,87.77,19.71,8.78,164.98,102.78,18.33,11.42
92 Sam DeVine,7,"5,7,11,15,17,19,21",6,1,6,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,16.10,14.61,16.10,14.61,0.00,0.00,0.00,0.00
94 Gloria Adeola,7,"2,4,8,10,14,18,20",0,7,0,3,5,3,5,5,0,0,0,0,0,0,0,0,0,0,47.35,3.48,9.47,0.70,71.14,39.36,14.23,7.87
03 Ethan Jones,7,"5,7,11,12,15,19,21",6,1,6,1,6,5,4,6,0,1,1,2,0,0,0,0,0,0,94.73,82.60,23.68,20.65,118.63,78.13,19.77,13.02
19 Emily Molloy,7,"5,7,11,12,15,17,21",7,0,7,0,5,4,3,5,0,0,1,2,0,0,0,0,0,0,26.87,-11.73,8.96,-3.91,75.98,67.30,15.20,13.46
11 Eric Wong,7,"6,7,11,12,15,17,20",5,2,5,0,17,6,17,12,5,1,2,0,3,3,0,1,0,0,218.89,136.88,15.63,9.78,139.09,-3.68,11.59,-0.31
21 Abby Pavlicek,6,"1,4,8,13,19,20",0,6,0,4,4,3,3,4,0,0,0,1,0,0,0,1,0,0,37.19,-13.42,12.40,-4.47,70.06,46.02,17.51,11.51
17 Anna Martinello,6,"5,9,12,16,17,21",4,2,4,1,2,2,1,2,0,0,0,1,0,0,0,0,0,0,8.51,-5.17,8.51,-5.17,32.39,23.16,16.20,11.58
76 Conrad Nguyen,6,"2,4,8,10,14,18",0,6,0,3,2,2,2,1,1,0,1,0,0,0,0,0,0,0,46.39,23.56,23.20,11.78,12.10,8.35,12.10,8.35
08 ManHua Zhu,6,"1,3,6,9,13,16",0,6,0,4,9,3,9,6,3,1,1,0,0,0,0,1,0,0,116.54,65.61,12.95,7.29,50.07,-4.97,8.35,-0.83
10 Nate King,4,"1,3,6,13",0,4,0,3,5,3,5,2,3,0,0,0,0,0,0,0,0,0,64.77,20.78,12.95,4.16,23.35,10.34,11.67,5.17
