Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-09-15 09:27:22,1,1,76 Conrad Nguyen,Mox,1,0,1,0,0,0,0,0,0,0,1,15.427624,13.817096,6.862903,0.2876344,0.6779324,0.10215054,0.5397614
2025-09-15 09:28:41,2,1,32 Sean McSweeney,47 Penny Wu,0,0,0,0,0,0,0,0,0,0,0,21.866358,8.151096,-20.290323,0.25537634,0.67892647,0.80376345,0.5974155
2025-09-15 09:28:50,2,1,47 Penny Wu,24 Courtney Rachke,1,1,0,0,0,0,1,0,0,0,0,44.69651,40.954273,17.903227,0.80376345,0.5974155,0.31989247,0.18787277
2025-09-15 09:30:48,2,2,47 Penny Wu,92 Sam DeVine,0,0,0,0,0,0,0,0,0,0,1,15.189337,10.934389,10.543011,0.3091398,0.82107353,0.024193548,0.71172965
2025-09-15 09:30:54,2,2,92 Sam DeVine,11 Eric Wong,0,0,0,0,0,0,0,0,0,1,1,14.0390625,13.8171015,-2.4865592,0.024193548,0.71172965,0.09139785,0.5735586
2025-09-15 09:31:00,2,2,11 Eric Wong,47 Penny Wu,0,0,0,0,0,0,0,0,1,1,0,9.844194,-3.0815125,-9.3494625,0.09139785,0.5735586,0.34408602,0.60437375
2025-09-15 09:31:08,2,2,47 Penny Wu,92 Sam DeVine,0,0,0,0,0,0,0,0,0,0,0,18.828793,9.74155,-16.112902,0.34408602,0.60437375,0.77956986,0.50695825
2025-09-15 09:31:14,2,2,92 Sam DeVine,11 Eric Wong,0,0,0,0,0,0,0,0,0,0,0,10.948083,-0.39761662,10.94086,0.77956986,0.50695825,0.48387095,0.5109344
2025-09-15 09:31:19,2,2,11 Eric Wong,24 Courtney Rachke,0,0,0,0,0,0,0,0,0,0,0,13.664848,10.735589,8.454301,0.48387095,0.5109344,0.25537634,0.40357852
2025-09-15 09:31:22,2,2,24 Courtney Rachke,47 Penny Wu,0,0,0,0,0,1,0,0,0,0,1,7.6688004,1.2922466,7.5591397,0.25537634,0.40357852,0.05107527,0.39065605
2025-09-15 09:31:38,2,2,47 Penny Wu,03 Ethan Jones,0,0,0,1,1,0,1,0,0,1,0,32.303993,26.341948,-18.698925,0.05107527,0.39065605,0.5564516,0.12723657
2025-09-15 09:32:43,3,1,08 ManHua Zhu,10 Nate King,0,0,0,0,0,1,0,0,1,0,0,8.112623,-7.753478,2.3870966,0.2311828,0.19284295,0.16666667,0.27037773
2025-09-15 09:32:47,3,1,10 Nate King,30 Caleb Moran,0,0,0,1,1,0,0,0,0,0,1,14.255595,13.717693,3.8790324,0.16666667,0.27037773,0.061827958,0.1332008
2025-09-15 09:47:13,4,1,10 Nate King,17 Anna Martinello,1,1,0,1,0,0,1,0,0,0,0,37.034687,33.89662,-14.9193535,0.24193548,0.3528827,0.6451613,0.013916501
2025-09-15 09:47:51,4,2,08 ManHua Zhu,20 Ellie Lind,0,0,0,0,0,0,0,1,0,0,0,15.492494,4.1749477,14.919355,0.6155914,0.5646123,0.2123656,0.52286285
2025-09-15 09:47:58,4,2,20 Ellie Lind,08 ManHua Zhu,0,0,0,0,0,0,0,0,1,0,1,7.5587826,-6.163019,4.376344,0.2123656,0.52286285,0.09408602,0.58449304
2025-09-15 09:48:04,4,2,08 ManHua Zhu,17 Anna Martinello,0,0,0,0,0,0,0,0,0,1,1,14.252476,14.015904,2.5860214,0.09408602,0.58449304,0.024193548,0.444334
2025-09-15 09:48:23,4,2,17 Anna Martinello,47 Penny Wu,0,0,0,0,0,0,0,0,0,1,1,14.3265505,14.314116,0.59677416,0.024193548,0.444334,0.008064516,0.30119285
2025-09-15 09:48:48,4,2,47 Penny Wu,71 Guber,1,1,0,1,0,0,0,0,0,1,0,28.785414,26.93837,-10.145162,0.008064516,0.30119285,0.28225806,0.031809144
2025-09-15 09:49:13,4,3,47 Penny Wu,30 Caleb Moran,0,0,0,0,0,0,0,0,0,0,0,8.293779,8.051687,-1.9892476,0.75,0.7922465,0.80376345,0.71172965
2025-09-15 09:49:28,4,3,30 Caleb Moran,10 Nate King,0,0,0,0,0,0,0,0,0,0,1,19.555443,19.3837,-2.5860212,0.80376345,0.71172965,0.8736559,0.51789266
2025-09-15 09:49:49,4,3,10 Nate King,71 Guber,1,1,0,1,0,0,1,0,0,1,0,48.699665,47.81312,9.25,0.8736559,0.51789266,0.6236559,0.03976143
2025-09-15 09:50:35,4,4,08 ManHua Zhu,20 Ellie Lind,0,0,0,1,1,0,0,0,0,0,0,9.041565,4.4731603,-7.8575273,0.40053764,0.18190855,0.61290324,0.13717695
2025-09-15 09:53:47,6,1,,92 Sam DeVine,1,1,0,0,0,0,0,1,0,0,1,18.676176,4.970181,-18.00269,0.51344085,0.74552685,1.0,0.69582504
2025-09-15 09:54:19,7,1,32 Sean McSweeney,47 Penny Wu,0,0,0,0,0,0,0,0,0,1,0,22.75304,8.548713,21.086023,0.9731183,0.7435388,0.4032258,0.65805167
2025-09-15 09:54:25,7,1,47 Penny Wu,11 Eric Wong,0,0,0,0,0,0,0,0,0,0,0,9.164025,-0.4970193,9.1505375,0.4032258,0.65805167,0.15591398,0.66302186
2025-09-15 09:54:28,7,1,11 Eric Wong,47 Penny Wu,0,0,0,0,0,0,0,1,0,0,0,11.736559,0.0,-11.736559,0.15591398,0.66302186,0.47311828,0.66302186
2025-09-15 09:54:32,7,1,47 Penny Wu,11 Eric Wong,0,0,0,0,0,0,0,0,0,0,0,10.749291,0.39761662,10.741935,0.47311828,0.66302186,0.1827957,0.6590457
2025-09-15 09:54:36,7,1,11 Eric Wong,47 Penny Wu,0,0,0,0,0,0,0,0,1,0,0,8.0829315,-2.5844932,-7.6586013,0.1827957,0.6590457,0.38978493,0.6848906
2025-09-15 09:54:39,7,1,47 Penny Wu,11 Eric Wong,0,0,0,0,0,0,0,0,0,0,1,13.077609,9.244532,9.249999,0.38978493,0.6848906,0.13978495,0.5924453
2025-09-15 09:54:44,7,1,11 Eric Wong,03 Ethan Jones,0,0,0,0,0,0,0,0,0,1,1,12.425844,12.4254465,0.09946227,0.13978495,0.5924453,0.13709678,0.46819085
2025-09-15 09:54:48,7,1,03 Ethan Jones,47 Penny Wu,0,0,0,0,0,0,0,0,1,1,0,10.816833,-10.337973,-3.1827955,0.13709678,0.46819085,0.22311828,0.5715706
2025-09-15 09:54:53,7,1,47 Penny Wu,11 Eric Wong,0,0,0,0,0,0,0,0,0,0,1,7.20554,2.4850905,6.763441,0.22311828,0.5715706,0.04032258,0.5467197
2025-09-15 09:54:56,7,1,11 Eric Wong,47 Penny Wu,0,0,0,0,0,0,0,0,1,1,0,8.026154,-5.9642134,-5.3709683,0.04032258,0.5467197,0.18548387,0.6063618
2025-09-15 09:55:14,7,1,47 Penny Wu,11 Eric Wong,0,0,0,0,0,0,0,0,0,0,0,7.5513062,7.0576487,-2.6854835,0.18548387,0.6063618,0.2580645,0.5357853
2025-09-15 09:55:17,7,1,11 Eric Wong,32 Sean McSweeney,0,0,0,0,0,0,0,0,1,0,0,8.185762,-6.2624216,-5.271506,0.2580645,0.5357853,0.40053764,0.59840953
2025-09-15 09:55:22,7,1,32 Sean McSweeney,03 Ethan Jones,0,0,0,0,0,0,0,0,0,0,0,12.740327,11.729622,4.973118,0.40053764,0.59840953,0.26612905,0.4811133
2025-09-15 09:55:38,7,1,03 Ethan Jones,47 Penny Wu,0,0,0,0,0,0,0,0,0,0,1,7.161981,-0.099402666,7.161291,0.26612905,0.4811133,0.07258064,0.48210734
2025-09-15 09:55:43,7,1,47 Penny Wu,32 Sean McSweeney,0,0,0,0,0,0,0,0,1,1,0,9.7286005,-6.36183,-7.3602157,0.07258064,0.48210734,0.2715054,0.54572564
2025-09-15 09:55:47,7,1,32 Sean McSweeney,11 Eric Wong,0,0,0,0,0,0,0,1,0,0,0,13.183109,-1.1928439,-13.129032,0.2715054,0.54572564,0.6263441,0.5576541
2025-09-15 09:55:53,7,1,11 Eric Wong,19 Emily Molloy,0,0,0,0,0,0,0,0,0,0,0,6.8474154,6.7594438,-1.094085,0.6263441,0.5576541,0.65591395,0.49005964
2025-09-15 09:55:58,7,1,19 Emily Molloy,47 Penny Wu,0,0,0,0,0,0,0,1,0,0,0,18.04216,1.1928439,18.002686,0.65591395,0.49005964,0.16935484,0.4781312
2025-09-15 09:56:02,7,1,47 Penny Wu,19 Emily Molloy,0,0,0,0,0,0,0,0,0,0,0,9.293161,0.89462996,-9.249999,0.16935484,0.4781312,0.41935483,0.4691849
2025-09-15 09:56:18,7,1,19 Emily Molloy,,0,0,0,0,0,0,0,0,0,0,0,13.00708,7.7534795,-10.443548,0.41935483,0.4691849,0.7016129,0.3916501
2025-09-15 09:56:18,7,1,,,0,0,0,0,0,0,0,0,0,0,1,10.718086,8.54871,-6.465054,0.7016129,0.3916501,0.8763441,0.306163
2025-09-15 09:56:21,7,1,,,0,0,0,0,0,0,0,0,0,1,0,9.163021,3.9761424,8.255377,0.8763441,0.306163,0.6532258,0.2664016
2025-09-15 09:56:25,7,1,,11 Eric Wong,0,0,0,0,0,0,0,0,1,0,0,8.621532,-1.6898602,8.4543,0.6532258,0.2664016,0.4247312,0.2833002
2025-09-15 09:56:28,7,1,11 Eric Wong,47 Penny Wu,0,0,0,0,0,0,0,0,0,0,1,11.836041,4.970178,10.741937,0.4247312,0.2833002,0.13440861,0.23359841
2025-09-15 09:56:38,7,1,47 Penny Wu,11 Eric Wong,0,0,0,0,0,0,0,0,0,1,0,8.037186,1.6898618,-7.857527,0.13440861,0.23359841,0.3467742,0.2166998
2025-09-15 09:56:45,7,1,11 Eric Wong,,0,0,0,0,0,1,0,1,0,0,0,13.540023,0.59642047,-13.526881,0.3467742,0.2166998,0.71236557,0.21073559
2025-09-15 09:56:48,7,1,,,0,0,0,1,1,0,0,0,0,0,1,9.942475,7.9522862,-5.967743,0.71236557,0.21073559,0.8736559,0.13121273
2025-09-15 09:58:28,8,1,,,0,0,0,0,0,0,0,0,0,0,0,9.250532,9.145128,1.3924729,0.20430107,0.52683896,0.16666667,0.43538767
2025-09-15 09:58:33,8,1,,20 Ellie Lind,0,0,0,0,0,0,0,1,0,0,0,17.480736,-3.0815125,-17.206987,0.16666667,0.43538767,0.6317204,0.4662028
2025-09-15 09:58:38,8,1,20 Ellie Lind,21 Abby Pavlicek,0,0,0,0,0,0,0,0,0,0,0,9.381705,4.970181,-7.9569902,0.6317204,0.4662028,0.8467742,0.416501
2025-09-15 09:58:44,8,1,21 Abby Pavlicek,71 Guber,0,0,0,0,0,0,0,0,1,0,0,8.411809,-3.479126,7.6586037,0.8467742,0.416501,0.63978493,0.45129225
2025-09-15 09:58:49,8,1,71 Guber,10 Nate King,0,0,0,0,0,0,0,1,0,0,0,16.875788,2.9821067,16.610214,0.63978493,0.45129225,0.19086021,0.42147118
2025-09-15 09:58:59,8,1,10 Nate King,,0,0,0,0,0,0,0,0,0,0,0,10.835448,10.834991,-0.09946227,0.19086021,0.42147118,0.19354838,0.31312126
2025-09-15 09:59:17,8,1,,,0,0,0,0,0,1,0,0,0,0,0,11.330271,8.3499,-7.6586027,0.19354838,0.31312126,0.40053764,0.22962226
2025-09-15 09:59:18,8,1,,,0,0,0,1,1,0,0,0,0,0,0,8.054146,8.051689,0.19892454,0.40053764,0.22962226,0.3951613,0.14910537
2025-09-15 10:00:37,10,1,32 Sean McSweeney,47 Penny Wu,0,0,0,0,0,0,0,0,0,0,0,10.786259,6.163019,-8.85215,0.40053764,0.639165,0.63978493,0.5775348
2025-09-15 10:00:48,10,1,47 Penny Wu,17 Anna Martinello,0,0,0,0,0,0,0,0,0,0,0,7.7794576,6.0636163,4.873656,0.63978493,0.5775348,0.5080645,0.51689863
2025-09-15 10:00:52,10,1,17 Anna Martinello,11 Eric Wong,0,0,0,0,0,0,0,0,0,0,0,10.280978,2.1868825,10.045698,0.5080645,0.51689863,0.23655914,0.4950298
2025-09-15 10:00:54,10,1,11 Eric Wong,24 Courtney Rachke,0,0,0,0,0,0,0,0,0,0,0,11.766712,8.846918,-7.7580643,0.23655914,0.4950298,0.44623655,0.40656063
2025-09-15 10:00:59,10,1,24 Courtney Rachke,03 Ethan Jones,0,0,0,0,0,0,0,0,0,0,0,13.319398,10.039762,8.752688,0.44623655,0.40656063,0.20967741,0.306163
2025-09-15 10:01:04,10,1,03 Ethan Jones,11 Eric Wong,0,0,0,0,0,0,0,0,1,0,0,7.399867,-6.36183,-3.77957,0.20967741,0.306163,0.31182796,0.36978132
2025-09-15 10:01:08,10,1,11 Eric Wong,32 Sean McSweeney,0,0,0,0,0,0,0,0,0,0,0,8.191984,4.4731617,-6.862903,0.31182796,0.36978132,0.49731183,0.3250497
2025-09-15 10:01:12,10,1,32 Sean McSweeney,47 Penny Wu,0,0,0,0,0,1,0,1,0,0,1,15.256273,6.660038,-13.725806,0.49731183,0.3250497,0.8682796,0.25844932
2025-09-15 10:01:20,10,1,47 Penny Wu,24 Courtney Rachke,0,0,0,1,1,0,0,0,0,1,0,15.567529,13.717696,7.3602147,0.8682796,0.25844932,0.66935486,0.12127236
2025-09-15 10:02:52,12,1,32 Sean McSweeney,47 Penny Wu,0,0,0,0,0,0,0,1,0,0,0,14.766906,6.759441,-13.129031,0.16935484,0.70178926,0.5241935,0.63419485
2025-09-15 10:02:59,12,1,47 Penny Wu,32 Sean McSweeney,0,0,0,0,0,0,0,0,1,0,0,9.6528225,-7.25646,-6.365592,0.5241935,0.63419485,0.69623655,0.70675945
2025-09-15 10:03:04,12,1,32 Sean McSweeney,11 Eric Wong,0,0,0,0,0,0,0,0,0,0,1,12.963977,9.74155,-8.553764,0.69623655,0.70675945,0.92741936,0.60934395
2025-09-15 10:03:05,12,1,11 Eric Wong,19 Emily Molloy,0,0,0,0,0,0,0,0,0,1,0,10.204138,6.2624273,8.056453,0.92741936,0.60934395,0.7096774,0.5467197
2025-09-15 10:03:12,12,1,19 Emily Molloy,47 Penny Wu,0,0,0,0,0,0,0,1,0,0,0,17.306736,-0.099402666,17.30645,0.7096774,0.5467197,0.24193548,0.5477137
2025-09-15 10:03:17,12,1,47 Penny Wu,32 Sean McSweeney,0,0,0,0,0,0,0,1,0,0,0,14.224506,0.19880533,-14.223118,0.24193548,0.5477137,0.6263441,0.54572564
2025-09-15 10:03:22,12,1,32 Sean McSweeney,24 Courtney Rachke,0,0,0,0,0,0,0,0,0,0,0,16.130342,13.916501,-8.155915,0.6263441,0.54572564,0.8467742,0.40656063
2025-09-15 10:03:27,12,1,24 Courtney Rachke,03 Ethan Jones,0,0,0,0,0,0,0,0,0,0,0,11.754995,9.244532,7.2607546,0.8467742,0.40656063,0.6505376,0.31411532
2025-09-15 10:03:33,12,1,03 Ethan Jones,47 Penny Wu,0,0,0,0,0,0,0,0,0,0,0,19.525208,8.846919,17.405912,0.6505376,0.31411532,0.18010753,0.22564612
2025-09-15 10:03:41,12,1,47 Penny Wu,32 Sean McSweeney,0,0,0,0,0,1,0,1,0,0,0,18.202698,0.19880682,-18.201612,0.18010753,0.22564612,0.672043,0.22365806
2025-09-15 10:03:55,12,1,32 Sean McSweeney,11 Eric Wong,0,0,0,1,1,0,0,0,0,0,1,13.201434,10.139165,-8.4543,0.672043,0.22365806,0.9005376,0.122266404
2025-09-15 10:05:26,13,1,10 Nate King,71 Guber,0,0,0,0,0,0,0,0,0,0,1,13.675634,12.922466,4.4758067,0.2123656,0.79025847,0.09139785,0.6610338
2025-09-15 10:05:36,13,1,71 Guber,17 Anna Martinello,1,1,0,0,0,0,1,0,0,1,0,49.04249,47.713722,-11.33871,0.09139785,0.6610338,0.39784947,0.18389662
2025-09-15 10:06:22,13,2,30 Caleb Moran,10 Nate King,0,0,0,0,0,0,0,0,0,1,0,6.3163867,0.7952273,6.2661276,0.9005376,0.8001988,0.7311828,0.7922465
