Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
11 Eric Wong,7,"2,6,7,10,12,14,15",6,1,5,0,21,6,20,19,2,1,1,1,0,0,0,1,0,0,233.31,108.55,11.67,5.43,206.44,28.43,10.87,1.50
47 Penny Wu,7,"2,4,6,7,10,12,15",6,1,5,1,25,6,25,23,2,2,1,0,4,4,0,1,0,0,264.94,57.06,12.62,2.72,292.18,66.40,12.70,2.89
21 Abby Pavlicek,7,"1,5,8,9,11,13,14",0,7,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,8.41,-3.48,8.41,-3.48,9.38,4.97,9.38,4.97
03 Ethan Jones,7,"2,6,7,10,12,14,15",6,1,5,0,9,6,8,9,0,0,0,1,1,1,0,0,0,0,67.03,-8.45,9.58,-1.21,132.10,102.88,14.68,11.43
32 Sean McSweeney,6,"2,6,7,10,12,15",6,0,5,0,15,5,15,9,6,1,1,0,0,0,0,0,0,0,198.22,88.17,13.21,5.88,98.17,-5.67,10.91,-0.63
24 Courtney Rachke,6,"2,6,7,10,12,15",6,0,5,0,6,4,5,6,0,0,2,1,0,0,0,0,0,0,50.32,23.06,10.06,4.61,79.65,48.31,13.27,8.05
19 Emily Molloy,6,"2,6,7,10,12,15",6,0,5,0,5,3,4,5,0,0,0,1,0,0,0,0,0,0,59.31,4.97,14.83,1.24,48.51,22.07,9.70,4.41
08 ManHua Zhu,6,"3,4,8,11,13,14",0,6,0,4,8,4,8,5,3,1,1,0,0,0,0,0,0,0,111.71,52.29,13.96,6.54,40.88,-1.29,8.18,-0.26
17 Anna Martinello,5,"3,4,8,10,13",1,4,1,4,3,3,3,3,0,0,1,0,0,0,0,0,0,0,34.79,18.69,11.60,6.23,30.46,22.86,10.15,7.62
71 Guber,5,"3,4,8,11,13",0,5,0,4,3,2,3,3,0,0,0,0,1,1,0,1,0,0,26.89,12.13,13.44,6.06,33.44,20.78,11.15,6.93
30 Caleb Moran,5,"3,4,8,11,13",0,5,0,4,7,3,5,6,1,0,0,2,0,0,0,1,0,0,56.52,37.77,11.30,7.55,54.80,26.54,9.13,4.42
92 Sam DeVine,5,"2,6,7,12,15",5,0,4,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,24.99,13.42,12.49,6.71,34.02,20.68,17.01,10.34
10 Nate King,5,"3,4,8,11,13",0,5,0,4,7,4,7,5,2,1,0,0,2,2,0,0,0,0,54.34,34.89,10.87,6.98,59.33,14.91,11.87,2.98
20 Ellie Lind,4,"4,8,11,13",0,4,0,3,5,3,4,5,0,1,0,1,0,0,0,0,0,0,35.53,10.34,8.88,2.58,85.83,38.97,17.17,7.79
Peter Walsh,4,"3,5,9,14",0,4,0,1,3,1,3,2,1,0,0,0,1,1,0,0,0,0,14.83,-7.06,7.41,-3.53,22.32,-6.76,11.16,-3.38
06 Tess Buchanan,4,"1,5,9,14",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mox,4,"1,5,9,14",0,4,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,13.15,-0.80,13.15,-0.80,15.49,13.52,15.49,13.52
76 Conrad Nguyen,3,"1,5,9",0,3,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
94 Gloria Adeola,3,"1,5,9",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
56 Angel Barragan,3,"1,5,11",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
07 Chris Nowak,2,"1,9",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14 Gina Stees,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
