Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-09-15 17:54:49,1,1,10 Nate King,08 ManHua Zhu,0,0,0,0,0,0,0,0,0,0,0,9.448052,9.443339,-0.29838902,0.83870965,0.4751491,0.8467742,0.3807157
2025-09-15 17:55:36,1,1,08 ManHua Zhu,56 Angel Barragan,0,0,0,0,0,0,0,0,1,0,0,10.158703,-3.180915,9.647851,0.8467742,0.3807157,0.5860215,0.41252485
2025-09-15 17:55:43,1,1,56 Angel Barragan,08 ManHua Zhu,0,0,0,0,0,0,0,0,1,0,0,7.739349,-5.2683887,-5.669356,0.5860215,0.41252485,0.7392473,0.46520874
2025-09-15 17:55:50,1,1,08 ManHua Zhu,56 Angel Barragan,1,1,0,0,0,0,0,1,0,0,0,12.678725,-2.4850905,12.432796,0.7392473,0.46520874,0.4032258,0.49005964
2025-09-15 17:56:47,2,1,47 Penny Wu,32 Sean McSweeney,0,0,0,0,0,0,0,0,0,0,0,14.760735,13.22068,-6.5645165,0.29301074,0.79025847,0.4704301,0.65805167
2025-09-15 17:56:54,2,1,32 Sean McSweeney,47 Penny Wu,0,0,0,0,0,0,0,0,1,0,0,7.200005,-3.8767397,6.067204,0.4704301,0.65805167,0.30645162,0.69681907
2025-09-15 17:56:59,2,1,47 Penny Wu,92 Sam DeVine,0,0,0,0,0,0,0,0,0,0,1,15.167027,12.524849,8.553763,0.30645162,0.69681907,0.07526882,0.5715706
2025-09-15 17:57:13,2,1,92 Sam DeVine,19 Emily Molloy,0,0,0,0,0,0,0,1,0,1,0,15.452604,2.6838958,-15.217743,0.07526882,0.5715706,0.48655915,0.5447316
2025-09-15 17:57:18,2,1,19 Emily Molloy,47 Penny Wu,0,0,0,0,0,0,0,0,1,0,0,9.005326,-4.572564,-7.758064,0.48655915,0.5447316,0.69623655,0.59045726
2025-09-15 17:57:26,2,1,47 Penny Wu,03 Ethan Jones,0,0,0,0,0,0,0,1,0,0,0,12.901185,-2.0874739,12.731183,0.69623655,0.59045726,0.35215053,0.611332
2025-09-15 17:57:29,2,1,03 Ethan Jones,47 Penny Wu,0,0,0,0,0,0,0,1,0,0,0,13.323761,-1.5904605,-13.228494,0.35215053,0.611332,0.7096774,0.6272366
2025-09-15 17:57:38,2,1,47 Penny Wu,03 Ethan Jones,0,0,0,0,0,0,0,1,0,0,0,17.681948,7.057655,16.212364,0.7096774,0.6272366,0.2715054,0.55666006
2025-09-15 17:57:42,2,1,03 Ethan Jones,19 Emily Molloy,0,0,0,0,0,0,0,0,0,0,0,11.074841,4.870778,-9.946237,0.2715054,0.55666006,0.5403226,0.5079523
2025-09-15 17:57:58,2,1,19 Emily Molloy,47 Penny Wu,0,0,0,0,0,0,0,0,1,0,0,8.280284,-3.3797204,-7.5591393,0.5403226,0.5079523,0.74462366,0.5417495
2025-09-15 17:58:08,2,1,47 Penny Wu,92 Sam DeVine,1,1,0,0,0,0,0,0,0,0,0,19.613926,8.846914,17.505377,0.74462366,0.5417495,0.2715054,0.45328033
2025-09-15 17:59:48,2,2,32 Sean McSweeney,47 Penny Wu,0,0,0,0,0,0,0,1,0,0,0,15.694317,-4.870778,-14.9193535,0.17204301,0.8200795,0.5752688,0.8687873
2025-09-15 17:59:52,2,2,47 Penny Wu,19 Emily Molloy,1,0,1,0,0,0,0,0,0,0,0,15.309394,14.512926,-4.873656,0.5752688,0.8687873,0.7069892,0.723658
2025-09-15 18:00:47,3,1,47 Penny Wu,32 Sean McSweeney,0,0,0,0,0,0,0,0,0,0,0,16.544298,13.220674,-9.946236,0.32258064,0.78827035,0.5913978,0.6560636
2025-09-15 18:00:50,3,1,32 Sean McSweeney,24 Courtney Rachke,0,0,0,0,0,0,0,0,0,0,1,16.952084,11.630219,-12.333335,0.5913978,0.6560636,0.9247312,0.5397614
2025-09-15 18:01:01,3,1,24 Courtney Rachke,47 Penny Wu,0,0,0,0,0,0,0,0,1,1,0,11.18154,-6.958252,8.752688,0.9247312,0.5397614,0.68817204,0.60934395
2025-09-15 18:01:39,3,1,47 Penny Wu,17 Anna Martinello,0,0,0,0,0,0,0,0,0,0,0,18.767159,12.127238,14.32258,0.68817204,0.60934395,0.30107528,0.48807156
2025-09-15 18:01:52,3,1,17 Anna Martinello,11 Eric Wong,0,0,0,0,0,0,0,0,1,0,0,6.654328,-6.461233,-1.5913974,0.30107528,0.48807156,0.34408602,0.5526839
2025-09-15 18:01:56,3,1,11 Eric Wong,32 Sean McSweeney,0,0,0,0,0,0,0,0,0,0,1,11.75839,8.747515,7.8575273,0.34408602,0.5526839,0.13172042,0.46520874
2025-09-15 18:02:02,3,1,32 Sean McSweeney,47 Penny Wu,1,1,0,1,0,0,1,0,0,1,0,43.83431,42.644135,-10.145162,0.13172042,0.46520874,0.40591398,0.038767397
2025-09-15 18:03:20,3,2,11 Eric Wong,24 Courtney Rachke,1,1,0,1,0,0,1,0,0,1,1,52.45289,52.286278,-4.177419,0.0,0.64314115,0.11290322,0.12027833
2025-09-15 18:04:38,3,3,47 Penny Wu,19 Emily Molloy,1,1,0,0,0,0,0,0,0,1,0,28.644335,10.735588,-26.55645,0.03763441,0.31013918,0.75537634,0.2027833
2025-09-15 18:05:05,3,4,11 Eric Wong,32 Sean McSweeney,0,0,0,0,0,0,0,0,1,1,0,12.271555,-7.4552655,-9.747312,0.045698926,0.7972167,0.3091398,0.87176937
2025-09-15 18:05:12,3,4,32 Sean McSweeney,47 Penny Wu,0,0,0,0,0,0,0,0,0,0,0,11.877727,10.437375,-5.669355,0.3091398,0.87176937,0.4623656,0.7673956
2025-09-15 18:05:28,3,4,47 Penny Wu,11 Eric Wong,1,1,0,0,0,0,1,0,0,0,0,49.11987,49.105366,1.1935483,0.4623656,0.7673956,0.43010753,0.27634194
2025-09-15 18:06:06,3,5,47 Penny Wu,19 Emily Molloy,1,1,0,0,0,0,0,0,0,1,0,20.31105,19.3837,6.067205,0.9892473,0.8220676,0.8252688,0.62823063
2025-09-15 18:06:43,3,6,32 Sean McSweeney,47 Penny Wu,0,0,0,0,0,0,0,1,0,0,0,11.150867,0.4970193,11.139786,0.7930108,0.7385686,0.4919355,0.7335984
2025-09-15 18:06:45,3,6,47 Penny Wu,17 Anna Martinello,0,0,0,0,0,0,0,0,0,0,0,16.743502,11.431414,12.233871,0.4919355,0.7335984,0.16129032,0.6192843
2025-09-15 18:07:05,3,6,17 Anna Martinello,19 Emily Molloy,0,0,0,0,0,0,0,0,0,0,0,9.072531,6.2624216,-6.5645165,0.16129032,0.6192843,0.33870968,0.55666006
2025-09-15 18:07:20,3,6,19 Emily Molloy,47 Penny Wu,0,0,0,0,0,0,0,0,1,0,0,8.545865,-7.4552655,-4.1774187,0.33870968,0.55666006,0.4516129,0.6312127
2025-09-15 18:07:36,3,6,47 Penny Wu,24 Courtney Rachke,1,1,0,0,0,0,0,0,0,0,0,18.819717,14.711729,-11.736559,0.4516129,0.6312127,0.7688172,0.48409542
2025-09-15 18:08:18,3,7,32 Sean McSweeney,19 Emily Molloy,0,0,0,0,0,0,0,0,0,0,0,17.89528,16.799206,-6.166665,0.5967742,0.74850893,0.76344085,0.5805169
2025-09-15 18:08:21,3,7,19 Emily Molloy,32 Sean McSweeney,0,0,0,0,0,0,0,0,1,0,0,11.435983,-2.9821098,11.040322,0.76344085,0.5805169,0.46505377,0.610338
2025-09-15 18:08:24,3,7,32 Sean McSweeney,11 Eric Wong,0,0,0,0,0,0,0,1,0,0,1,13.904237,7.4552655,11.736559,0.46505377,0.610338,0.14784946,0.5357853
