Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
19 Emily Molloy,8,"2,3,5,8,9,12,14,17",7,1,1,0,8,5,8,8,0,0,0,0,2,0,2,0,0,0,97.20,-30.91,12.15,-3.86,115.67,89.17,14.46,11.15
32 Sean McSweeney,7,"2,3,5,8,9,12,14",7,0,1,0,17,7,17,10,7,0,0,0,1,1,0,0,0,0,210.85,84.89,14.06,5.66,127.87,41.45,12.79,4.15
92 Sam DeVine,7,"2,3,5,8,9,12,14",7,0,1,0,6,4,6,6,0,1,0,0,1,1,0,1,0,0,59.71,44.23,14.93,11.06,90.46,36.88,15.08,6.15
24 Courtney Rachke,7,"2,3,5,8,9,12,14",7,0,1,0,4,4,4,4,0,0,0,0,2,1,1,2,0,0,43.40,3.18,14.47,1.06,68.25,53.58,17.06,13.39
47 Penny Wu,7,"2,3,5,8,9,12,14",7,0,1,0,29,6,29,20,9,0,0,0,8,8,0,1,0,0,310.42,177.83,15.52,8.89,240.62,-57.75,12.03,-2.89
11 Eric Wong,7,"3,5,8,9,12,15,17",6,1,2,0,18,6,18,15,3,0,2,0,2,1,1,0,0,0,235.60,61.53,13.86,3.62,192.01,32.21,12.80,2.15
03 Ethan Jones,6,"2,5,8,9,12,14",6,0,1,0,11,6,10,11,0,0,0,1,2,2,0,1,0,0,79.24,17.40,11.32,2.49,175.21,107.16,15.93,9.74
17 Anna Martinello,6,"2,3,7,10,14,16",5,1,1,1,4,3,4,4,0,0,0,0,0,0,0,1,0,0,39.97,21.87,9.99,5.47,67.37,44.04,16.84,11.01
20 Ellie Lind,6,"1,7,10,13,15,17",3,3,2,0,2,1,1,2,0,0,0,1,0,0,0,0,0,0,12.47,6.16,12.47,6.16,37.75,36.98,18.87,18.49
30 Caleb Moran,6,"1,4,7,10,13,16",3,3,1,1,7,4,7,5,2,0,0,0,0,0,0,0,0,0,106.50,29.03,15.21,4.15,77.51,29.13,15.50,5.83
21 Abby Pavlicek,6,"1,6,11,13,15,16",2,4,1,1,6,4,6,6,0,0,0,0,1,0,1,0,0,0,71.97,-5.96,11.99,-0.99,86.90,44.83,14.48,7.47
71 Guber,6,"1,4,7,10,13,16",3,3,1,1,11,4,11,11,0,1,1,0,3,3,0,0,0,0,127.11,60.44,21.19,10.07,179.08,33.20,16.28,3.02
08 ManHua Zhu,5,"1,4,7,10,13",3,2,1,0,8,4,8,5,3,0,0,0,1,1,0,0,0,0,92.08,48.31,13.15,6.90,51.98,-15.90,10.40,-3.18
10 Nate King,5,"1,4,7,10,17",3,2,1,0,11,5,10,6,5,0,0,1,2,2,0,0,0,0,110.47,45.13,13.81,5.64,102.69,64.21,17.12,10.70
56 Angel Barragan,5,"1,6,11,13,16",1,4,0,1,7,4,7,5,2,0,1,0,0,0,0,0,0,0,97.37,39.36,13.91,5.62,58.28,8.35,11.66,1.67
76 Conrad Nguyen,5,"4,6,11,15,17",3,2,1,0,3,2,2,1,2,0,0,0,0,0,0,1,0,1,26.09,18.49,13.04,9.24,12.33,8.15,12.33,8.15
94 Gloria Adeola,4,"6,11,15,17",2,2,1,0,3,3,3,3,0,0,0,0,3,2,1,0,0,0,9.41,-5.47,9.41,-5.47,34.95,34.10,11.65,11.37
Peter Walsh,4,"6,13,15,17",2,2,1,0,5,3,5,4,1,1,0,0,0,0,0,0,0,0,61.49,47.02,15.37,11.75,62.09,36.18,15.52,9.05
Mox,4,"4,6,11,15",3,1,1,0,2,2,2,2,0,0,0,0,1,0,1,0,0,0,18.97,0.70,9.49,0.35,27.29,10.14,13.64,5.07
06 Tess Buchanan,3,"6,11,16",1,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,12.33,8.15,12.33,8.15,17.75,-9.15,17.75,-9.15
14 Gina Stees,3,"4,7,10",3,0,1,0,4,3,4,4,0,1,0,0,0,0,0,1,0,0,107.27,69.38,26.82,17.35,55.32,34.19,13.83,8.55
07 Chris Nowak,2,"11,16",0,2,0,1,3,2,2,3,0,0,0,1,0,0,0,0,0,0,26.17,-6.36,13.08,-3.18,74.71,73.26,24.90,24.42
