Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
03 Ethan Jones,11,"2,3,5,7,9,11,13,15,17,18,19",9,2,7,0,11,7,8,11,0,0,0,3,1,1,0,0,0,0,96.32,1.29,13.76,0.18,227.56,180.12,20.69,16.37
47 Penny Wu,10,"2,3,5,7,9,11,13,15,17,19",9,1,7,0,25,8,24,22,3,2,0,1,3,2,1,0,0,0,375.04,266.30,17.05,12.10,242.96,-3.18,11.04,-0.14
19 Emily Molloy,10,"2,3,5,7,9,13,15,17,19,20",9,1,7,0,9,5,7,9,0,0,1,2,1,1,0,0,0,0,59.92,-7.46,11.98,-1.49,174.89,145.23,19.43,16.14
24 Courtney Rachke,9,"2,3,5,7,9,13,15,17,19",9,0,7,0,5,4,5,5,0,0,3,0,2,0,2,1,0,0,43.48,10.34,8.70,2.07,70.55,17.40,14.11,3.48
32 Sean McSweeney,9,"2,3,5,7,9,13,15,17,19",9,0,7,0,15,9,15,7,8,2,1,0,1,0,1,0,0,0,211.31,96.42,16.25,7.42,92.47,61.43,13.21,8.78
10 Nate King,8,"1,4,8,10,11,12,16,20",1,7,1,0,3,2,3,1,2,0,0,0,1,1,0,0,0,0,25.95,-10.34,12.98,-5.17,19.36,19.28,19.36,19.28
17 Anna Martinello,8,"1,2,5,9,11,13,17,18",5,3,3,0,2,2,1,2,0,0,0,1,0,0,0,0,0,0,13.21,10.24,13.21,10.24,27.53,23.46,13.76,11.73
08 ManHua Zhu,8,"1,4,8,10,11,12,16,20",1,7,1,0,3,2,3,1,2,0,0,0,0,0,0,0,0,0,50.59,48.41,16.86,16.14,9.45,7.55,9.45,7.55
30 Caleb Moran,7,"1,4,7,8,10,16,20",2,5,2,0,4,2,4,4,0,0,1,0,0,0,0,0,0,0,34.92,10.93,8.73,2.73,56.37,19.88,14.09,4.97
11 Eric Wong,7,"2,3,7,12,15,18,19",5,2,4,0,10,4,10,8,2,1,1,0,0,0,0,0,0,0,126.63,86.98,12.66,8.70,99.29,32.80,12.41,4.10
20 Ellie Lind,7,"1,4,8,10,12,16,18",1,6,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,16.77,16.70,16.77,16.70
92 Sam DeVine,7,"3,5,9,13,15,17,19",7,0,6,0,10,3,10,9,1,2,0,0,0,0,0,1,0,0,150.46,90.06,15.05,9.01,131.59,60.74,14.62,6.75
71 Guber,7,"1,4,8,10,12,16,20",1,6,1,0,6,2,6,6,0,1,0,0,0,0,0,0,0,0,83.47,57.95,13.91,9.66,61.20,10.83,10.20,1.81
14 Gina Stees,5,"1,8,10,16,20",1,4,1,0,1,1,1,1,0,0,0,0,3,1,2,0,0,0,0.00,0.00,0.00,0.00,13.59,-4.17,13.59,-4.17
Peter Walsh,5,"6,11,12,16,18",0,5,0,0,3,2,3,3,0,0,0,0,0,0,0,0,0,0,25.06,-13.92,12.53,-6.96,45.45,41.95,15.15,13.98
21 Abby Pavlicek,5,"4,6,12,14,18",0,5,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,6.95,-3.38,6.95,-3.38,13.87,9.34,13.87,9.34
56 Angel Barragan,5,"4,6,8,14,20",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mox,4,"6,10,14,18",1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,7.71,2.58,7.71,2.58,8.15,7.06,8.15,7.06
94 Gloria Adeola,2,"6,14",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06 Tess Buchanan,2,"6,14",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
76 Conrad Nguyen,2,"6,14",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
07 Chris Nowak,2,"11,14",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
