Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-09-15 16:40:02,1,1,56 Angel Barragan,,0,0,0,0,0,0,0,0,1,0,0,9.413185,-1.0934412,9.3494625,0.5080645,0.82107353,0.25537634,0.83200794
2025-09-15 16:40:03,1,1,,,1,1,0,0,0,0,0,0,0,0,1,11.763266,11.033797,4.077957,0.25537634,0.83200794,0.14516129,0.72167
2025-09-15 16:40:42,2,1,32 Sean McSweeney,47 Penny Wu,0,0,0,0,0,0,0,1,0,0,0,20.107128,-0.79523325,-20.091396,0.22311828,0.722664,0.766129,0.73061633
2025-09-15 16:40:45,2,1,47 Penny Wu,32 Sean McSweeney,0,0,0,0,0,0,0,1,0,0,0,14.699924,4.075551,14.123655,0.766129,0.73061633,0.3844086,0.6898608
2025-09-15 16:40:47,2,1,32 Sean McSweeney,47 Penny Wu,0,0,0,0,0,0,0,1,0,0,0,16.418814,-0.4970193,-16.41129,0.3844086,0.6898608,0.827957,0.694831
2025-09-15 16:40:54,2,1,47 Penny Wu,32 Sean McSweeney,0,0,0,0,0,0,0,0,1,0,1,7.30251,-3.5785317,-6.365592,0.827957,0.694831,1.0,0.73061633
2025-09-15 16:41:00,2,1,32 Sean McSweeney,03 Ethan Jones,0,0,0,0,0,0,0,0,0,1,0,8.593181,2.3856878,8.255377,1.0,0.73061633,0.7768817,0.70675945
2025-09-15 16:41:02,2,1,03 Ethan Jones,47 Penny Wu,0,0,0,0,0,0,0,0,0,0,0,11.138221,2.0874739,10.94086,0.7768817,0.70675945,0.48118278,0.6858847
2025-09-15 16:41:04,2,1,47 Penny Wu,11 Eric Wong,0,0,0,0,0,0,0,1,0,0,1,14.690959,3.6779344,14.223118,0.48118278,0.6858847,0.09677419,0.64910537
2025-09-15 16:41:14,2,1,11 Eric Wong,19 Emily Molloy,0,0,0,0,0,0,0,0,0,1,0,12.760047,11.431414,-5.669355,0.09677419,0.64910537,0.25,0.53479123
2025-09-15 16:41:18,2,1,19 Emily Molloy,11 Eric Wong,0,0,0,0,0,0,0,0,0,0,1,9.460267,5.2683887,7.8575273,0.25,0.53479123,0.03763441,0.48210734
2025-09-15 16:41:24,2,1,11 Eric Wong,19 Emily Molloy,0,0,0,0,0,0,0,0,0,1,0,9.4536295,0.298208,-9.448925,0.03763441,0.48210734,0.29301074,0.47912526
2025-09-15 16:41:30,2,1,19 Emily Molloy,11 Eric Wong,0,0,0,0,0,0,0,0,0,0,1,7.750939,1.1928439,7.6586013,0.29301074,0.47912526,0.086021505,0.46719682
2025-09-15 16:41:33,2,1,11 Eric Wong,47 Penny Wu,0,0,0,0,0,0,0,0,0,1,0,7.2852073,0.59642196,-7.260752,0.086021505,0.46719682,0.28225806,0.4612326
2025-09-15 16:41:40,2,1,47 Penny Wu,24 Courtney Rachke,0,0,0,0,0,0,0,0,0,0,1,25.326012,10.437375,-23.07527,0.28225806,0.4612326,0.90591395,0.35685885
2025-09-15 16:41:48,2,1,24 Courtney Rachke,32 Sean McSweeney,0,0,0,0,0,0,0,0,1,1,1,6.9058294,-5.9642134,-3.481184,0.90591395,0.35685885,1.0,0.416501
2025-09-15 16:41:54,2,1,32 Sean McSweeney,24 Courtney Rachke,0,0,0,0,0,0,0,0,0,1,1,13.230023,13.220674,0.49731135,1.0,0.416501,0.98655915,0.28429425
2025-09-15 16:42:01,2,1,24 Courtney Rachke,11 Eric Wong,0,0,0,0,0,0,0,0,1,1,1,7.65472,-7.6540737,-0.09946227,0.98655915,0.28429425,0.9892473,0.360835
2025-09-15 16:42:07,2,1,11 Eric Wong,47 Penny Wu,0,0,0,0,0,1,0,0,0,1,1,12.4254465,12.4254465,0.0,0.9892473,0.360835,0.9892473,0.23658052
2025-09-15 16:42:19,2,1,47 Penny Wu,19 Emily Molloy,0,0,0,1,1,0,0,0,0,1,1,10.665906,10.636184,0.7957004,0.9892473,0.23658052,0.9677419,0.13021868
2025-09-15 16:43:11,4,1,47 Penny Wu,32 Sean McSweeney,0,0,0,0,0,0,0,0,0,1,0,16.527802,10.039759,13.129031,0.90591395,0.75447315,0.5510753,0.65407556
2025-09-15 16:43:13,4,1,32 Sean McSweeney,03 Ethan Jones,0,0,0,0,0,0,0,1,0,0,0,13.776855,4.1749535,13.129033,0.5510753,0.65407556,0.19623657,0.612326
2025-09-15 16:43:21,4,1,03 Ethan Jones,19 Emily Molloy,0,0,0,0,0,0,0,0,0,0,0,13.916074,8.846914,-10.741937,0.19623657,0.612326,0.48655915,0.5238569
2025-09-15 16:43:28,4,1,19 Emily Molloy,47 Penny Wu,0,0,0,0,0,0,0,0,1,0,0,7.955296,-4.77137,6.365592,0.48655915,0.5238569,0.31451613,0.5715706
2025-09-15 16:43:33,4,1,47 Penny Wu,24 Courtney Rachke,0,0,0,0,0,0,0,0,0,0,1,20.057009,19.085487,6.166667,0.31451613,0.5715706,0.14784946,0.3807157
2025-09-15 16:43:52,4,1,24 Courtney Rachke,47 Penny Wu,0,0,0,0,0,0,0,0,1,1,0,8.136581,-6.36183,-5.072581,0.14784946,0.3807157,0.28494623,0.444334
2025-09-15 16:43:59,4,1,47 Penny Wu,11 Eric Wong,0,0,0,0,0,0,0,0,1,0,1,7.605408,-5.0695806,5.669355,0.28494623,0.444334,0.13172042,0.4950298
2025-09-15 16:44:02,4,1,11 Eric Wong,47 Penny Wu,0,0,0,0,0,0,0,0,0,1,0,10.535862,1.3916492,-10.443548,0.13172042,0.4950298,0.4139785,0.4811133
2025-09-15 16:44:07,4,1,47 Penny Wu,11 Eric Wong,0,0,0,0,0,0,0,0,0,0,0,12.254496,8.1510935,-9.150538,0.4139785,0.4811133,0.66129035,0.39960238
2025-09-15 16:44:26,4,1,11 Eric Wong,47 Penny Wu,0,0,0,0,0,0,0,1,0,0,0,17.09083,4.771373,16.411291,0.66129035,0.39960238,0.21774194,0.35188866
2025-09-15 16:44:30,4,1,47 Penny Wu,03 Ethan Jones,0,0,0,0,0,0,0,0,0,0,1,12.904334,12.027831,4.6747313,0.21774194,0.35188866,0.09139785,0.23161034
2025-09-15 16:44:40,4,1,03 Ethan Jones,47 Penny Wu,0,0,0,0,0,1,0,1,0,1,0,14.322926,0.099404156,-14.32258,0.09139785,0.23161034,0.4784946,0.2306163
2025-09-15 16:44:44,4,1,47 Penny Wu,19 Emily Molloy,0,0,0,1,1,0,0,0,0,0,0,9.639054,6.5606356,-7.061829,0.4784946,0.2306163,0.66935486,0.16500995
2025-09-15 16:46:05,5,1,76 Conrad Nguyen,06 Tess Buchanan,0,0,0,0,0,0,0,0,0,1,1,9.055474,8.648109,2.6854835,1.0,0.8200795,0.92741936,0.7335984
2025-09-15 16:46:22,5,1,06 Tess Buchanan,76 Conrad Nguyen,0,0,0,0,0,0,0,1,0,1,0,13.703976,-3.5785258,13.228496,0.92741936,0.7335984,0.56989247,0.76938367
2025-09-15 16:46:26,5,1,76 Conrad Nguyen,Peter Walsh,0,0,0,0,0,0,0,1,0,0,0,15.555171,7.8528824,13.42742,0.56989247,0.76938367,0.20698924,0.69085485
2025-09-15 16:46:33,5,1,Peter Walsh,94 Gloria Adeola,1,1,0,0,0,0,0,0,0,0,1,16.656298,15.308147,6.564516,0.20698924,0.69085485,0.029569892,0.5377734
