Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
03 Ethan Jones,13,"2,4,6,8,9,10,13,14,16,18,20,22,24",11,2,11,1,8,7,6,8,0,1,2,2,1,0,1,0,0,0,74.66,24.06,12.44,4.01,172.60,137.77,21.58,17.22
47 Penny Wu,13,"2,4,6,8,9,10,12,13,14,16,20,22,24",11,2,11,0,32,11,31,25,7,4,3,1,2,2,0,0,0,0,411.96,195.53,14.21,6.74,364.98,110.54,14.60,4.42
11 Eric Wong,12,"2,4,6,9,10,12,13,14,17,20,22,24",9,3,9,1,17,7,16,17,0,1,3,1,0,0,0,0,0,0,188.31,107.85,12.55,7.19,181.75,15.90,10.69,0.94
24 Courtney Rachke,12,"2,4,6,8,10,13,14,16,20,21,22,24",11,1,11,0,13,8,10,13,0,1,2,3,0,0,0,0,0,0,77.50,-27.14,8.61,-3.02,203.54,137.67,15.66,10.59
19 Emily Molloy,11,"2,4,6,8,10,13,14,16,20,22,24",11,0,11,0,11,6,9,11,0,0,0,2,0,0,0,0,0,0,98.73,24.35,10.97,2.71,128.24,87.87,11.66,7.99
32 Sean McSweeney,11,"2,4,6,8,10,13,14,16,20,22,24",11,0,11,0,20,10,20,14,6,4,0,0,0,0,0,0,0,0,403.66,234.39,20.18,11.72,180.03,57.65,12.86,4.12
17 Anna Martinello,9,"3,4,8,12,13,16,19,20,24",6,3,6,0,4,3,3,3,1,0,0,1,1,1,0,2,0,0,22.41,22.27,11.21,11.13,41.09,23.96,13.70,7.99
92 Sam DeVine,9,"2,6,8,10,12,14,16,19,22",7,2,7,0,7,5,6,6,1,0,0,1,0,0,0,0,0,0,95.46,37.77,15.91,6.30,132.01,72.56,22.00,12.09
56 Angel Barragan,7,"1,3,7,11,15,18,21",0,7,0,2,7,5,6,4,3,0,0,1,2,2,0,0,0,0,45.58,12.72,15.19,4.24,76.19,35.39,19.05,8.85
08 ManHua Zhu,7,"3,7,9,11,17,19,23",0,7,0,2,6,3,6,5,1,1,0,0,0,0,0,0,0,0,120.30,45.23,20.05,7.54,57.40,23.66,11.48,4.73
21 Abby Pavlicek,6,"1,5,11,15,17,23",0,6,0,2,5,3,4,5,0,0,0,1,0,0,0,0,0,0,39.75,0.00,9.94,0.00,95.90,48.31,19.18,9.66
71 Guber,6,"3,7,11,18,21,23",0,6,0,2,6,3,5,6,0,1,0,1,1,1,0,2,0,0,54.39,25.75,13.60,6.44,121.36,37.28,20.23,6.21
06 Tess Buchanan,6,"1,5,9,12,18,21",0,6,0,1,7,1,7,7,0,0,0,0,0,0,0,0,0,0,93.20,6.36,13.31,0.91,84.93,29.72,12.13,4.25
10 Nate King,6,"3,7,11,17,21,23",0,6,0,2,5,3,5,2,3,1,1,0,0,0,0,0,0,0,102.04,73.16,20.41,14.63,19.17,10.74,9.59,5.37
Mox,6,"1,5,12,15,19,21",0,6,0,0,3,2,3,3,0,0,0,0,2,1,1,1,0,0,25.19,-12.82,12.59,-6.41,44.93,26.54,14.98,8.85
Peter Walsh,6,"1,5,12,15,19,23",0,6,0,0,8,3,8,8,0,0,0,0,3,3,0,0,0,0,56.35,18.39,11.27,3.68,109.50,10.64,13.69,1.33
14 Gina Stees,5,"3,7,11,17,21",0,5,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,23.41,6.16,11.70,3.08,27.97,5.77,13.98,2.88
20 Ellie Lind,5,"7,9,17,18,23",0,5,0,2,1,1,1,1,0,0,1,0,1,0,1,0,0,0,13.31,-6.46,13.31,-6.46,26.33,25.65,26.33,25.65
76 Conrad Nguyen,5,"1,5,9,15,19",0,5,0,0,16,2,16,10,6,0,0,0,2,2,0,0,0,0,208.81,81.41,14.92,5.82,112.35,-47.32,11.24,-4.73
30 Caleb Moran,5,"3,7,11,17,19",0,5,0,2,4,2,4,2,2,0,0,0,0,0,0,1,0,0,53.99,14.61,13.50,3.65,26.05,13.82,13.03,6.91
07 Chris Nowak,4,"5,15,18,23",0,4,0,1,5,2,5,5,0,0,0,0,0,0,0,0,0,0,52.25,3.18,10.45,0.64,65.36,41.05,13.07,8.21
94 Gloria Adeola,4,"1,5,15,18",0,4,0,1,5,3,5,5,0,0,0,0,0,0,0,0,0,0,76.25,33.10,15.25,6.62,56.40,15.81,11.28,3.16
