Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
08 ManHua Zhu,9,"1,3,6,9,10,12,14,16,18",2,7,2,3,7,4,7,3,4,1,0,0,1,1,0,0,0,0,72.92,54.77,12.15,9.13,36.50,3.78,12.17,1.26
10 Nate King,9,"1,3,6,9,12,14,15,16,18",2,7,2,4,15,5,14,11,4,1,1,1,2,2,0,1,0,0,167.09,106.36,13.92,8.86,133.92,50.40,12.17,4.58
24 Courtney Rachke,8,"2,5,8,11,13,15,18,19",6,2,4,1,6,5,5,6,0,0,1,1,0,0,0,1,0,0,59.92,14.91,11.98,2.98,88.84,73.36,14.81,12.23
30 Caleb Moran,8,"1,3,6,9,12,15,16,18",2,6,2,3,5,4,5,4,1,1,0,0,0,0,0,1,0,0,89.32,43.84,17.86,8.77,45.35,13.32,11.34,3.33
11 Eric Wong,8,"2,6,8,10,11,13,14,19",5,3,3,2,9,6,9,7,2,0,3,0,1,1,0,0,0,0,93.07,40.95,11.63,5.12,87.77,35.39,12.54,5.06
21 Abby Pavlicek,8,"1,4,6,9,12,14,15,17",1,7,1,4,5,3,5,5,0,0,1,0,1,1,0,0,0,0,49.32,-15.41,12.33,-3.85,72.37,34.59,14.47,6.92
47 Penny Wu,8,"2,5,7,8,11,13,16,19",6,2,4,1,19,8,18,15,4,1,2,1,3,3,0,0,0,0,221.60,122.86,14.77,8.19,176.00,45.13,11.73,3.01
19 Emily Molloy,8,"2,5,7,8,11,13,17,19",6,2,4,1,7,6,5,7,0,1,0,2,1,1,0,1,0,0,41.75,32.70,10.44,8.18,84.52,75.45,12.07,10.78
03 Ethan Jones,8,"2,5,7,11,13,15,17,19",5,3,4,2,10,8,9,10,0,3,1,1,0,0,0,1,0,0,125.53,64.02,13.95,7.11,222.43,184.99,22.24,18.50
20 Ellie Lind,7,"1,3,6,9,12,14,16",2,5,2,3,4,3,3,4,0,0,0,1,0,0,0,0,0,0,30.39,7.06,10.13,2.35,86.04,79.13,21.51,19.78
17 Anna Martinello,7,"1,5,7,8,12,13,16",3,4,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,20.04,14.31,20.04,14.31,15.56,15.31,15.56,15.31
71 Guber,6,"1,3,7,9,14,16",2,4,2,2,4,2,4,3,1,2,0,0,0,0,0,1,0,0,83.70,66.80,20.93,16.70,41.24,-7.65,13.75,-2.55
32 Sean McSweeney,6,"2,5,8,11,13,19",6,0,4,0,9,6,9,6,3,1,1,0,0,0,0,0,0,0,210.08,165.31,23.34,18.37,91.94,39.96,15.32,6.66
92 Sam DeVine,5,"2,5,8,11,19",5,0,3,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0.00,0.00,0.00,0.00,18.29,4.97,18.29,4.97
76 Conrad Nguyen,5,"3,7,10,15,17",1,4,1,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,35.48,35.29,35.48,35.29
Mox,5,"3,4,9,15,17",2,3,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,7.98,7.95,7.98,7.95,18.70,-0.40,18.70,-0.40
56 Angel Barragan,5,"4,6,10,12,17",0,5,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,17.62,9.84,17.62,9.84,0.00,0.00,0.00,0.00
Peter Walsh,4,"4,7,14,18",0,4,0,1,3,2,2,2,1,0,0,1,0,0,0,0,0,0,26.67,6.76,13.33,3.38,33.82,31.91,16.91,15.95
06 Tess Buchanan,3,"4,10,17",0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
94 Gloria Adeola,3,"4,10,18",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
07 Chris Nowak,3,"4,10,18",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
