Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-07-19 18:12:49,1,1,56 Angel Barragan,14 Gina Stees,0,0,0,0,0,0,0,0,0,0,0,13.682114,10.834986,-8.354838,0.27419356,0.82703775,0.5,0.7186879
2025-07-19 18:12:57,1,1,14 Gina Stees,Mox,0,0,0,0,0,0,0,1,0,0,0,13.186118,6.5606356,-11.438172,0.5,0.7186879,0.8091398,0.65308154
2025-07-19 18:13:01,1,1,Mox,76 Conrad Nguyen,0,0,0,0,0,0,0,0,0,0,1,9.612079,7.4552717,-6.067205,0.8091398,0.65308154,0.9731183,0.5785288
2025-07-19 18:13:14,1,1,76 Conrad Nguyen,Mox,1,1,0,0,0,0,0,0,0,1,1,13.419482,13.419482,0.0,0.9731183,0.5785288,0.9731183,0.444334
2025-07-19 18:14:20,2,1,47 Penny Wu,32 Sean McSweeney,0,0,0,0,0,0,0,0,0,1,0,23.490635,13.817096,18.99731,0.8736559,0.8011928,0.36021507,0.66302186
2025-07-19 18:14:25,2,1,32 Sean McSweeney,03 Ethan Jones,0,0,0,0,0,0,0,0,0,0,0,16.512295,14.413518,-8.056451,0.36021507,0.66302186,0.577957,0.5188867
2025-07-19 18:14:31,2,1,03 Ethan Jones,10 Nate King,0,0,0,0,0,0,0,1,0,0,1,11.967648,4.3737593,-11.139786,0.577957,0.5188867,0.87903225,0.4751491
2025-07-19 18:14:40,2,1,10 Nate King,47 Penny Wu,0,0,0,0,0,0,0,0,0,1,1,10.343103,10.039762,-2.486559,0.87903225,0.4751491,0.94623655,0.37475148
2025-07-19 18:14:49,2,1,47 Penny Wu,32 Sean McSweeney,0,0,0,0,0,0,0,1,0,1,0,12.947473,-5.4671974,11.736559,0.94623655,0.37475148,0.62903225,0.42942345
2025-07-19 18:14:55,2,1,32 Sean McSweeney,92 Sam DeVine,0,0,0,0,0,0,0,1,0,0,0,14.927514,-1.7892659,14.819892,0.62903225,0.42942345,0.22849463,0.4473161
2025-07-19 18:15:00,2,1,92 Sam DeVine,19 Emily Molloy,0,0,0,0,0,0,0,0,0,0,0,11.538866,7.157058,-9.051075,0.22849463,0.4473161,0.47311828,0.37574553
2025-07-19 18:15:07,2,1,19 Emily Molloy,32 Sean McSweeney,0,0,0,0,0,0,0,0,0,0,0,12.430494,10.735586,6.2661285,0.47311828,0.37574553,0.30376345,0.26838967
2025-07-19 18:15:19,2,1,32 Sean McSweeney,10 Nate King,0,0,0,0,0,1,0,0,0,0,0,9.246028,1.8886685,-9.051075,0.30376345,0.26838967,0.5483871,0.24950299
2025-07-19 18:15:25,2,1,10 Nate King,25 Molly Cowley,0,0,0,1,1,0,0,0,0,0,0,12.497255,11.033797,5.8682804,0.5483871,0.24950299,0.38978493,0.13916501
2025-07-19 18:18:39,4,1,47 Penny Wu,05 Seokhee Burningham,0,0,0,0,0,0,0,0,0,1,0,21.280884,14.015907,16.013441,0.9516129,0.7435388,0.5188172,0.6033797
2025-07-19 18:18:47,4,1,05 Seokhee Burningham,32 Sean McSweeney,0,0,0,0,0,0,0,0,1,0,0,9.221723,-2.5844932,8.85215,0.5188172,0.6033797,0.2795699,0.62922466
2025-07-19 18:18:52,4,1,32 Sean McSweeney,47 Penny Wu,0,0,0,0,0,0,0,0,1,0,0,6.923814,-5.864811,3.6801074,0.2795699,0.62922466,0.18010753,0.68787277
2025-07-19 18:18:56,4,1,47 Penny Wu,92 Sam DeVine,0,0,0,0,0,0,0,0,0,0,1,11.872207,10.5367775,5.4704304,0.18010753,0.68787277,0.032258064,0.582505
2025-07-19 18:19:10,4,1,92 Sam DeVine,47 Penny Wu,0,0,0,0,0,0,0,0,1,1,0,9.310963,-3.6779284,-8.553763,0.032258064,0.582505,0.26344085,0.6192843
2025-07-19 18:19:26,4,1,47 Penny Wu,32 Sean McSweeney,0,0,0,0,0,0,0,0,0,0,0,14.215955,13.121271,-5.4704304,0.26344085,0.6192843,0.41129032,0.48807156
2025-07-19 18:19:33,4,1,32 Sean McSweeney,05 Seokhee Burningham,0,0,0,0,0,0,0,0,0,0,0,19.281588,10.437375,-16.212366,0.41129032,0.48807156,0.8494624,0.3836978
2025-07-19 18:19:39,4,1,05 Seokhee Burningham,19 Emily Molloy,0,0,0,0,0,0,0,0,0,0,1,7.696315,6.7594438,-3.6801062,0.8494624,0.3836978,0.9489247,0.31610337
2025-07-19 18:19:50,4,1,19 Emily Molloy,47 Penny Wu,0,0,0,0,0,0,0,0,0,1,0,8.076102,4.970178,6.365592,0.9489247,0.31610337,0.7768817,0.2664016
2025-07-19 18:20:11,4,1,47 Penny Wu,92 Sam DeVine,0,0,0,0,0,0,0,1,0,0,1,26.8962,1.4910549,26.854837,0.7768817,0.2664016,0.05107527,0.25149104
