Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
32 Sean McSweeney,9,"2,4,6,8,10,11,13,15,17",9,0,5,0,15,8,15,11,4,0,2,0,2,2,0,0,0,0,171.21,50.50,13.17,3.88,142.67,19.68,12.97,1.79
47 Penny Wu,9,"2,4,6,8,10,11,13,15,17",9,0,5,0,27,9,26,23,4,2,1,1,6,6,0,0,0,0,372.18,214.02,18.61,10.70,246.89,36.58,10.73,1.59
19 Emily Molloy,9,"2,4,6,8,10,11,13,15,17",9,0,5,0,10,6,9,10,0,0,1,1,0,0,0,0,0,0,91.02,4.08,10.11,0.45,127.97,77.83,12.80,7.78
92 Sam DeVine,8,"2,4,6,10,11,13,15,17",8,0,4,0,5,4,5,5,0,1,0,0,0,0,0,0,0,0,62.64,10.24,12.53,2.05,73.97,10.44,14.79,2.09
25 Molly Cowley,7,"2,4,8,11,13,15,17",7,0,4,0,3,3,1,3,0,0,0,2,0,0,0,0,0,0,7.73,7.36,7.73,7.36,42.45,37.18,14.15,12.39
16 Brooke Chomko,6,"4,6,8,10,13,15",6,0,3,0,3,1,3,3,0,0,0,0,0,0,0,0,0,0,24.38,8.95,8.13,2.98,31.95,19.88,10.65,6.63
05 Seokhee Burningham,6,"4,8,10,11,14,17",6,0,3,0,7,3,6,6,1,0,1,1,1,0,1,1,0,0,62.42,25.45,10.40,4.24,156.93,92.45,26.16,15.41
14 Gina Stees,6,"1,5,9,12,14,16",2,4,0,0,4,3,4,4,0,0,0,0,2,2,0,1,0,0,19.24,9.34,9.62,4.67,64.62,41.05,16.16,10.26
24 Courtney Rachke,5,"3,7,12,14,16",2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10 Nate King,5,"2,6,10,11,17",5,0,3,0,6,4,6,3,3,1,0,0,0,0,0,0,0,0,82.46,59.74,13.74,9.96,35.31,13.92,11.77,4.64
71 Guber,4,"1,5,9,14,18",1,3,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0.00,0.00,0.00,0.00,21.40,12.72,21.40,12.72
03 Ethan Jones,5,"2,6,8,13,15",5,0,3,0,8,5,8,7,1,1,0,0,0,0,0,1,0,0,90.07,13.12,11.26,1.64,105.97,85.49,15.14,12.21
11 Eric Wong,5,"3,7,12,14,16",2,3,0,0,7,3,7,6,1,0,0,0,0,0,0,0,0,0,96.35,40.76,13.76,5.82,53.14,9.05,8.86,1.51
08 ManHua Zhu,5,"3,7,12,14,16",2,3,0,0,8,4,8,5,3,0,0,0,1,1,0,0,0,0,59.49,31.21,9.92,5.20,62.12,35.39,12.42,7.08
30 Caleb Moran,5,"3,7,12,14,16",2,3,0,0,4,2,4,3,1,0,0,0,1,1,0,1,0,0,27.79,3.18,9.26,1.06,33.45,6.76,11.15,2.25
Mox,3,"1,5,9,18",0,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,9.61,7.46,9.61,7.46,13.19,6.56,13.19,6.56
21 Abby Pavlicek,3,"1,5,9,18",0,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,30.65,14.02,30.65,14.02
56 Angel Barragan,3,"1,5,9,18",0,3,0,0,4,3,4,1,3,0,0,0,0,0,0,1,0,0,78.99,46.12,19.75,11.53,15.54,10.93,15.54,10.93
06 Tess Buchanan,3,"1,5,9,18",0,3,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,15.54,10.93,15.54,10.93,0.00,0.00,0.00,0.00
17 Anna Martinello,4,"3,7,12,16",1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,24.83,9.64,24.83,9.64,14.86,6.16,14.86,6.16
76 Conrad Nguyen,2,"1,9,18",0,2,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0.00,0.00,0.00,0.00,9.61,7.46,9.61,7.46
07 Jake Blatt,3,"3,7,16",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04 Justin Foreman,3,"3,7,12",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Peter Walsh,1,"5,18",0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0.00,0.00,0.00,0.00,13.27,8.55,13.27,8.55
