Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-07-22 15:48:02,1,1,47 Penny Wu,19 Emily Molloy,0,0,0,0,0,0,0,0,0,0,0,13.121654,13.121277,-0.09946227,0.4704301,0.63419485,0.47311828,0.5029821
2025-07-22 15:48:08,1,1,19 Emily Molloy,47 Penny Wu,1,1,0,0,0,0,0,0,0,0,0,8.369609,0.4970163,8.354838,0.47311828,0.5029821,0.24731183,0.49801192
2025-07-22 15:48:36,1,2,32 Sean McSweeney,47 Penny Wu,0,0,0,0,0,0,0,0,0,0,0,12.294821,12.226641,-1.2930095,0.78494626,0.6988072,0.81989247,0.57654077
2025-07-22 15:48:55,1,2,47 Penny Wu,19 Emily Molloy,0,0,0,0,0,0,0,0,0,0,0,15.340171,13.817099,6.6639786,0.81989247,0.57654077,0.63978493,0.43836978
2025-07-22 15:48:57,1,2,19 Emily Molloy,16 Brooke Chomko,0,0,0,0,0,1,0,0,0,0,1,14.913713,11.928431,-8.951613,0.63978493,0.43836978,0.8817204,0.31908548
2025-07-22 15:49:00,1,2,16 Brooke Chomko,03 Ethan Jones,0,0,0,1,1,0,0,0,0,1,1,24.604202,24.552683,-1.5913985,0.8817204,0.31908548,0.9247312,0.07355865
2025-07-22 15:51:10,2,1,11 Eric Wong,24 Courtney Rachke,0,0,0,0,0,0,0,0,0,0,0,10.08445,6.5606356,-7.6586027,0.18817204,0.80815107,0.3951613,0.7425447
2025-07-22 15:51:13,2,1,24 Courtney Rachke,14 Gina Stees,0,0,0,0,0,0,0,1,0,0,0,12.745146,-0.59642196,-12.731183,0.3951613,0.7425447,0.7392473,0.74850893
2025-07-22 15:51:18,2,1,14 Gina Stees,08 ManHua Zhu,0,0,0,0,0,0,0,0,0,0,1,12.960373,10.735583,-7.260752,0.7392473,0.74850893,0.9354839,0.6411531
2025-07-22 15:51:23,2,1,08 ManHua Zhu,11 Eric Wong,0,0,0,0,0,0,0,1,0,1,0,18.753077,-6.461233,17.60484,0.9354839,0.6411531,0.45967743,0.7057654
2025-07-22 15:51:35,2,1,11 Eric Wong,08 ManHua Zhu,0,0,0,0,0,0,0,1,0,0,0,14.739085,-3.479123,-14.322581,0.45967743,0.7057654,0.8467742,0.74055666
2025-07-22 15:51:38,2,1,08 ManHua Zhu,30 Caleb Moran,0,0,0,0,0,0,0,0,0,0,0,8.367297,8.151096,1.8897853,0.8467742,0.74055666,0.79569894,0.6590457
2025-07-22 15:51:43,2,1,30 Caleb Moran,08 ManHua Zhu,0,0,0,0,0,0,0,1,0,0,0,12.251511,-1.6898632,12.134409,0.79569894,0.6590457,0.46774194,0.6759443
2025-07-22 15:51:45,2,1,08 ManHua Zhu,11 Eric Wong,0,0,0,0,0,0,0,1,0,0,0,12.866183,6.2624273,11.239247,0.46774194,0.6759443,0.16397849,0.61332005
2025-07-22 15:51:51,2,1,11 Eric Wong,30 Caleb Moran,0,0,0,0,0,0,0,0,1,0,0,8.408931,-8.349901,-0.9946238,0.16397849,0.61332005,0.19086021,0.69681907
2025-07-22 15:51:54,2,1,30 Caleb Moran,11 Eric Wong,0,0,0,0,0,0,0,0,1,0,0,11.128012,-4.572564,-10.145162,0.19086021,0.69681907,0.46505377,0.7425447
2025-07-22 15:51:58,2,1,11 Eric Wong,08 ManHua Zhu,0,0,0,0,0,0,0,0,0,0,0,16.206482,13.021869,9.647849,0.46505377,0.7425447,0.20430107,0.612326
2025-07-22 15:52:02,2,1,08 ManHua Zhu,10 Nate King,0,0,0,0,0,0,0,0,0,0,1,8.714635,7.7534795,3.9784946,0.20430107,0.612326,0.09677419,0.53479123
2025-07-22 15:52:11,2,1,10 Nate King,11 Eric Wong,0,0,0,0,0,0,0,0,1,1,0,12.058196,-7.8528824,-9.1505375,0.09677419,0.53479123,0.34408602,0.61332005
2025-07-22 15:52:14,2,1,11 Eric Wong,14 Gina Stees,0,0,0,0,0,0,0,0,0,0,1,22.226362,8.846914,-20.389784,0.34408602,0.61332005,0.8951613,0.5248509
2025-07-22 15:52:20,2,1,14 Gina Stees,10 Nate King,1,1,0,1,0,0,1,0,0,1,0,37.77396,37.375748,5.4704294,0.8951613,0.5248509,0.74731183,0.15109344
