Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
32 Sean McSweeney,7,"1,3,5,7,9,11,13",7,0,6,0,28,7,28,24,4,3,1,0,0,0,0,0,0,0,423.60,149.50,15.13,5.34,248.27,91.45,10.34,3.81
19 Emily Molloy,7,"1,3,5,7,9,11,13",7,0,6,0,11,6,11,11,0,0,2,0,1,1,0,0,0,0,108.02,49.50,10.80,4.95,129.59,103.38,11.78,9.40
05 Seokhee Burningham,7,"1,3,5,7,9,11,13",7,0,6,0,9,3,8,9,0,0,2,1,1,1,0,1,0,0,83.10,20.38,11.87,2.91,141.36,106.06,15.71,11.78
47 Penny Wu,7,"1,3,5,7,9,11,13",7,0,6,0,23,6,23,17,6,0,0,0,2,2,0,0,0,0,270.14,137.87,12.86,6.57,209.55,4.97,12.33,0.29
16 Brooke Chomko,6,"1,3,5,9,10,13",5,1,4,0,8,4,7,8,0,1,0,1,0,0,0,1,0,0,97.30,62.92,13.90,8.99,98.90,57.36,12.36,7.17
25 Molly Cowley,6,"1,5,7,9,11,13",6,0,5,0,6,4,6,5,1,0,0,0,1,1,0,1,0,0,47.05,12.43,9.41,2.49,70.95,46.52,14.19,9.30
71 Guber,5,"2,4,8,10,14",0,5,0,0,4,2,4,4,0,0,0,0,1,1,0,2,0,0,42.21,12.92,14.07,4.31,41.82,-9.64,10.46,-2.41
14 Gina Stees,5,"2,4,6,8,12",0,5,0,0,3,2,3,3,0,0,0,0,2,2,0,0,0,0,12.96,10.74,12.96,10.74,58.53,16.20,19.51,5.40
56 Angel Barragan,5,"3,7,8,11,14",3,2,3,0,7,4,6,7,0,0,0,1,0,0,0,0,0,0,62.25,34.10,10.38,5.68,80.75,36.18,11.54,5.17
03 Ethan Jones,5,"1,3,5,11,13",5,0,5,0,15,4,12,14,1,1,1,3,0,0,0,2,0,0,135.04,87.77,11.25,7.31,240.39,95.73,17.17,6.84
30 Caleb Moran,4,"2,6,10,12",0,4,0,0,6,3,6,4,2,0,0,0,1,1,0,0,0,0,69.28,-5.96,13.86,-1.19,41.49,9.05,10.37,2.26
21 Abby Pavlicek,4,"4,8,10,14",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
76 Conrad Nguyen,4,"4,8,10,14",0,4,0,0,4,3,4,3,1,0,0,0,1,1,0,0,0,0,34.97,-5.86,11.66,-1.95,41.57,9.34,13.86,3.11
10 Nate King,3,"2,7,9",2,1,1,0,6,3,6,6,0,1,0,0,1,1,0,0,0,0,57.59,5.07,11.52,1.01,59.69,23.76,9.95,3.96
08 ManHua Zhu,3,"2,6,12",0,3,0,0,4,1,4,4,0,0,0,0,0,0,0,0,0,0,48.70,15.71,12.18,3.93,56.16,18.59,14.04,4.65
11 Eric Wong,3,"2,6,12",0,3,0,0,5,1,5,4,1,0,0,0,0,0,0,0,0,0,71.67,16.60,14.33,3.32,54.81,-12.62,13.70,-3.16
24 Courtney Rachke,3,"2,6,12",0,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,12.75,-0.60,12.75,-0.60,10.08,6.56,10.08,6.56
Mox,3,"4,8,14",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06 Tess Buchanan,3,"4,8,14",0,3,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,14.03,5.67,14.03,5.67,0.00,0.00,0.00,0.00
Peter Walsh,2,"4,14",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04 Justin Foreman,2,"6,12",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17 Anna Martinello,2,"10,12",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
07 Jake Blatt,2,"6,10",0,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10.77,-2.19,10.77,-2.19,17.50,3.68,17.50,3.68
