Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-07-24 11:36:02,1,1,32 Sean McSweeney,47 Penny Wu,0,0,0,0,0,0,0,1,0,0,0,13.570093,7.4552717,11.338711,0.78494626,0.76441354,0.4784946,0.6898608
2025-07-24 11:36:04,1,1,47 Penny Wu,19 Emily Molloy,0,0,0,0,0,0,0,0,0,0,0,12.444977,8.846914,8.752688,0.4784946,0.6898608,0.24193548,0.6013917
2025-07-24 11:36:07,1,1,19 Emily Molloy,47 Penny Wu,0,0,0,0,0,0,0,0,1,0,0,11.473643,-6.361824,-9.548387,0.24193548,0.6013917,0.5,0.6650099
2025-07-24 11:36:26,1,1,47 Penny Wu,03 Ethan Jones,1,1,0,0,0,0,0,0,0,0,0,13.384232,10.834986,7.8575273,0.5,0.6650099,0.2876344,0.55666006
2025-07-24 11:38:55,1,2,32 Sean McSweeney,19 Emily Molloy,1,0,1,0,0,0,0,0,0,0,0,14.666964,11.1332,9.548387,0.7580645,0.81212723,0.5,0.70079523
2025-07-24 11:44:31,1,3,32 Sean McSweeney,03 Ethan Jones,0,0,0,0,0,0,0,0,0,1,1,16.85576,16.699802,2.2876344,0.9677419,0.8101392,0.90591395,0.64314115
2025-07-24 11:44:34,1,3,03 Ethan Jones,92 Sam DeVine,0,0,0,0,0,1,0,0,0,1,1,18.16306,17.992046,-2.4865613,0.90591395,0.64314115,0.9731183,0.4632207
2025-07-24 11:44:59,1,3,92 Sam DeVine,03 Ethan Jones,0,0,0,1,1,0,1,0,0,1,0,39.456505,30.715708,24.76613,0.9731183,0.4632207,0.30376345,0.15606362
2025-07-24 11:46:34,2,1,08 ManHua Zhu,11 Eric Wong,0,0,0,0,0,0,0,0,0,0,0,7.3998675,6.36183,-3.7795706,0.63978493,0.82902586,0.7419355,0.76540756
2025-07-24 11:46:43,2,1,11 Eric Wong,04 Justin Foreman,1,1,0,0,0,0,0,1,0,0,0,17.257559,7.554674,15.5161295,0.7419355,0.76540756,0.32258064,0.6898608
2025-07-24 11:47:56,3,1,47 Penny Wu,32 Sean McSweeney,0,0,0,0,0,0,0,1,0,0,0,15.318646,6.163025,14.024195,0.78763443,0.73061633,0.40860215,0.6689861
2025-07-24 11:48:03,3,1,32 Sean McSweeney,24 Courtney Rachke,0,0,0,0,0,0,0,0,0,0,0,18.440958,12.4254465,-13.626343,0.40860215,0.6689861,0.7768817,0.5447316
2025-07-24 11:48:18,3,1,24 Courtney Rachke,47 Penny Wu,0,0,0,0,0,0,0,0,1,0,0,7.6798387,-5.069584,5.768816,0.7768817,0.5447316,0.62096775,0.59542745
2025-07-24 11:48:25,3,1,47 Penny Wu,32 Sean McSweeney,0,0,0,0,0,0,0,0,0,0,0,10.451153,8.648115,-5.8682785,0.62096775,0.59542745,0.77956986,0.5089463
2025-07-24 11:48:46,3,1,32 Sean McSweeney,92 Sam DeVine,1,1,0,1,0,0,1,0,0,0,0,41.77886,36.1829,20.887094,0.77956986,0.5089463,0.21505377,0.1471173
2025-07-24 11:49:12,3,2,32 Sean McSweeney,92 Sam DeVine,0,0,0,1,1,0,0,0,0,0,1,17.625942,14.413519,10.145162,0.2983871,0.29821074,0.024193548,0.15407555
2025-07-24 11:51:11,4,1,21 Abby Pavlicek,06 Tess Buchanan,0,0,0,0,0,0,0,0,0,0,0,8.743166,4.8707724,7.260752,0.7311828,0.8667992,0.53494626,0.81809145
2025-07-24 11:51:24,4,1,06 Tess Buchanan,76 Conrad Nguyen,0,0,0,0,0,0,0,0,0,0,0,9.98639,-0.89462996,9.946237,0.53494626,0.81809145,0.26612905,0.82703775
2025-07-24 11:51:26,4,1,76 Conrad Nguyen,56 Angel Barragan,0,0,0,0,0,0,0,0,0,0,1,11.601358,8.151091,8.255377,0.26612905,0.82703775,0.043010753,0.74552685
2025-07-24 11:51:33,4,1,56 Angel Barragan,71 Guber,0,0,0,0,0,0,0,0,0,1,0,15.284897,8.151096,-12.930108,0.043010753,0.74552685,0.39247313,0.6640159
2025-07-24 11:51:47,4,1,71 Guber,Peter Walsh,1,1,0,1,0,0,1,0,0,0,0,53.559017,51.292248,-15.416666,0.39247313,0.6640159,0.8091398,0.15109344
2025-07-24 11:52:38,4,2,76 Conrad Nguyen,56 Angel Barragan,0,0,0,0,0,0,0,0,0,0,0,9.612073,7.4552655,-6.067203,0.5510753,0.8260437,0.71505374,0.75149107
2025-07-24 11:52:42,4,2,56 Angel Barragan,71 Guber,0,0,0,0,0,0,0,0,0,0,0,15.717699,13.121271,8.653225,0.71505374,0.75149107,0.48118278,0.62027836
2025-07-24 11:52:51,4,2,71 Guber,06 Tess Buchanan,0,0,0,0,0,0,0,0,0,0,0,16.88404,11.530817,-12.333334,0.48118278,0.62027836,0.8145161,0.5049702
2025-07-24 11:52:58,4,2,06 Tess Buchanan,76 Conrad Nguyen,0,0,0,0,0,0,0,0,1,0,0,9.6641445,-7.7534795,5.768816,0.8145161,0.5049702,0.6586022,0.582505
2025-07-24 11:53:04,4,2,76 Conrad Nguyen,06 Tess Buchanan,0,0,0,0,0,0,0,0,1,0,1,9.680888,-5.3677917,-8.056451,0.6586022,0.582505,0.8763441,0.6361829
2025-07-24 11:53:12,4,2,06 Tess Buchanan,76 Conrad Nguyen,0,0,0,0,0,0,0,1,0,1,0,14.460594,-5.3677917,13.42742,0.8763441,0.6361829,0.51344085,0.6898608
2025-07-24 11:53:19,4,2,76 Conrad Nguyen,56 Angel Barragan,0,0,0,0,0,0,0,0,0,0,0,15.197036,12.823063,-8.155915,0.51344085,0.6898608,0.733871,0.5616302
2025-07-24 11:53:24,4,2,56 Angel Barragan,76 Conrad Nguyen,0,0,0,0,0,0,0,0,1,0,0,7.3900347,-6.163025,-4.0779576,0.733871,0.5616302,0.84408605,0.62326044
2025-07-24 11:53:26,4,2,76 Conrad Nguyen,56 Angel Barragan,0,0,0,0,0,0,0,0,0,0,1,12.431814,12.4254465,-0.39784908,0.84408605,0.62326044,0.8548387,0.49900597
2025-07-24 11:53:55,4,2,56 Angel Barragan,06 Tess Buchanan,0,0,0,0,0,0,0,1,0,1,0,14.909616,3.3797235,14.521506,0.8548387,0.49900597,0.4623656,0.46520874
2025-07-24 11:53:58,4,2,06 Tess Buchanan,21 Abby Pavlicek,0,0,0,0,0,0,0,1,0,0,1,14.251578,4.1749506,13.626345,0.4623656,0.46520874,0.09408602,0.42345923
2025-07-24 11:54:15,4,2,21 Abby Pavlicek,56 Angel Barragan,0,0,0,0,0,0,0,0,1,1,1,7.018644,-6.7594438,-1.8897848,0.09408602,0.42345923,0.14516129,0.49105367
2025-07-24 11:54:17,4,2,56 Angel Barragan,21 Abby Pavlicek,0,0,0,0,0,0,0,0,1,1,0,10.014205,-2.683899,-9.647849,0.14516129,0.49105367,0.40591398,0.51789266
2025-07-24 11:54:23,4,2,21 Abby Pavlicek,56 Angel Barragan,0,0,0,0,0,0,0,0,0,0,0,10.264037,8.05169,-6.365591,0.40591398,0.51789266,0.577957,0.43737575
2025-07-24 11:54:33,4,2,56 Angel Barragan,Mox,1,1,0,1,0,0,1,0,0,0,0,36.245747,34.39364,11.438171,0.577957,0.43737575,0.26881722,0.09343936
2025-07-24 11:55:43,5,1,08 ManHua Zhu,14 Gina Stees,0,0,0,0,0,0,0,0,0,0,0,13.947692,12.02783,-7.0618277,0.6424731,0.8976143,0.8333333,0.777336
2025-07-24 11:55:54,5,1,14 Gina Stees,07 Jake Blatt,1,1,0,0,0,0,0,0,0,0,0,15.15457,15.009939,2.0887098,0.8333333,0.777336,0.7768817,0.6272366
2025-07-24 11:56:24,5,2,08 ManHua Zhu,04 Justin Foreman,0,0,0,0,0,0,0,0,0,0,0,11.960517,10.636181,5.4704304,0.37096775,0.81212723,0.22311828,0.7057654
