Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
19 Emily Molloy,8,"1,3,6,7,10,11,13,14",7,1,5,0,5,4,5,5,0,0,1,0,1,0,1,0,0,0,57.91,-22.47,11.58,-4.49,60.45,49.60,12.09,9.92
47 Penny Wu,7,"1,3,6,7,11,13,14",7,0,5,0,18,7,17,16,2,2,0,1,2,2,0,0,0,0,215.20,129.52,15.37,9.25,202.06,3.48,12.63,0.22
92 Sam DeVine,7,"1,3,6,7,11,13,14",7,0,5,0,12,5,10,10,2,2,0,2,1,1,0,0,0,0,143.75,73.56,15.97,8.17,149.84,74.85,14.98,7.49
24 Courtney Rachke,7,"2,3,6,7,11,12,14",5,2,4,0,2,2,2,2,0,0,0,0,1,0,1,1,0,0,24.51,-5.86,12.25,-2.93,34.20,28.13,17.10,14.07
32 Sean McSweeney,7,"1,3,6,7,11,13,14",7,0,5,0,21,7,21,13,8,1,2,0,1,1,0,0,0,0,293.25,161.53,15.43,8.50,160.79,55.67,12.37,4.28
16 Brooke Chomko,7,"1,3,6,7,11,13,14",7,0,5,0,3,2,3,3,0,0,0,0,0,0,0,0,0,0,34.25,33.30,11.42,11.10,43.54,35.49,14.51,11.83
14 Gina Stees,5,"2,5,9,12,15",1,4,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0.00,0.00,0.00,0.00,13.95,12.03,13.95,12.03
56 Angel Barragan,5,"1,4,8,10,15",1,4,1,0,6,1,6,6,0,0,0,0,1,1,0,0,0,0,63.32,15.81,12.66,3.16,66.12,42.15,11.02,7.02
21 Abby Pavlicek,4,"4,8,10,15",0,4,0,0,3,1,3,2,1,0,0,0,0,0,0,1,0,0,26.03,6.16,8.68,2.05,24.27,1.49,12.13,0.75
11 Eric Wong,4,"2,5,9,12",1,3,0,1,3,2,3,3,0,0,1,0,1,1,0,0,0,0,36.03,31.51,18.01,15.76,30.05,14.31,10.02,4.77
06 Tess Buchanan,4,"4,8,10,15",0,4,0,0,4,1,4,4,0,0,0,0,0,0,0,0,0,0,48.36,-9.84,12.09,-2.46,50.22,14.41,12.55,3.60
05 Seokhee Burningham,4,"3,7,11,13",4,0,3,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0.00,0.00,0.00,0.00,52.74,52.68,52.74,52.68
Mox,4,"4,8,10,15",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30 Caleb Moran,4,"2,5,9,12",1,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,9.22,6.26,9.22,6.26,17.59,4.08,17.59,4.08
04 Justin Foreman,4,"2,5,9,12",1,3,0,1,2,2,2,2,0,1,0,0,0,0,0,1,0,0,40.16,38.57,20.08,19.28,37.84,36.38,18.92,18.19
08 ManHua Zhu,4,"2,5,9,12",1,3,0,1,5,3,5,1,4,0,0,0,0,0,0,0,0,0,64.33,34.79,12.87,6.96,10.15,5.77,10.15,5.77
71 Guber,4,"4,8,10,15",0,4,0,0,2,1,2,2,0,0,0,0,1,1,0,0,0,0,16.88,11.53,16.88,11.53,31.00,21.27,15.50,10.64
03 Ethan Jones,4,"1,6,13,14",4,0,2,0,5,3,4,5,0,0,1,1,1,1,0,0,0,0,45.49,24.65,15.16,8.22,110.74,94.33,22.15,18.87
76 Conrad Nguyen,3,"4,8,15",0,3,0,0,5,1,5,4,1,0,0,0,0,0,0,0,0,0,58.52,35.49,11.70,7.10,41.50,-20.18,10.38,-5.04
17 Anna Martinello,3,"2,5,9",1,2,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,26.77,26.74,26.77,26.74
07 Jake Blatt,3,"5,9,12",1,2,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0.00,0.00,0.00,0.00,13.39,11.83,13.39,11.83
Peter Walsh,3,"4,8,10",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
