Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-07-24 10:32:45,1,1,30 Caleb Moran,11 Eric Wong,0,0,0,0,0,0,0,0,0,0,0,6.601844,5.2683887,-3.9784951,0.28494623,0.7922465,0.39247313,0.73956263
2025-07-24 10:32:53,1,1,11 Eric Wong,08 ManHua Zhu,0,0,0,0,0,0,0,0,0,0,0,9.98639,-0.89462996,-9.946237,0.39247313,0.73956263,0.66129035,0.74850893
2025-07-24 10:32:58,1,1,08 ManHua Zhu,11 Eric Wong,0,0,0,0,0,0,0,0,1,0,0,8.005622,-3.5785317,7.161291,0.66129035,0.74850893,0.46774194,0.78429425
2025-07-24 10:33:08,1,1,11 Eric Wong,30 Caleb Moran,1,1,0,0,0,0,0,0,0,0,0,12.229591,9.840954,7.260752,0.46774194,0.78429425,0.2715054,0.6858847
2025-07-24 10:34:43,2,1,47 Penny Wu,10 Nate King,0,0,0,0,0,0,0,0,1,0,0,7.894293,-6.759447,4.0779576,0.5,0.65208745,0.38978493,0.7196819
2025-07-24 10:34:47,2,1,10 Nate King,47 Penny Wu,0,0,0,0,0,0,0,0,0,0,0,12.876384,8.747519,-9.448925,0.38978493,0.7196819,0.6451613,0.63220674
2025-07-24 10:34:54,2,1,47 Penny Wu,10 Nate King,0,0,0,0,0,0,0,1,0,0,0,13.129032,0.0,13.129032,0.6451613,0.63220674,0.29032257,0.63220674
2025-07-24 10:34:57,2,1,10 Nate King,47 Penny Wu,0,0,0,0,0,0,0,0,0,0,0,8.59065,0.7952273,-8.553763,0.29032257,0.63220674,0.52150536,0.62425447
2025-07-24 10:35:05,2,1,47 Penny Wu,10 Nate King,0,0,0,0,0,0,0,0,0,0,0,9.499979,3.180915,-8.951613,0.52150536,0.62425447,0.76344085,0.5924453
2025-07-24 10:35:11,2,1,10 Nate King,03 Ethan Jones,1,1,0,0,0,0,0,0,0,0,0,17.633139,17.395624,2.884408,0.76344085,0.5924453,0.6854839,0.41848907
2025-07-24 10:36:16,2,2,47 Penny Wu,19 Emily Molloy,0,0,0,0,0,0,0,0,0,0,0,14.404586,13.518882,-4.9731193,0.29301074,0.82107353,0.42741936,0.6858847
2025-07-24 10:36:19,2,2,19 Emily Molloy,10 Nate King,0,0,0,0,0,0,0,0,0,0,0,7.0923133,1.7892659,-6.862903,0.42741936,0.6858847,0.61290324,0.66799206
2025-07-24 10:36:25,2,2,10 Nate King,16 Brooke Chomko,1,1,0,0,0,0,1,0,0,0,0,41.879154,41.848907,1.5913985,0.61290324,0.66799206,0.56989247,0.24950299
2025-07-24 10:37:16,2,3,47 Penny Wu,03 Ethan Jones,0,0,0,1,1,0,0,0,0,1,1,24.989124,24.950298,-1.3924732,0.0,0.3528827,0.03763441,0.10337972
2025-07-24 10:38:04,3,1,56 Angel Barragan,06 Tess Buchanan,0,0,0,0,0,0,0,0,0,0,0,10.395706,10.337973,1.094085,0.38978493,0.82703775,0.36021507,0.723658
2025-07-24 10:38:14,3,1,06 Tess Buchanan,56 Angel Barragan,0,0,0,0,0,0,0,0,0,0,0,9.791022,9.4433365,2.5860224,0.36021507,0.723658,0.29032257,0.62922466
2025-07-24 10:38:29,3,1,56 Angel Barragan,Peter Walsh,0,0,0,0,0,0,1,0,0,0,1,37.270374,26.838966,-25.860216,0.29032257,0.62922466,0.9892473,0.360835
2025-07-24 10:38:59,3,1,Peter Walsh,56 Angel Barragan,1,1,0,0,0,0,0,0,1,1,0,12.026621,-5.9642167,10.443549,0.9892473,0.360835,0.7069892,0.42047715
2025-07-24 10:40:04,4,1,32 Sean McSweeney,47 Penny Wu,0,0,0,0,0,0,0,1,0,0,0,15.929567,7.554674,14.024194,0.68817204,0.73956263,0.3091398,0.6640159
2025-07-24 10:40:10,4,1,47 Penny Wu,32 Sean McSweeney,0,0,0,0,0,1,0,0,0,0,0,19.577785,14.612323,-13.029571,0.3091398,0.6640159,0.66129035,0.51789266
