Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
16 Brooke Chomko,5,"2,4,6,8,9",5,0,4,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,25.07,18.99,12.54,9.49,32.31,26.54,16.15,13.27
92 Sam DeVine,5,"2,4,6,8,9",5,0,4,0,4,3,4,4,0,1,0,0,1,1,0,0,0,0,50.38,31.61,16.79,10.54,69.73,22.76,17.43,5.69
47 Penny Wu,5,"2,4,6,8,9",5,0,4,0,19,5,19,12,7,1,1,0,2,2,0,1,0,0,261.61,97.81,15.39,5.75,136.15,36.58,11.35,3.05
03 Ethan Jones,4,"2,4,8,9",4,0,4,0,4,3,1,4,0,0,1,3,0,0,0,0,0,0,18.22,18.19,18.22,18.19,122.66,113.42,30.66,28.35
14 Gina Stees,4,"3,5,7,10",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32 Sean McSweeney,4,"4,6,8,9",4,0,3,0,13,4,13,8,5,2,0,0,1,1,0,1,0,0,194.97,103.88,16.25,8.66,103.64,22.86,12.95,2.86
19 Emily Molloy,4,"2,4,6,9",4,0,3,0,3,2,3,3,0,0,0,0,1,1,0,0,0,0,16.07,10.74,8.04,5.37,40.55,35.98,13.52,11.99
24 Courtney Rachke,3,"1,5,6",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21 Abby Pavlicek,3,"3,7,10",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06 Tess Buchanan,3,"3,7,10",1,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,9.79,9.44,9.79,9.44,10.40,10.34,10.40,10.34
05 Seokhee Burningham,3,"2,4,6",3,0,2,0,2,1,2,2,0,0,0,0,1,1,0,1,0,0,8.44,-4.47,8.44,-4.47,42.90,21.57,21.45,10.79
Mox,3,"3,7,10",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
56 Angel Barragan,3,"3,7,10",1,2,0,0,3,2,3,1,2,0,0,0,0,0,0,0,0,0,61.29,50.50,20.43,16.83,9.79,9.44,9.79,9.44
11 Eric Wong,3,"1,5,8",1,2,1,0,3,2,3,2,1,0,0,0,2,2,0,0,0,0,9.99,-0.89,9.99,-0.89,14.61,1.69,7.30,0.84
17 Anna Martinello,2,"1,5",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
71 Guber,2,"3,7",1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0.00,0.00,0.00,0.00,13.63,13.32,13.63,13.32
25 Molly Cowley,2,"8,9",2,0,2,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,10.68,8.35,10.68,8.35
07 Jake Blatt,2,"1,5",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30 Caleb Moran,2,"1,5",0,2,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,6.60,5.27,6.60,5.27,0.00,0.00,0.00,0.00
Peter Walsh,2,"3,10",0,2,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0.00,0.00,0.00,0.00,37.27,26.84,37.27,26.84
04 Justin Foreman,2,"1,5",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
76 Conrad Nguyen,2,"7,10",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
08 ManHua Zhu,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,8.01,-3.58,8.01,-3.58,9.99,-0.89,9.99,-0.89
10 Nate King,1,2,1,0,1,0,4,1,4,4,0,0,0,0,2,2,0,0,0,0,21.47,9.54,10.73,4.77,37.62,-1.79,9.40,-0.45
