Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-07-24 09:37:46,1,1,47 Penny Wu,03 Ethan Jones,0,0,0,0,0,0,0,0,0,0,0,23.710005,13.916498,-19.196236,0.26612905,0.7335984,0.78494626,0.5944334
2025-07-24 09:37:53,1,1,03 Ethan Jones,32 Sean McSweeney,0,0,0,0,0,0,0,0,0,0,0,16.473602,12.2266445,11.040323,0.78494626,0.5944334,0.48655915,0.472167
2025-07-24 09:37:56,1,1,32 Sean McSweeney,47 Penny Wu,0,0,0,0,0,0,0,1,0,0,0,11.150867,-0.4970193,11.139786,0.48655915,0.472167,0.18548387,0.47713718
2025-07-24 09:38:03,1,1,47 Penny Wu,10 Nate King,0,0,0,0,0,0,0,0,0,0,1,9.282033,6.461233,6.6639786,0.18548387,0.47713718,0.005376344,0.41252485
2025-07-24 09:38:10,1,1,10 Nate King,47 Penny Wu,0,0,0,0,0,0,0,1,0,1,0,17.307594,-0.19880831,-17.306452,0.005376344,0.41252485,0.47311828,0.41451293
2025-07-24 09:38:19,1,1,47 Penny Wu,03 Ethan Jones,0,0,0,0,0,0,0,0,0,0,0,16.273813,13.32008,9.3494625,0.47311828,0.41451293,0.2204301,0.28131214
2025-07-24 09:38:27,1,1,03 Ethan Jones,47 Penny Wu,0,0,0,0,0,1,0,0,1,0,0,7.058353,-7.057652,0.09946227,0.2204301,0.28131214,0.21774194,0.35188866
2025-07-24 09:38:32,1,1,47 Penny Wu,32 Sean McSweeney,0,0,0,1,1,0,0,0,0,0,1,19.586365,18.190853,7.260753,0.21774194,0.35188866,0.021505376,0.16998012
2025-07-24 09:39:46,3,1,32 Sean McSweeney,47 Penny Wu,0,0,0,0,0,0,0,1,0,0,0,16.148048,4.4731617,-15.5161295,0.26344085,0.7276342,0.6827957,0.6829026
2025-07-24 09:39:56,3,1,47 Penny Wu,32 Sean McSweeney,0,0,0,0,0,0,0,1,0,0,0,15.782779,-3.3797204,15.416666,0.6827957,0.6829026,0.26612905,0.7166998
2025-07-24 09:40:07,3,1,32 Sean McSweeney,16 Brooke Chomko,0,0,0,0,0,0,0,0,0,0,0,19.427637,10.238564,-16.510752,0.26612905,0.7166998,0.71236557,0.61431414
2025-07-24 09:40:18,3,1,16 Brooke Chomko,03 Ethan Jones,0,0,0,0,0,0,0,0,1,0,0,5.9684095,-5.1689863,-2.9838724,0.71236557,0.61431414,0.7930108,0.666004
2025-07-24 09:40:23,3,1,03 Ethan Jones,16 Brooke Chomko,0,0,0,0,0,0,0,0,0,0,1,9.587526,7.256466,-6.2661276,0.7930108,0.666004,0.96236557,0.59343934
2025-07-24 09:40:34,3,1,16 Brooke Chomko,47 Penny Wu,0,0,0,0,0,0,0,0,0,1,1,16.213884,16.103378,1.8897831,0.96236557,0.59343934,0.91129035,0.43240556
2025-07-24 09:40:40,3,1,47 Penny Wu,32 Sean McSweeney,0,0,0,0,0,0,0,1,0,1,0,11.705019,-2.4850905,11.438172,0.91129035,0.43240556,0.60215056,0.45725647
2025-07-24 09:40:48,3,1,32 Sean McSweeney,25 Molly Cowley,0,0,0,0,0,0,0,0,0,0,0,19.135696,9.840954,16.411291,0.60215056,0.45725647,0.15860215,0.35884693
2025-07-24 09:40:55,3,1,25 Molly Cowley,19 Emily Molloy,0,0,0,0,0,0,0,0,0,0,0,11.636079,4.4731617,-10.741935,0.15860215,0.35884693,0.44892472,0.31411532
2025-07-24 09:40:59,3,1,19 Emily Molloy,32 Sean McSweeney,0,0,0,0,0,0,0,0,1,0,0,6.757868,-3.6779313,-5.669356,0.44892472,0.31411532,0.60215056,0.35089463
