Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
03 Ethan Jones,9,"1,3,5,8,10,11,13,14,16",7,2,6,1,11,8,10,10,1,0,3,1,0,0,0,1,0,0,103.79,26.24,11.53,2.92,164.05,72.17,16.41,7.22
47 Penny Wu,8,"1,3,6,8,10,11,13,16",8,0,7,0,22,8,22,17,5,3,1,0,5,5,0,1,0,0,263.75,142.25,15.51,8.37,216.28,105.27,12.72,6.19
32 Sean McSweeney,8,"1,3,6,8,10,11,13,16",8,0,7,0,19,7,17,13,6,0,2,2,0,0,0,0,0,0,249.17,108.35,14.66,6.37,164.23,48.11,12.63,3.70
19 Emily Molloy,7,"3,6,8,10,11,13,16",7,0,6,0,9,5,8,9,0,1,1,1,0,0,0,0,0,0,88.01,36.08,11.00,4.51,117.72,79.32,13.08,8.81
25 Molly Cowley,7,"1,3,6,8,10,11,16",7,0,6,0,5,3,4,5,0,0,0,1,0,0,0,0,0,0,41.42,11.03,10.35,2.76,70.66,23.46,14.13,4.69
16 Brooke Chomko,6,"1,3,6,10,11,13",6,0,5,0,7,3,7,7,0,0,0,0,0,0,0,0,0,0,81.71,27.73,11.67,3.96,91.04,58.35,13.01,8.34
92 Sam DeVine,6,"3,6,8,11,13,16",6,0,6,0,3,3,2,3,0,2,0,1,0,0,0,0,0,0,32.93,27.63,16.46,13.82,45.39,16.70,15.13,5.57
71 Guber,5,"4,7,12,14,15",0,5,0,2,2,2,2,2,0,1,0,0,1,1,0,0,0,0,44.35,44.04,44.35,44.04,41.20,12.03,20.60,6.01
76 Conrad Nguyen,4,"4,7,12,15",0,4,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,15.83,-0.80,15.83,-0.80,12.48,12.23,12.48,12.23
06 Tess Buchanan,4,"4,7,12,15",0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
56 Angel Barragan,4,"4,7,12,15",0,4,0,1,2,1,1,1,1,0,0,1,0,0,0,0,0,0,12.48,12.23,12.48,12.23,44.35,44.04,44.35,44.04
17 Anna Martinello,4,"2,5,9,14",0,4,0,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0,17.80,13.22,8.90,6.61,24.84,6.16,12.42,3.08
05 Seokhee Burningham,4,"1,6,8,10",4,0,3,0,5,4,5,4,1,0,0,0,0,0,0,1,0,0,53.49,24.75,10.70,4.95,55.12,29.13,13.78,7.28
21 Abby Pavlicek,4,"4,7,12,15",0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mox,4,"4,7,12,15",0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11 Eric Wong,4,"2,5,9,14",0,4,0,1,15,3,15,10,5,1,0,0,2,2,0,0,0,0,204.43,83.40,15.73,6.42,99.57,-12.03,9.96,-1.20
14 Gina Stees,4,"2,7,14,15",0,4,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,13.92,13.72,13.92,13.72
24 Courtney Rachke,4,"2,5,9,14",0,4,0,1,3,1,3,3,0,0,0,0,0,0,0,0,0,0,45.53,7.16,15.18,2.39,41.15,25.75,13.72,8.58
08 ManHua Zhu,4,"2,5,9,14",0,4,0,1,6,3,6,6,0,0,0,0,1,0,1,0,0,0,75.65,46.02,12.61,7.67,82.69,26.84,13.78,4.47
30 Caleb Moran,3,"2,5,9",0,3,0,0,5,2,5,4,1,0,0,0,1,1,0,0,0,0,48.67,23.36,12.17,5.84,50.57,13.72,12.64,3.43
04 Justin Foreman,3,"2,5,9",0,3,0,0,3,1,3,3,0,0,0,0,0,0,0,0,0,0,29.46,-2.29,9.82,-0.76,38.15,23.96,12.72,7.99
10 Nate King,3,"1,13,16",3,0,3,0,2,2,2,2,0,0,1,0,0,0,0,0,0,0,28.09,10.54,14.04,5.27,21.66,17.20,10.83,8.60
Peter Walsh,2,"4,12",0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
07 Jake Blatt,1,9,0,1,0,0,3,1,3,3,0,0,0,0,0,0,0,0,0,0,29.44,5.07,9.81,1.69,53.85,13.02,17.95,4.34
